CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F) 
J48;0.532;0.452;0.472;0.019;192;0.964;0.818;0.856;0.028;106
LogisticRegression;0.412;0.287;0.316;0.019;192;0.7;0.488;0.536;0.027;113
LogisticModelTree;0.676;0.565;0.584;0.019;192;0.927;0.774;0.8;0.024;140
MultilayerPerceptron;0.953;0.862;0.901;0.019;192;1;0.904;0.945;0.02;183
RandomCommittee;0.897;0.829;0.824;0.019;192;0.936;0.866;0.86;0.02;184
RandomForest;0.99;0.983;0.985;0.019;192;1;0.993;0.995;0.019;190
REPTree;0.771;0.676;0.702;0.019;192;0.949;0.832;0.864;0.023;156
SVM_Linear;0.247;0.233;0.238;0.019;192;0.893;0.844;0.861;0.039;53
SVM_Poly[3,1.5,0.0];1;0.964;0.978;0.019;192;1;0.964;0.978;0.019;192
SVM_Poly[3,1.5,0.1];1;0.968;0.98;0.019;192;1;0.968;0.98;0.019;192
SVM_Poly[3,2.0,0.0];1;0.977;0.986;0.019;192;1;0.977;0.986;0.019;192
SVM_Poly[3,2.0,0.5];1;1;1;0.019;192;1;1;1;0.019;192
SVM_Poly[3,2.0,0.5];1;1;1;0.019;192;1;1;1;0.019;192
SVM_Poly[4,1.0,0.0];1;0.938;0.96;0.019;192;1;0.938;0.96;0.019;192
SVM_Puk[0.1, 0.1];0.432;0.338;0.362;0.019;192;1;0.782;0.836;0.035;83
SVM_Puk[0.1, 1.0];0.323;0.255;0.275;0.019;192;1;0.79;0.851;0.041;62
SVM_Puk[1.0, 0.1];0.979;0.963;0.969;0.019;192;1;0.983;0.99;0.02;188
SVM_Puk[1.0, 0.1];0.979;0.963;0.969;0.019;192;1;0.983;0.99;0.02;188
SVM_RBF[0.5];0.675;0.583;0.613;0.019;192;0.997;0.861;0.905;0.026;130
SVM_RBF[1.0];0.823;0.742;0.773;0.019;192;0.994;0.896;0.933;0.023;159
SVM_RBF[10.0];1;1;1;0.019;192;1;1;1;0.019;192
SVM_RBF[2.0];0.891;0.862;0.872;0.019;192;1;0.968;0.98;0.021;171
SVM_RBF[5.0];1;1;1;0.019;192;1;1;1;0.019;192
SVM_Sigmoid[0.01];0.02;0.016;0.017;0.019;192;0.983;0.786;0.807;0.128;4
SVM_Sigmoid[0.1];0.139;0.097;0.1;0.019;192;0.544;0.38;0.392;0.042;49
SVM_Sigmoid[1.0];0.07;0.019;0.023;0.019;192;0.163;0.045;0.055;0.032;82
SVM_Sigmoid[5.0];0.056;0.041;0.043;0.019;192;0.073;0.054;0.056;0.024;147
