CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;1.000;0.949;0.972;0.006;43;1.000;0.949;0.972;0.006;43
LogisticModelTree;0.659;0.362;0.377;0.006;43;0.945;0.519;0.540;0.007;30
SVM_Poly[3,2.0,0.5];1.000;0.998;0.999;0.006;43;1.000;0.998;0.999;0.006;43
REPTree;0.889;0.738;0.786;0.006;43;0.932;0.774;0.824;0.006;41
RandomForest;1.000;1.000;1.000;0.006;43;1.000;1.000;1.000;0.006;43
RandomCommittee;0.893;0.504;0.501;0.006;43;0.937;0.528;0.525;0.006;41
J48;0.376;0.376;0.364;0.006;43;0.899;0.899;0.870;0.011;18


VALIDITY RATIO;(F)
min;0.000065
avg;0.005624
max;0.062504

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.831;0.704;0.714;0.006;301;0.966;0.818;0.830;0.006;259

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Project Portal Suite;1.000;1.000;1.000;0.063;7;1.000;1.000;1.000;0.063;7
Buzzard Radio play DB;1.000;1.000;1.000;0.027;7;1.000;1.000;1.000;0.027;7
Mobile Media;0.847;0.534;0.548;0.003;21;0.988;0.622;0.639;0.003;18
Urna - Municipal;0.657;0.514;0.560;0.000;7;0.920;0.720;0.784;0.000;5
Web Game;0.973;0.745;0.765;0.001;7;0.973;0.745;0.765;0.001;7
Features Computador;0.888;0.811;0.834;0.005;7;0.888;0.811;0.834;0.005;7
MobileMedia_Diego;0.913;0.883;0.865;0.002;7;0.913;0.883;0.865;0.002;7
AudioPlayer;0.702;0.760;0.717;0.001;7;0.819;0.887;0.836;0.001;6
Mobile Media Bruno R;0.706;0.528;0.543;0.004;7;0.988;0.739;0.761;0.004;5
EventosPerez;0.982;1.000;0.990;0.014;7;0.982;1.000;0.990;0.014;7
Henrique Gomes Nunes;0.848;0.557;0.563;0.002;7;0.989;0.650;0.656;0.002;6
Coff Feature Model;1.000;1.000;1.000;0.046;7;1.000;1.000;1.000;0.046;7
IoT-MPL;1.000;0.998;0.999;0.003;7;1.000;0.998;0.999;0.003;7
Mobile Media until relase 7;1.000;0.995;0.997;0.001;7;1.000;0.995;0.997;0.001;7
Test;0.922;0.803;0.825;0.002;7;0.922;0.803;0.825;0.002;7
Willian Oizumi - Mobile Media;0.852;0.914;0.870;0.001;7;0.852;0.914;0.870;0.001;7
Carro Model;0.613;0.562;0.576;0.002;7;0.858;0.787;0.806;0.002;5
Tienda Virtual PUJ;0.846;0.997;0.905;0.006;7;0.846;0.997;0.905;0.006;7
SlotsForModules;0.857;0.694;0.760;0.000;7;1.000;0.810;0.886;0.000;6
matrices;0.692;0.503;0.531;0.001;7;0.969;0.705;0.743;0.001;5
myHolidays;1.000;0.996;0.998;0.000;14;1.000;0.996;0.998;0.000;14
Modelo de Celulares;0.519;0.467;0.490;0.000;7;0.909;0.817;0.857;0.000;4
SMS a Cobrar / Resposta paga;0.857;0.486;0.514;0.001;7;1.000;0.567;0.600;0.001;6
MobileMedia_HudsonSilvaBorges;0.849;0.540;0.553;0.002;7;0.990;0.630;0.645;0.002;6
Mobile media v6;0.571;0.420;0.436;0.000;7;1.000;0.735;0.763;0.000;4
Rotation1;1.000;0.961;0.977;0.005;7;1.000;0.961;0.977;0.005;7
smart phone;0.761;0.661;0.634;0.004;7;0.888;0.771;0.740;0.004;6
SHIFT QAs;0.857;0.497;0.535;0.002;7;1.000;0.580;0.624;0.002;6
Sisgeo;1.000;0.999;0.999;0.020;7;1.000;0.999;0.999;0.020;7
Exercicio Experimento 1;0.710;0.464;0.487;0.002;7;0.994;0.650;0.681;0.002;5
mobile_media_thom;0.843;0.494;0.518;0.002;7;0.984;0.577;0.605;0.002;6
MobileMedia_Cleice;1.000;0.983;0.991;0.000;7;1.000;0.983;0.991;0.000;7
Automóvil;0.702;0.488;0.515;0.001;7;0.982;0.684;0.721;0.001;5
MobileMedia_Pedro_Pires;0.857;0.515;0.539;0.002;7;1.000;0.600;0.629;0.002;6
MobileMedia_Luciano;0.997;0.997;0.997;0.001;7;0.997;0.997;0.997;0.001;7
markke core asset testing;0.690;0.466;0.506;0.001;7;0.966;0.652;0.708;0.001;5
MobileMedia_VitorSales;0.692;0.518;0.533;0.002;7;0.969;0.725;0.746;0.002;5
mobile media;0.571;0.422;0.464;0.001;7;1.000;0.739;0.812;0.001;4
MobileMedia_BrunoMartins;0.555;0.524;0.538;0.002;7;0.972;0.918;0.941;0.002;4
MobileMedia_Marcelo;0.708;0.517;0.537;0.002;7;0.991;0.723;0.752;0.002;5
