Constraints;Count;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max
0;9;0.990;0.994;1.000;NaN;NaN;1.000;1.000;1.000;1.000;NaN;0.800;0.994;1.000;1.000;1.000;0.990;0.992;0.995;1.000;NaN;0.991;1.000;1.000;NaN;NaN;0.020;0.835;1.000;1.000;NaN;0.658;0.912;0.999;1.000;NaN
1;2;0.509;0.509;0.754;0.999;0.999;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.960;0.960;0.971;0.981;0.981;0.558;0.558;0.779;1.000;1.000;0.887;0.887;0.943;1.000;1.000;0.947;0.947;0.966;0.986;0.986
2;3;0.249;0.249;0.780;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.980;0.980;0.997;0.998;0.998;0.077;0.077;0.249;0.786;0.786;0.077;0.077;0.706;0.970;0.970;0.864;0.864;0.874;0.940;0.940
3;2;0.286;0.286;0.524;0.762;0.762;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.870;0.870;0.885;0.901;0.901;0.286;0.286;0.601;0.917;0.917;0.304;0.304;0.652;1.000;1.000;0.842;0.842;0.921;1.000;1.000
4;1;0.600;0.600;0.600;0.600;0.600;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.727;0.727;0.727;0.727;0.727;0.600;0.600;0.600;0.600;0.600;0.923;0.923;0.923;0.923;0.923;0.742;0.742;0.742;0.742;0.742
6;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.941;0.941;0.941;0.941;0.941;1.000;1.000;1.000;1.000;1.000;0.941;0.941;0.941;0.941;0.941
7;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.828;0.828;0.828;0.828;0.828;NaN;NaN;NaN;NaN;NaN;0.522;0.522;0.522;0.522;0.522;0.879;0.879;0.879;0.879;0.879
14;1;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.363;0.363;0.363;0.363;0.363
16;1;0.992;0.992;0.992;0.992;0.992;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.996;0.996;0.996;0.996;0.996;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.992;0.992;0.992;0.992;0.992

