CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;1.000;0.997;0.998;0.043;123;1.000;0.997;0.998;0.043;123
SVM_RBF[5.0];1.000;1.000;1.000;0.043;123;1.000;1.000;1.000;0.043;123
HoeffdingTree;0.976;0.263;0.414;0.043;123;1.000;0.270;0.425;0.043;120
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.043;123;1.000;1.000;1.000;0.043;123
REPTree;0.992;0.980;0.986;0.043;123;1.000;0.988;0.994;0.043;122
RandomForest;1.000;1.000;1.000;0.043;123;1.000;1.000;1.000;0.043;123
StochasticGradientDescend;0.000;0.000;0.000;0.043;123;0.000;0.000;0.000;0.000;0
RandomCommittee;1.000;0.997;0.998;0.043;123;1.000;0.997;0.998;0.043;123
NaiveBayesUpdateable;0.984;0.263;0.415;0.043;123;1.000;0.268;0.422;0.043;121
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.043;123;1.000;1.000;1.000;0.043;123
MultilayerPerceptron[a];1.000;0.909;0.952;0.043;123;1.000;0.909;0.952;0.043;123
J48;0.992;0.980;0.986;0.043;123;1.000;0.988;0.994;0.043;122


VALIDITY RATIO;(F)
min;0.004883
avg;0.042798
max;0.043457

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.912;0.782;0.812;0.043;1476;1.000;0.858;0.891;0.043;1346

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Disenio;0.583;0.483;0.521;0.005;12;1.000;0.829;0.893;0.005;7
VOD feature model;0.750;0.740;0.745;0.016;12;1.000;0.987;0.993;0.016;9
XOR NEW;0.917;0.786;0.816;0.043;1440;1.000;0.857;0.890;0.043;1320
anlisis II;0.833;0.744;0.751;0.028;12;1.000;0.893;0.901;0.028;10
