CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.930;0.448;0.538;0.007;208;0.930;0.448;0.538;0.007;208
SVM_RBF[5.0];1.000;1.000;1.000;0.007;208;1.000;1.000;1.000;0.007;208
HoeffdingTree;0.141;0.104;0.086;0.007;208;0.199;0.147;0.120;0.008;148
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.007;208;1.000;1.000;1.000;0.007;208
REPTree;0.926;0.731;0.789;0.007;208;0.926;0.731;0.789;0.007;208
RandomForest;1.000;1.000;1.000;0.007;208;1.000;1.000;1.000;0.007;208
StochasticGradientDescend;0.067;0.038;0.045;0.007;208;0.777;0.436;0.520;0.037;18
RandomCommittee;0.998;0.600;0.720;0.007;208;0.998;0.600;0.720;0.007;208
NaiveBayesUpdateable;0.065;0.012;0.020;0.007;208;0.961;0.177;0.296;0.042;14
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.007;208;1.000;1.000;1.000;0.007;208
MultilayerPerceptron[a];1.000;0.787;0.864;0.007;208;1.000;0.787;0.864;0.007;208
J48;0.236;0.218;0.226;0.007;208;0.981;0.909;0.941;0.016;50


VALIDITY RATIO;(F)
min;0.001953
avg;0.006816
max;0.049072

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.697;0.578;0.607;0.007;2496;0.918;0.762;0.800;0.008;1894

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
27-5-207 test;0.708;0.616;0.625;0.021;48;0.944;0.822;0.834;0.021;36
WB2;0.965;0.814;0.853;0.049;48;0.965;0.814;0.853;0.049;48
Implementacion;0.667;0.500;0.554;0.004;420;0.933;0.700;0.776;0.004;300
CFDP Library;0.979;0.843;0.876;0.039;120;0.979;0.843;0.876;0.039;120
Pruebas;0.667;0.500;0.556;0.002;420;1.000;0.750;0.833;0.002;280
JCS;0.750;0.650;0.687;0.024;12;1.000;0.867;0.916;0.024;9
Cell-Phone-SPL-2014-Mined;0.654;0.539;0.554;0.004;1008;0.872;0.719;0.738;0.004;756
FM with optional XOR;0.745;0.720;0.732;0.005;420;0.908;0.876;0.891;0.005;345
