CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;1.000;1.000;1.000;0.043;462;1.000;1.000;1.000;0.043;462
SVM_RBF[5.0];1.000;1.000;1.000;0.043;462;1.000;1.000;1.000;0.043;462
HoeffdingTree;1.000;0.270;0.425;0.043;462;1.000;0.270;0.425;0.043;462
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.043;462;1.000;1.000;1.000;0.043;462
REPTree;1.000;0.989;0.994;0.043;462;1.000;0.989;0.994;0.043;462
RandomForest;1.000;1.000;1.000;0.043;462;1.000;1.000;1.000;0.043;462
StochasticGradientDescend;0.000;0.000;0.000;0.043;462;0.000;0.000;0.000;0.000;0
RandomCommittee;1.000;1.000;1.000;0.043;462;1.000;1.000;1.000;0.043;462
NaiveBayesUpdateable;1.000;0.270;0.425;0.043;462;1.000;0.270;0.425;0.043;462
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.043;462;1.000;1.000;1.000;0.043;462
MultilayerPerceptron[a];1.000;0.910;0.953;0.043;462;1.000;0.910;0.953;0.043;462
J48;1.000;0.989;0.994;0.043;462;1.000;0.989;0.994;0.043;462


VALIDITY RATIO;(F)
min;0.043457
avg;0.043457
max;0.043457

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.917;0.786;0.816;0.043;5544;1.000;0.857;0.890;0.043;5082

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
XOR NEW;0.917;0.786;0.816;0.043;5544;1.000;0.857;0.890;0.043;5082
