CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.932;0.911;0.910;0.014;910;0.934;0.913;0.912;0.014;908
SVM_RBF[5.0];1.000;1.000;1.000;0.014;910;1.000;1.000;1.000;0.014;910
HoeffdingTree;0.271;0.164;0.156;0.014;910;0.393;0.238;0.227;0.018;627
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.014;910;1.000;1.000;1.000;0.014;910
REPTree;0.716;0.558;0.614;0.014;910;0.945;0.737;0.812;0.018;689
RandomForest;1.000;1.000;1.000;0.014;910;1.000;1.000;1.000;0.014;910
StochasticGradientDescend;0.000;0.000;0.000;0.014;910;0.000;0.000;0.000;0.000;0
RandomCommittee;0.999;0.986;0.991;0.014;910;1.000;0.987;0.992;0.014;909
NaiveBayesUpdateable;0.267;0.050;0.083;0.014;910;1.000;0.189;0.309;0.039;243
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.014;910;1.000;1.000;1.000;0.014;910
MultilayerPerceptron[a];1.000;0.898;0.945;0.014;910;1.000;0.898;0.945;0.014;910
J48;0.332;0.303;0.314;0.014;910;1.000;0.913;0.946;0.036;302


VALIDITY RATIO;(F)
min;0.002930
avg;0.014218
max;0.045898

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.710;0.656;0.668;0.014;10920;0.942;0.870;0.886;0.016;8228

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Disenio;0.583;0.483;0.521;0.005;12;1.000;0.829;0.893;0.005;7
Phone sple;0.833;0.763;0.789;0.027;12;1.000;0.915;0.947;0.027;10
VOD feature model;0.750;0.740;0.745;0.016;12;1.000;0.987;0.993;0.016;9
Final model;0.655;0.625;0.629;0.003;2640;0.873;0.833;0.839;0.003;1980
anlisis II;0.833;0.744;0.751;0.028;12;1.000;0.893;0.901;0.028;10
Sylvain Example;0.617;0.590;0.597;0.004;4620;0.942;0.901;0.912;0.004;3025
Car;0.833;0.744;0.755;0.006;12;1.000;0.892;0.906;0.006;10
Telefono;0.583;0.458;0.490;0.008;12;1.000;0.786;0.840;0.008;7
Modelo;0.500;0.438;0.450;0.004;12;1.000;0.875;0.900;0.004;6
Phone;0.833;0.755;0.766;0.028;24;1.000;0.906;0.919;0.028;20
Xor Example;0.750;0.650;0.690;0.020;672;1.000;0.867;0.920;0.020;504
Xor Example 2;0.882;0.796;0.807;0.036;1440;0.962;0.869;0.880;0.036;1320
XOR NEW;0.917;0.786;0.816;0.043;1440;1.000;0.857;0.890;0.043;1320
