CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;1.000;0.931;0.959;0.024;10;1.000;0.931;0.959;0.024;10
LogisticModelTree;0.988;0.986;0.987;0.024;10;0.988;0.986;0.987;0.024;10
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.024;10;1.000;1.000;1.000;0.024;10
REPTree;0.990;0.984;0.987;0.024;10;0.990;0.984;0.987;0.024;10
RandomForest;1.000;1.000;1.000;0.024;10;1.000;1.000;1.000;0.024;10
RandomCommittee;1.000;1.000;1.000;0.024;10;1.000;1.000;1.000;0.024;10
J48;0.998;0.962;0.979;0.024;10;0.998;0.962;0.979;0.024;10


VALIDITY RATIO;(F)
min;0.001038
avg;0.024353
max;0.076294

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.997;0.980;0.987;0.024;70;0.997;0.980;0.987;0.024;70

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RE;1.000;0.994;0.997;0.012;7;1.000;0.994;0.997;0.012;7
WB2;0.982;0.950;0.964;0.049;7;0.982;0.950;0.964;0.049;7
G10-music player;0.993;0.991;0.992;0.008;7;0.993;0.991;0.992;0.008;7
CFDP Library;1.000;0.998;0.999;0.058;14;1.000;0.998;0.999;0.058;14
IntelligentTutoringSystem;1.000;0.995;0.997;0.021;7;1.000;0.995;0.997;0.021;7
IDE4OCL;1.000;0.991;0.996;0.004;7;1.000;0.991;0.996;0.004;7
Asghar;0.992;0.974;0.982;0.016;7;0.992;0.974;0.982;0.016;7
MyFeatureModel;1.000;0.937;0.960;0.018;7;1.000;0.937;0.960;0.018;7
Mobile Phone, until relase 5;1.000;0.975;0.987;0.001;7;1.000;0.975;0.987;0.001;7
