CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Combinatorial[0];Web Content Delivery;368;0;0;523920;1.000;1.000;1.000
RandomForest;Combinatorial[0];Web Content Delivery;368;0;0;523920;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Web Content Delivery;256;0;112;523920;1.000;0.696;0.821
REPTree;Combinatorial[0];Web Content Delivery;240;112;128;523808;0.682;0.652;0.667
LogisticModelTree;Combinatorial[0];Web Content Delivery;48;0;320;523920;1.000;0.130;0.231
MultilayerPerceptron;Combinatorial[0];Web Content Delivery;176;0;192;523920;1.000;0.478;0.647
J48;Combinatorial[0];Web Content Delivery;48;0;320;523920;1.000;0.130;0.231
SVM_Poly[3,2.0,0.5];Combinatorial[0];IDE4OCL;1794;0;0;522494;1.000;1.000;1.000
RandomForest;Combinatorial[0];IDE4OCL;1794;0;0;522494;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];IDE4OCL;1794;0;0;522494;1.000;1.000;1.000
REPTree;Combinatorial[0];IDE4OCL;1792;0;2;522494;1.000;0.999;0.999
LogisticModelTree;Combinatorial[0];IDE4OCL;1792;0;2;522494;1.000;0.999;0.999
MultilayerPerceptron;Combinatorial[0];IDE4OCL;1792;0;2;522494;1.000;0.999;0.999
J48;Combinatorial[0];IDE4OCL;1792;0;2;522494;1.000;0.999;0.999
SVM_Poly[3,2.0,0.5];Combinatorial[0];Venza;80;0;0;524208;1.000;1.000;1.000
RandomForest;Combinatorial[0];Venza;80;0;0;524208;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Venza;16;0;64;524208;1.000;0.200;0.333
REPTree;Combinatorial[0];Venza;20;0;60;524208;1.000;0.250;0.400
LogisticModelTree;Combinatorial[0];Venza;0;0;80;524208;NaN;0.000;NaN
MultilayerPerceptron;Combinatorial[0];Venza;32;0;48;524208;1.000;0.400;0.571
J48;Combinatorial[0];Venza;0;0;80;524208;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];SD Voter pattern feature model;1920;0;0;522368;1.000;1.000;1.000
RandomForest;Combinatorial[0];SD Voter pattern feature model;1920;0;0;522368;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];SD Voter pattern feature model;1280;0;640;522368;1.000;0.667;0.800
REPTree;Combinatorial[0];SD Voter pattern feature model;1752;176;168;522192;0.909;0.913;0.911
LogisticModelTree;Combinatorial[0];SD Voter pattern feature model;1024;640;896;521728;0.615;0.533;0.571
MultilayerPerceptron;Combinatorial[0];SD Voter pattern feature model;1920;0;0;522368;1.000;1.000;1.000
J48;Combinatorial[0];SD Voter pattern feature model;1152;768;768;521600;0.600;0.600;0.600
SVM_Poly[3,2.0,0.5];Combinatorial[0];Software Engineering Course;14;0;0;524274;1.000;1.000;1.000
RandomForest;Combinatorial[0];Software Engineering Course;14;0;0;524274;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Software Engineering Course;14;0;0;524274;1.000;1.000;1.000
REPTree;Combinatorial[0];Software Engineering Course;8;0;6;524274;1.000;0.571;0.727
LogisticModelTree;Combinatorial[0];Software Engineering Course;14;0;0;524274;1.000;1.000;1.000
MultilayerPerceptron;Combinatorial[0];Software Engineering Course;12;0;2;524274;1.000;0.857;0.923
J48;Combinatorial[0];Software Engineering Course;0;0;14;524274;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Transmission;720;0;0;523568;1.000;1.000;1.000
RandomForest;Combinatorial[0];Transmission;720;0;0;523568;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Transmission;80;0;640;523568;1.000;0.111;0.200
REPTree;Combinatorial[0];Transmission;428;44;292;523524;0.907;0.594;0.718
LogisticModelTree;Combinatorial[0];Transmission;80;32;640;523536;0.714;0.111;0.192
MultilayerPerceptron;Combinatorial[0];Transmission;704;0;16;523568;1.000;0.978;0.989
J48;Combinatorial[0];Transmission;0;0;720;523568;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];GuideAgent;48;0;0;524240;1.000;1.000;1.000
RandomForest;Combinatorial[0];GuideAgent;48;0;0;524240;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];GuideAgent;48;0;0;524240;1.000;1.000;1.000
REPTree;Combinatorial[0];GuideAgent;40;4;8;524236;0.909;0.833;0.870
LogisticModelTree;Combinatorial[0];GuideAgent;48;0;0;524240;1.000;1.000;1.000
MultilayerPerceptron;Combinatorial[0];GuideAgent;44;0;4;524240;1.000;0.917;0.957
J48;Combinatorial[0];GuideAgent;40;0;8;524240;1.000;0.833;0.909
SVM_Poly[3,2.0,0.5];Combinatorial[0];Mobile Media;508;0;0;523780;1.000;1.000;1.000
RandomForest;Combinatorial[0];Mobile Media;508;0;0;523780;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Mobile Media;4;0;504;523780;1.000;0.008;0.016
REPTree;Combinatorial[0];Mobile Media;184;16;324;523764;0.920;0.362;0.520
LogisticModelTree;Combinatorial[0];Mobile Media;0;0;508;523780;NaN;0.000;NaN
MultilayerPerceptron;Combinatorial[0];Mobile Media;336;0;172;523780;1.000;0.661;0.796
J48;Combinatorial[0];Mobile Media;0;0;508;523780;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Mobile Media Adriano Lages;1680;0;0;522608;1.000;1.000;1.000
RandomForest;Combinatorial[0];Mobile Media Adriano Lages;1680;0;0;522608;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Mobile Media Adriano Lages;0;0;1680;522608;NaN;0.000;NaN
REPTree;Combinatorial[0];Mobile Media Adriano Lages;1376;180;304;522428;0.884;0.819;0.850
LogisticModelTree;Combinatorial[0];Mobile Media Adriano Lages;0;0;1680;522608;NaN;0.000;NaN
MultilayerPerceptron;Combinatorial[0];Mobile Media Adriano Lages;1680;0;0;522608;1.000;1.000;1.000
J48;Combinatorial[0];Mobile Media Adriano Lages;0;0;1680;522608;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];daniel souza;1684;0;0;522604;1.000;1.000;1.000
RandomForest;Combinatorial[0];daniel souza;1684;0;0;522604;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];daniel souza;4;0;1680;522604;1.000;0.002;0.005
REPTree;Combinatorial[0];daniel souza;1244;12;440;522592;0.990;0.739;0.846
LogisticModelTree;Combinatorial[0];daniel souza;4;0;1680;522604;1.000;0.002;0.005
MultilayerPerceptron;Combinatorial[0];daniel souza;1680;0;4;522604;1.000;0.998;0.999
J48;Combinatorial[0];daniel souza;0;0;1684;522604;NaN;0.000;NaN
