CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;0.900;0.786;0.833;0.002;10;1.000;0.873;0.925;0.002;9
LogisticModelTree;0.683;0.473;0.515;0.002;10;0.975;0.676;0.736;0.002;7
SVM_Poly[3,2.0,0.5];1.000;0.964;0.979;0.002;10;1.000;0.964;0.979;0.002;10
REPTree;0.868;0.767;0.806;0.002;10;0.964;0.853;0.896;0.002;9
RandomForest;0.900;0.900;0.900;0.002;10;1.000;1.000;1.000;0.002;9
RandomCommittee;0.883;0.621;0.643;0.002;10;0.981;0.690;0.714;0.002;9
J48;0.596;0.437;0.486;0.002;10;0.994;0.728;0.810;0.003;6


VALIDITY RATIO;(F)
min;0.000003
avg;0.001896
max;0.014282

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.833;0.707;0.737;0.002;70;0.988;0.839;0.875;0.002;59

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Disciplina;0.701;0.559;0.604;0.000;7;0.981;0.782;0.846;0.000;5
Respaldo de base de datos (Poda);0.143;0.095;0.114;0.000;7;1.000;0.667;0.800;0.000;1
Editor de imagem;1.000;0.990;0.995;0.002;7;1.000;0.990;0.995;0.002;7
ISPW-6;0.857;0.543;0.571;0.000;7;1.000;0.633;0.666;0.000;6
historioa clinica;1.000;0.988;0.994;0.000;7;1.000;0.988;0.994;0.000;7
Simaldores de Engenharia de Software;0.695;0.504;0.525;0.001;7;0.973;0.706;0.735;0.001;5
Test Collaboration System;0.932;0.805;0.837;0.014;7;0.932;0.805;0.837;0.014;7
Pruebas II;1.000;0.890;0.935;0.000;7;1.000;0.890;0.935;0.000;7
Requisitos II;1.000;0.696;0.799;0.000;7;1.000;0.696;0.799;0.000;7
Card Product;1.000;0.999;0.999;0.001;7;1.000;0.999;0.999;0.001;7
