CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Combinatorial[0];CIMS PL;2;0;0;1022;1.000;1.000;1.000
RandomForest;Combinatorial[0];CIMS PL;2;0;0;1022;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
REPTree;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
LogisticModelTree;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
MultilayerPerceptron;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
J48;Combinatorial[0];CIMS PL;0;0;2;1022;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
RandomForest;Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
REPTree;Combinatorial[0];Phone;46;6;1;971;0.885;0.979;0.929
LogisticModelTree;Combinatorial[0];Phone;47;0;0;977;1.000;1.000;1.000
MultilayerPerceptron;Combinatorial[0];Phone;46;0;1;977;1.000;0.979;0.989
J48;Combinatorial[0];Phone;46;0;1;977;1.000;0.979;0.989
SVM_Poly[3,2.0,0.5];Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
RandomForest;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
REPTree;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
LogisticModelTree;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
MultilayerPerceptron;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
J48;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Combinatorial[0];FeatureModel1;17;0;0;1007;1.000;1.000;1.000
RandomForest;Combinatorial[0];FeatureModel1;17;0;0;1007;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];FeatureModel1;17;0;0;1007;1.000;1.000;1.000
REPTree;Combinatorial[0];FeatureModel1;16;0;1;1007;1.000;0.941;0.970
LogisticModelTree;Combinatorial[0];FeatureModel1;16;0;1;1007;1.000;0.941;0.970
MultilayerPerceptron;Combinatorial[0];FeatureModel1;16;0;1;1007;1.000;0.941;0.970
J48;Combinatorial[0];FeatureModel1;16;0;1;1007;1.000;0.941;0.970
SVM_Poly[3,2.0,0.5];Combinatorial[0];Simnumero;9;0;0;1015;1.000;1.000;1.000
RandomForest;Combinatorial[0];Simnumero;9;0;0;1015;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Simnumero;9;0;0;1015;1.000;1.000;1.000
