CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;0.960;0.865;0.906;0.023;50;1.000;0.901;0.943;0.024;48
LogisticModelTree;0.850;0.798;0.808;0.023;50;0.988;0.927;0.939;0.026;43
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.023;50;1.000;1.000;1.000;0.023;50
REPTree;0.802;0.753;0.773;0.023;50;0.955;0.897;0.921;0.027;42
RandomForest;0.980;0.980;0.980;0.023;50;1.000;1.000;1.000;0.024;49
RandomCommittee;0.943;0.921;0.925;0.023;50;0.982;0.960;0.963;0.024;48
J48;0.666;0.635;0.647;0.023;50;0.979;0.934;0.952;0.032;34


VALIDITY RATIO;(F)
min;0.000244
avg;0.023401
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.886;0.850;0.863;0.023;350;0.987;0.948;0.962;0.026;314

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Loja Virtual;0.998;0.995;0.996;0.028;7;0.998;0.995;0.996;0.028;7
CCCMS;1.000;0.998;0.999;0.059;7;1.000;0.998;0.999;0.059;7
Bicis_Feature_Model;0.667;0.510;0.541;0.007;7;0.933;0.714;0.758;0.007;5
Phone sple;1.000;0.944;0.966;0.027;7;1.000;0.944;0.966;0.027;7
test gv;1.000;0.983;0.991;0.032;7;1.000;0.983;0.991;0.032;7
SmartHome- Simplified Sample;0.714;0.701;0.707;0.005;7;1.000;0.982;0.990;0.005;5
UPL;1.000;0.932;0.962;0.009;7;1.000;0.932;0.962;0.009;7
SmartHome_vConejero_r1;0.571;0.524;0.543;0.001;7;1.000;0.917;0.950;0.001;4
CFDP Library;1.000;0.998;0.999;0.058;14;1.000;0.998;0.999;0.058;14
ordem;0.958;0.857;0.902;0.028;7;0.958;0.857;0.902;0.028;7
Text Editor;0.821;0.798;0.802;0.003;7;0.958;0.931;0.936;0.003;6
KIModel;0.714;0.703;0.709;0.002;7;1.000;0.985;0.992;0.002;5
AA;0.813;0.798;0.805;0.017;7;0.949;0.931;0.940;0.017;6
Prontuário Eletrônico de Pacientes;1.000;0.935;0.964;0.011;7;1.000;0.935;0.964;0.011;7
AvionFEatures;0.989;0.967;0.978;0.013;7;0.989;0.967;0.978;0.013;7
test_fm;0.857;0.810;0.832;0.002;7;1.000;0.944;0.971;0.002;6
CIMS PL;0.286;0.286;0.286;0.002;7;1.000;1.000;1.000;0.002;2
VODPlayer;0.908;0.895;0.868;0.048;7;0.908;0.895;0.868;0.048;7
isolation;0.714;0.679;0.694;0.004;7;1.000;0.950;0.971;0.004;5
Example Mobile Phone;0.942;0.733;0.798;0.015;7;0.942;0.733;0.798;0.015;7
desordem;0.958;0.857;0.902;0.028;7;0.958;0.857;0.902;0.028;7
rtrt;1.000;1.000;1.000;0.020;7;1.000;1.000;1.000;0.020;7
RE;1.000;0.994;0.997;0.012;7;1.000;0.994;0.997;0.012;7
Computer Selection;0.571;0.524;0.543;0.003;7;1.000;0.917;0.950;0.003;4
MyFM;0.803;0.643;0.668;0.020;7;0.937;0.750;0.780;0.020;6
MyFeatureModel;1.000;0.937;0.960;0.018;7;1.000;0.937;0.960;0.018;7
Mobile Game;0.989;0.997;0.993;0.133;7;0.989;0.997;0.993;0.133;7
Mobile Phone, until relase 5;1.000;0.975;0.987;0.001;7;1.000;0.975;0.987;0.001;7
SAL;0.651;0.538;0.578;0.013;7;0.911;0.754;0.809;0.013;5
Doorlopende reisverzekering;1.000;0.991;0.996;0.016;7;1.000;0.991;0.996;0.016;7
WB2;0.982;0.950;0.964;0.049;7;0.982;0.950;0.964;0.049;7
VOD feature model;1.000;0.983;0.991;0.016;7;1.000;0.983;0.991;0.016;7
Asghar;0.992;0.974;0.982;0.016;7;0.992;0.974;0.982;0.016;7
FM1;0.143;0.143;0.143;0.000;7;1.000;1.000;1.000;0.000;1
Mauricio Alférez;0.857;0.805;0.828;0.005;7;1.000;0.939;0.966;0.005;6
MobileMedia;1.000;0.985;0.992;0.028;7;1.000;0.985;0.992;0.028;7
Phone;0.984;0.991;0.987;0.046;7;0.984;0.991;0.987;0.046;7
MiniRPG;1.000;0.975;0.987;0.002;7;1.000;0.975;0.987;0.002;7
IntelligentTutoringSystem;1.000;0.995;0.997;0.021;7;1.000;0.995;0.997;0.021;7
IDE4OCL;1.000;0.991;0.996;0.004;7;1.000;0.991;0.996;0.004;7
ETRobocon;1.000;0.995;0.998;0.059;7;1.000;0.995;0.998;0.059;7
G10-music player;0.993;0.991;0.992;0.008;7;0.993;0.991;0.992;0.008;7
aaaaaa;1.000;1.000;1.000;0.008;7;1.000;1.000;1.000;0.008;7
E-portal;1.000;0.975;0.987;0.008;7;1.000;0.975;0.987;0.008;7
carpl;0.857;0.810;0.829;0.003;7;1.000;0.944;0.967;0.003;6
Ökonomische Merkmale;0.989;0.983;0.986;0.024;7;0.989;0.983;0.986;0.024;7
FeatureModel1;1.000;0.966;0.983;0.017;7;1.000;0.966;0.983;0.017;7
Simnumero;0.571;0.508;0.531;0.009;7;1.000;0.889;0.929;0.009;4
WebApp;1.000;0.996;0.998;0.157;7;1.000;0.996;0.998;0.157;7
