CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MultilayerPerceptron;0.967;0.878;0.916;0.022;60;1.000;0.908;0.948;0.023;58
LogisticModelTree;0.826;0.741;0.753;0.022;60;0.972;0.872;0.885;0.025;51
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.022;60;1.000;1.000;1.000;0.022;60
REPTree;0.800;0.745;0.766;0.022;60;0.941;0.876;0.901;0.025;51
RandomForest;0.983;0.983;0.983;0.022;60;1.000;1.000;1.000;0.022;59
RandomCommittee;0.936;0.893;0.896;0.022;60;0.969;0.924;0.927;0.023;58
J48;0.615;0.581;0.589;0.022;60;0.971;0.917;0.930;0.031;38


VALIDITY RATIO;(F)
min;0.000153
avg;0.021971
max;0.157227

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.875;0.832;0.843;0.022;420;0.980;0.931;0.945;0.024;375

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Loja Virtual;0.998;0.995;0.996;0.028;7;0.998;0.995;0.996;0.028;7
CCCMS;1.000;0.998;0.999;0.059;7;1.000;0.998;0.999;0.059;7
Bicis_Feature_Model;0.667;0.510;0.541;0.007;7;0.933;0.714;0.758;0.007;5
Phone sple;1.000;0.944;0.966;0.027;7;1.000;0.944;0.966;0.027;7
test gv;1.000;0.983;0.991;0.032;7;1.000;0.983;0.991;0.032;7
SmartHome- Simplified Sample;0.714;0.701;0.707;0.005;7;1.000;0.982;0.990;0.005;5
UPL;1.000;0.932;0.962;0.009;7;1.000;0.932;0.962;0.009;7
SmartHome_vConejero_r1;0.571;0.524;0.543;0.001;7;1.000;0.917;0.950;0.001;4
Veículo;0.764;0.571;0.590;0.010;7;0.891;0.667;0.688;0.010;6
CFDP Library;1.000;0.998;0.999;0.058;14;1.000;0.998;0.999;0.058;14
ordem;0.958;0.857;0.902;0.028;7;0.958;0.857;0.902;0.028;7
Text Editor;0.821;0.798;0.802;0.003;7;0.958;0.931;0.936;0.003;6
KIModel;0.714;0.703;0.709;0.002;7;1.000;0.985;0.992;0.002;5
Homepage based on wiki;0.843;0.704;0.726;0.004;7;0.984;0.822;0.847;0.004;6
AA;0.813;0.798;0.805;0.017;7;0.949;0.931;0.940;0.017;6
Prontuário Eletrônico de Pacientes;1.000;0.935;0.964;0.011;7;1.000;0.935;0.964;0.011;7
AvionFEatures;0.989;0.967;0.978;0.013;7;0.989;0.967;0.978;0.013;7
test_fm;0.857;0.810;0.832;0.002;7;1.000;0.944;0.971;0.002;6
CIMS PL;0.286;0.286;0.286;0.002;7;1.000;1.000;1.000;0.002;2
VODPlayer;0.908;0.895;0.868;0.048;7;0.908;0.895;0.868;0.048;7
isolation;0.714;0.679;0.694;0.004;7;1.000;0.950;0.971;0.004;5
UML-IDE-TOOL;1.000;1.000;1.000;0.094;7;1.000;1.000;1.000;0.094;7
Example Mobile Phone;0.942;0.733;0.798;0.015;7;0.942;0.733;0.798;0.015;7
desordem;0.958;0.857;0.902;0.028;7;0.958;0.857;0.902;0.028;7
rtrt;1.000;1.000;1.000;0.020;7;1.000;1.000;1.000;0.020;7
RE;1.000;0.994;0.997;0.012;7;1.000;0.994;0.997;0.012;7
Computer Selection;0.571;0.524;0.543;0.003;7;1.000;0.917;0.950;0.003;4
MyFM;0.803;0.643;0.668;0.020;7;0.937;0.750;0.780;0.020;6
MyFeatureModel;1.000;0.937;0.960;0.018;7;1.000;0.937;0.960;0.018;7
Mobile Game;0.989;0.997;0.993;0.133;7;0.989;0.997;0.993;0.133;7
Mobile Phone, until relase 5;1.000;0.975;0.987;0.001;7;1.000;0.975;0.987;0.001;7
SAL;0.651;0.538;0.578;0.013;7;0.911;0.754;0.809;0.013;5
Doorlopende reisverzekering;1.000;0.991;0.996;0.016;7;1.000;0.991;0.996;0.016;7
iNavBasic;0.714;0.657;0.683;0.000;7;1.000;0.920;0.956;0.000;5
WB2;0.982;0.950;0.964;0.049;7;0.982;0.950;0.964;0.049;7
VOD feature model;1.000;0.983;0.991;0.016;7;1.000;0.983;0.991;0.016;7
Dummy Car;0.793;0.586;0.646;0.002;7;0.925;0.683;0.754;0.002;6
Asghar;0.992;0.974;0.982;0.016;7;0.992;0.974;0.982;0.016;7
FM1;0.143;0.143;0.143;0.000;7;1.000;1.000;1.000;0.000;1
Mauricio Alférez;0.857;0.805;0.828;0.005;7;1.000;0.939;0.966;0.005;6
Adams Car;0.706;0.552;0.564;0.007;7;0.989;0.772;0.790;0.007;5
MobileMedia;1.000;0.985;0.992;0.028;7;1.000;0.985;0.992;0.028;7
Phone;0.984;0.991;0.987;0.046;7;0.984;0.991;0.987;0.046;7
MiniTV;1.000;0.998;0.999;0.015;7;1.000;0.998;0.999;0.015;7
MiniRPG;1.000;0.975;0.987;0.002;7;1.000;0.975;0.987;0.002;7
IntelligentTutoringSystem;1.000;0.995;0.997;0.021;7;1.000;0.995;0.997;0.021;7
IDE4OCL;1.000;0.991;0.996;0.004;7;1.000;0.991;0.996;0.004;7
ETRobocon;1.000;0.995;0.998;0.059;7;1.000;0.995;0.998;0.059;7
Tata Cars;0.863;0.869;0.844;0.003;7;0.863;0.869;0.844;0.003;7
G10-music player;0.993;0.991;0.992;0.008;7;0.993;0.991;0.992;0.008;7
aaaaaa;1.000;1.000;1.000;0.008;7;1.000;1.000;1.000;0.008;7
E-portal;1.000;0.975;0.987;0.008;7;1.000;0.975;0.987;0.008;7
carpl;0.857;0.810;0.829;0.003;7;1.000;0.944;0.967;0.003;6
CTOS MODEL;0.712;0.730;0.712;0.001;7;0.831;0.852;0.831;0.001;6
Ökonomische Merkmale;0.989;0.983;0.986;0.024;7;0.989;0.983;0.986;0.024;7
FeatureModel1;1.000;0.966;0.983;0.017;7;1.000;0.966;0.983;0.017;7
Simnumero;0.571;0.508;0.531;0.009;7;1.000;0.889;0.929;0.009;4
Eshop-ufrj;0.831;0.714;0.704;0.012;7;0.969;0.833;0.821;0.012;6
WebApp;1.000;0.996;0.998;0.157;7;1.000;0.996;0.998;0.157;7
