Constraints;Count;REPTree_min;REPTree_Q1;REPTree_Q2;REPTree_Q3;REPTree_max;MultilayerPerceptron_min;MultilayerPerceptron_Q1;MultilayerPerceptron_Q2;MultilayerPerceptron_Q3;MultilayerPerceptron_max;J48_min;J48_Q1;J48_Q2;J48_Q3;J48_max;RandomForest_min;RandomForest_Q1;RandomForest_Q2;RandomForest_Q3;RandomForest_max;LogisticModelTree_min;LogisticModelTree_Q1;LogisticModelTree_Q2;LogisticModelTree_Q3;LogisticModelTree_max;SVM_Poly[3,2.0,0.5]_min;SVM_Poly[3,2.0,0.5]_Q1;SVM_Poly[3,2.0,0.5]_Q2;SVM_Poly[3,2.0,0.5]_Q3;SVM_Poly[3,2.0,0.5]_max;RandomCommittee_min;RandomCommittee_Q1;RandomCommittee_Q2;RandomCommittee_Q3;RandomCommittee_max
0;68;0.500;0.896;0.975;0.999;NaN;0.714;0.960;0.990;0.997;NaN;0.023;0.976;0.998;NaN;NaN;0.996;1.000;1.000;1.000;NaN;0.005;0.915;0.999;1.000;NaN;0.800;1.000;1.000;1.000;1.000;0.005;0.859;1.000;1.000;NaN
1;21;0.429;0.756;0.936;0.999;NaN;0.786;0.937;0.980;1.000;1.000;0.473;0.881;1.000;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.192;0.694;1.000;1.000;NaN;1.000;1.000;1.000;1.000;1.000;0.016;0.743;1.000;1.000;NaN
2;15;0.381;0.634;0.870;0.934;NaN;0.857;0.957;0.991;1.000;1.000;0.149;0.522;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.077;0.247;0.750;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.077;0.786;1.000;1.000;NaN
3;8;0.563;0.798;0.950;0.992;1.000;0.783;0.896;0.971;0.990;0.995;0.563;0.835;0.983;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.020;0.653;0.992;1.000;1.000;1.000;1.000;1.000;1.000;1.000;0.020;0.930;1.000;1.000;1.000
4;4;0.400;0.571;0.853;0.982;0.999;0.571;0.649;0.862;0.998;0.999;0.600;0.743;0.943;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.600;0.750;0.950;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.333;0.628;0.962;1.000;1.000
5;1;0.997;0.997;0.997;0.997;0.997;0.998;0.998;0.998;0.998;0.998;0.997;0.997;0.997;0.997;0.997;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
6;1;0.667;0.667;0.667;0.667;0.667;0.647;0.647;0.647;0.647;0.647;0.231;0.231;0.231;0.231;0.231;1.000;1.000;1.000;1.000;1.000;0.231;0.231;0.231;0.231;0.231;1.000;1.000;1.000;1.000;1.000;0.821;0.821;0.821;0.821;0.821
7;1;0.879;0.879;0.879;0.879;0.879;0.828;0.828;0.828;0.828;0.828;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.522;0.522;0.522;0.522;0.522
9;1;0.962;0.962;0.962;0.962;0.962;0.762;0.762;0.762;0.762;0.762;NaN;NaN;NaN;NaN;NaN;1.000;1.000;1.000;1.000;1.000;0.556;0.556;0.556;0.556;0.556;1.000;1.000;1.000;1.000;1.000;0.556;0.556;0.556;0.556;0.556

