CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.545;0.478;0.497;0.011;49;0.920;0.807;0.839;0.017;29
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.011;49;1.000;1.000;1.000;0.011;49
REPTree;0.728;0.604;0.629;0.011;49;0.938;0.779;0.811;0.014;38
RandomForest;1.000;1.000;1.000;0.011;49;1.000;1.000;1.000;0.011;49
StochasticGradientDescend;0.021;0.145;0.032;0.011;49;0.092;0.645;0.143;0.037;11
RandomCommittee;0.733;0.750;0.730;0.011;49;0.898;0.919;0.894;0.013;40
NaiveBayesUpdateable;0.155;0.076;0.089;0.011;49;0.632;0.312;0.363;0.035;12
MultilayerPerceptron[a];0.959;0.909;0.929;0.011;49;1.000;0.948;0.968;0.012;47
J48;0.436;0.384;0.397;0.011;49;0.970;0.855;0.883;0.022;22


VALIDITY RATIO;(F)
min;0.000061
avg;0.011146
max;0.116272

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.620;0.594;0.589;0.011;441;0.920;0.882;0.875;0.015;297

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RE Process;0.667;0.667;0.667;0.000;9;1.000;1.000;1.000;0.000;6
Buzzard Radio play DB;0.888;0.919;0.836;0.027;9;0.888;0.919;0.836;0.027;9
BSS_CS5702_G3;0.667;0.667;0.667;0.000;9;1.000;1.000;1.000;0.000;6
pruebapalabras;0.743;0.502;0.570;0.004;9;0.956;0.645;0.733;0.004;7
video on demand;0.667;0.528;0.563;0.002;9;1.000;0.792;0.844;0.002;6
Search_Engine_PL;0.742;0.605;0.643;0.008;9;0.834;0.681;0.723;0.008;8
User Model;0.768;0.753;0.759;0.009;9;0.987;0.968;0.975;0.009;7
Eleição de um prefeito e um vereador;0.333;0.333;0.333;0.001;9;1.000;1.000;1.000;0.001;3
Mobile media v4;0.333;0.333;0.333;0.000;9;1.000;1.000;1.000;0.000;3
Scenario Application;0.444;0.349;0.361;0.003;9;1.000;0.786;0.813;0.003;4
UML-IDE-TOOL;0.901;1.000;0.911;0.094;9;0.901;1.000;0.911;0.094;9
Virtual_Office_of_the_Future;0.500;0.407;0.444;0.003;9;0.900;0.733;0.800;0.003;5
Urna Gleidson;0.619;0.667;0.640;0.001;9;0.928;1.000;0.960;0.001;6
Linha de produtos - SimulES e PnP;0.720;0.571;0.602;0.009;9;0.926;0.734;0.774;0.009;7
Car PL;0.619;0.543;0.574;0.005;9;0.929;0.814;0.861;0.005;6
PhysEval;0.705;0.679;0.684;0.003;9;0.906;0.873;0.880;0.003;7
catalogo;0.389;0.444;0.407;0.000;9;0.875;1.000;0.917;0.000;4
Smartwatch;0.795;0.795;0.795;0.004;9;0.895;0.895;0.895;0.004;8
Mobile Phone, until relase 5;0.778;0.778;0.778;0.001;9;1.000;1.000;1.000;0.001;7
JPlug;0.774;0.658;0.706;0.005;9;0.995;0.846;0.908;0.005;7
Mobile Media;0.389;0.333;0.356;0.000;9;0.875;0.750;0.800;0.000;4
Clinica Medica;0.556;0.500;0.519;0.001;9;1.000;0.900;0.933;0.001;5
Celulares;0.854;0.903;0.813;0.025;9;0.854;0.903;0.813;0.025;9
WB;0.876;0.896;0.837;0.039;9;0.876;0.896;0.837;0.039;9
Mobile Media JULIO;0.889;0.778;0.799;0.001;9;1.000;0.875;0.899;0.001;8
Mobile Phone Software;0.519;0.453;0.479;0.003;9;0.933;0.815;0.861;0.003;5
SA;0.761;0.778;0.769;0.011;9;0.979;1.000;0.989;0.011;7
Simplified Smart Hotel;0.686;0.705;0.690;0.014;9;0.686;0.705;0.690;0.014;9
LeSE - Learning Software Engineering;0.333;0.296;0.311;0.001;9;1.000;0.889;0.933;0.001;3
Carro Model;0.389;0.333;0.353;0.002;9;0.875;0.750;0.794;0.002;4
MiniTV;0.892;0.982;0.886;0.015;9;0.892;0.982;0.886;0.015;9
IDE4OCL;0.792;0.802;0.796;0.004;9;0.891;0.902;0.895;0.004;8
matrices;0.333;0.333;0.333;0.001;9;1.000;1.000;1.000;0.001;3
JhotDrawn;0.788;0.857;0.794;0.063;9;0.788;0.857;0.794;0.063;9
