CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Combinatorial[0];Small Graph Product Line;308;0;0;130764;1.000;1.000;1.000
RandomForest;Combinatorial[0];Small Graph Product Line;308;0;0;130764;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Small Graph Product Line;64;64;244;130700;0.500;0.208;0.294
REPTree;Combinatorial[0];Small Graph Product Line;166;14;142;130750;0.922;0.539;0.680
LogisticModelTree;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
MultilayerPerceptron[a];Combinatorial[0];Small Graph Product Line;308;0;0;130764;1.000;1.000;1.000
J48;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
RandomForest;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];AudioPlayer;96;96;0;130880;0.500;1.000;0.667
REPTree;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
LogisticModelTree;Combinatorial[0];AudioPlayer;0;0;96;130976;NaN;0.000;NaN
MultilayerPerceptron[a];Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
J48;Combinatorial[0];AudioPlayer;0;0;96;130976;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];AudioPlayer;0;0;96;130976;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];AudioPlayer;26;5422;70;125554;0.005;0.271;0.009
SVM_Poly[3,2.0,0.5];Combinatorial[0];Mobile Media until relase 7;112;0;0;130960;1.000;1.000;1.000
RandomForest;Combinatorial[0];Mobile Media until relase 7;112;0;0;130960;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Mobile Media until relase 7;112;0;0;130960;1.000;1.000;1.000
REPTree;Combinatorial[0];Mobile Media until relase 7;112;0;0;130960;1.000;1.000;1.000
LogisticModelTree;Combinatorial[0];Mobile Media until relase 7;112;0;0;130960;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Mobile Media until relase 7;112;0;0;130960;1.000;1.000;1.000
J48;Combinatorial[0];Mobile Media until relase 7;112;0;0;130960;1.000;1.000;1.000
NaiveBayesUpdateable;Combinatorial[0];Mobile Media until relase 7;16;0;96;130960;1.000;0.143;0.250
StochasticGradientDescend;Combinatorial[0];Mobile Media until relase 7;112;42723;0;88237;0.003;1.000;0.005
SVM_Poly[3,2.0,0.5];Combinatorial[0];SMS a Cobrar / Resposta paga;96;0;0;130976;1.000;1.000;1.000
RandomForest;Combinatorial[0];SMS a Cobrar / Resposta paga;96;0;0;130976;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];SMS a Cobrar / Resposta paga;0;0;96;130976;NaN;0.000;NaN
REPTree;Combinatorial[0];SMS a Cobrar / Resposta paga;16;0;80;130976;1.000;0.167;0.286
LogisticModelTree;Combinatorial[0];SMS a Cobrar / Resposta paga;0;0;96;130976;NaN;0.000;NaN
MultilayerPerceptron[a];Combinatorial[0];SMS a Cobrar / Resposta paga;96;0;0;130976;1.000;1.000;1.000
J48;Combinatorial[0];SMS a Cobrar / Resposta paga;0;0;96;130976;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];SMS a Cobrar / Resposta paga;0;0;96;130976;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];SMS a Cobrar / Resposta paga;0;0;96;130976;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Basic Text Editor;96;0;0;130976;1.000;1.000;1.000
