CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.478;0.428;0.439;0.021;134;0.903;0.808;0.829;0.030;71
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.021;134;1.000;1.000;1.000;0.021;134
REPTree;0.556;0.491;0.510;0.021;134;0.886;0.784;0.814;0.029;84
RandomForest;1.000;1.000;1.000;0.021;134;1.000;1.000;1.000;0.021;134
StochasticGradientDescend;0.021;0.046;0.019;0.021;134;0.319;0.692;0.277;0.103;9
RandomCommittee;0.835;0.829;0.810;0.021;134;0.917;0.911;0.889;0.022;122
NaiveBayesUpdateable;0.188;0.080;0.099;0.021;134;0.741;0.315;0.389;0.049;34
MultilayerPerceptron[a];0.985;0.951;0.965;0.021;134;1.000;0.965;0.980;0.021;132
J48;0.314;0.299;0.303;0.021;134;0.955;0.910;0.924;0.040;44


VALIDITY RATIO;(F)
min;0.000488
avg;0.021058
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.597;0.569;0.572;0.021;1206;0.943;0.899;0.902;0.026;764

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
sasgd;0.778;0.711;0.741;0.020;9;1.000;0.914;0.952;0.020;7
Mobile phone;0.444;0.433;0.439;0.010;9;1.000;0.975;0.987;0.010;4
Bicis_Feature_Model;0.333;0.333;0.333;0.006;9;1.000;1.000;1.000;0.006;3
Maquina de Cae;0.611;0.556;0.569;0.035;9;0.786;0.714;0.731;0.035;7
test gv;0.889;0.889;0.889;0.031;9;1.000;1.000;1.000;0.031;8
E-Shop, magister2014;0.389;0.444;0.407;0.018;9;0.875;1.000;0.917;0.018;4
E-shop;0.849;0.667;0.702;0.014;9;0.955;0.750;0.790;0.014;8
UPL;0.736;0.679;0.705;0.009;9;0.946;0.873;0.907;0.009;7
Hello World;0.609;0.610;0.609;0.034;9;0.783;0.784;0.783;0.034;7
Weather Station;0.444;0.414;0.413;0.021;9;0.800;0.745;0.743;0.021;5
LXEP;0.333;0.333;0.333;0.002;9;1.000;1.000;1.000;0.002;3
Xor Example;0.778;0.644;0.694;0.020;9;1.000;0.829;0.893;0.020;7
Implementacion;0.444;0.349;0.384;0.003;9;1.000;0.786;0.864;0.003;4
ordem;0.852;0.702;0.729;0.027;9;0.958;0.790;0.820;0.027;8
Observatorio;0.333;0.333;0.333;0.004;9;1.000;1.000;1.000;0.004;3
eshop;0.639;0.568;0.591;0.009;9;0.958;0.852;0.887;0.009;6
AA;0.743;0.597;0.626;0.016;9;0.955;0.768;0.805;0.016;7
E-SHOP;0.422;0.444;0.432;0.008;9;0.950;1.000;0.972;0.008;4
