CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Combinatorial[0];SAL;12;0;0;1012;1.000;1.000;1.000
RandomForest;Combinatorial[0];SAL;12;0;0;1012;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];SAL;4;4;8;1008;0.500;0.333;0.400
REPTree;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
MultilayerPerceptron[a];Combinatorial[0];SAL;12;0;0;1012;1.000;1.000;1.000
J48;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
StochasticGradientDescend;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
RandomForest;Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
REPTree;Combinatorial[0];Mobile Game;135;9;0;880;0.938;1.000;0.968
LogisticModelTree;Combinatorial[0];Mobile Game;135;2;0;887;0.985;1.000;0.993
MultilayerPerceptron[a];Combinatorial[0];Mobile Game;135;0;0;889;1.000;1.000;1.000
J48;Combinatorial[0];Mobile Game;135;9;0;880;0.938;1.000;0.968
NaiveBayesUpdateable;Combinatorial[0];Mobile Game;75;5;60;884;0.938;0.556;0.698
StochasticGradientDescend;Combinatorial[0];Mobile Game;135;499;0;390;0.213;1.000;0.351
SVM_Poly[3,2.0,0.5];Combinatorial[0];VODPlayer;48;0;0;976;1.000;1.000;1.000
RandomForest;Combinatorial[0];VODPlayer;48;0;0;976;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];VODPlayer;48;16;0;960;0.750;1.000;0.857
REPTree;Combinatorial[0];VODPlayer;48;32;0;944;0.600;1.000;0.750
LogisticModelTree;Combinatorial[0];VODPlayer;48;32;0;944;0.600;1.000;0.750
MultilayerPerceptron[a];Combinatorial[0];VODPlayer;48;0;0;976;1.000;1.000;1.000
J48;Combinatorial[0];VODPlayer;48;32;0;944;0.600;1.000;0.750
NaiveBayesUpdateable;Combinatorial[0];VODPlayer;0;16;48;960;0.000;0.000;NaN
