CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
PART;0.624;0.594;0.602;0.021;57;0.961;0.915;0.928;0.024;37
OneR;0.009;0.018;0.012;0.021;57;0.500;1.000;0.667;0.250;1
ZeroR;0.000;0.000;0.000;0.021;57;0.000;0.000;0.000;0.000;0
JRip;0.690;0.650;0.652;0.021;57;0.936;0.882;0.885;0.026;42


VALIDITY RATIO;(F)
min;0.000488
avg;0.020534
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.331;0.315;0.317;0.021;228;0.942;0.898;0.902;0.028;80

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Loja Virtual;0.444;0.500;0.469;0.027;4;0.889;1.000;0.938;0.027;2
Matrix chain multiplication;0.000;0.000;0.000;0.007;4;0.000;0.000;0.000;0.000;0
SmartHome- Simplified Sample;0.500;0.500;0.500;0.005;4;1.000;1.000;1.000;0.005;2
E-shop;0.477;0.483;0.479;0.014;4;0.953;0.966;0.958;0.014;2
UPL;0.469;0.389;0.425;0.009;4;0.938;0.778;0.849;0.009;2
SmartHome_vConejero_r1;0.500;0.500;0.500;0.001;4;1.000;1.000;1.000;0.001;2
Weather Station;0.233;0.159;0.189;0.021;4;0.933;0.636;0.757;0.021;1
27-5-207 test;0.239;0.250;0.244;0.021;4;0.957;1.000;0.978;0.021;1
Test;0.000;0.000;0.000;0.003;4;0.000;0.000;0.000;0.000;0
Xor Example;0.250;0.250;0.250;0.020;4;1.000;1.000;1.000;0.020;1
Implementacion;0.000;0.000;0.000;0.003;4;0.000;0.000;0.000;0.000;0
Xor Example 2;0.500;0.500;0.500;0.035;4;1.000;1.000;1.000;0.035;2
ordem;0.500;0.500;0.500;0.027;4;1.000;1.000;1.000;0.027;2
Observatorio;0.000;0.000;0.000;0.004;4;0.000;0.000;0.000;0.000;0
XOR NEW;0.500;0.500;0.500;0.043;4;1.000;1.000;1.000;0.043;2
SimpleModel;0.000;0.000;0.000;0.012;4;0.000;0.000;0.000;0.000;0
Ubuntu;0.000;0.000;0.000;0.006;4;0.000;0.000;0.000;0.000;0
mo;0.500;0.500;0.500;0.029;4;1.000;1.000;1.000;0.029;2
JDFM;0.000;0.000;0.000;0.010;4;0.000;0.000;0.000;0.000;0
NovoSiga;0.400;0.200;0.233;0.010;4;0.800;0.400;0.467;0.010;2
ubuntu;0.250;0.083;0.125;0.009;4;1.000;0.333;0.500;0.009;1
testing;0.498;0.500;0.499;0.125;4;0.996;1.000;0.998;0.125;2
Rotation1;0.500;0.500;0.500;0.005;4;1.000;1.000;1.000;0.005;2
Imolementacion II;0.000;0.000;0.000;0.001;4;0.000;0.000;0.000;0.000;0
Cellphone;0.000;0.000;0.000;0.007;4;0.000;0.000;0.000;0.000;0
Mobile Media v3;0.500;0.500;0.500;0.001;4;1.000;1.000;1.000;0.001;2
Jogo;0.500;0.500;0.500;0.002;4;1.000;1.000;1.000;0.002;2
desordem;0.483;0.500;0.491;0.027;4;0.967;1.000;0.983;0.027;2
Basic Car;0.500;0.500;0.500;0.008;4;1.000;1.000;1.000;0.008;2
1;0.469;0.500;0.483;0.007;4;0.938;1.000;0.967;0.007;2
Sylvain Example;0.351;0.300;0.323;0.005;4;0.701;0.600;0.646;0.005;2
Car;0.403;0.458;0.422;0.006;4;0.806;0.917;0.845;0.006;2
HandlingSystem;0.000;0.000;0.000;0.000;4;0.000;0.000;0.000;0.000;0
Assistente de Compras;0.250;0.167;0.200;0.012;4;1.000;0.667;0.800;0.012;1
MyFeatureModel;0.432;0.386;0.387;0.017;4;0.865;0.771;0.774;0.017;2
ROOT;0.500;0.500;0.500;0.047;4;1.000;1.000;1.000;0.047;2
SPL_e_commerce;0.250;0.241;0.245;0.027;4;1.000;0.964;0.982;0.027;1
Website;0.500;0.500;0.500;0.031;4;1.000;1.000;1.000;0.031;2
VOD feature model;0.500;0.500;0.500;0.016;4;1.000;1.000;1.000;0.016;2
Mauricio Alférez;0.500;0.500;0.500;0.005;4;1.000;1.000;1.000;0.005;2
Asghar;0.465;0.367;0.395;0.016;4;0.931;0.734;0.789;0.016;2
Analisis;0.250;0.250;0.250;0.003;4;1.000;1.000;1.000;0.003;1
Autosoft;0.250;0.250;0.250;0.055;4;1.000;1.000;1.000;0.055;1
PC model;0.500;0.306;0.341;0.009;4;1.000;0.611;0.682;0.009;2
ESCA Embeeded System;0.000;0.000;0.000;0.005;4;0.000;0.000;0.000;0.000;0
Match de foot;0.500;0.500;0.500;0.008;4;1.000;1.000;1.000;0.008;2
CarExample;0.000;0.000;0.000;0.001;4;0.000;0.000;0.000;0.000;0
ETRobocon;0.484;0.500;0.492;0.059;4;0.969;1.000;0.984;0.059;2
asdsfa ewtwwe;0.500;0.333;0.375;0.006;4;1.000;0.667;0.750;0.006;2
ZMUConcernExample;0.438;0.438;0.438;0.004;4;0.875;0.875;0.875;0.004;2
collapse_view_example;0.223;0.202;0.212;0.015;4;0.893;0.806;0.847;0.015;1
E-portal;0.417;0.500;0.450;0.008;4;0.833;1.000;0.900;0.008;2
Modelo de Característica para Entidades Urbanas;0.625;0.750;0.667;0.250;4;0.833;1.000;0.889;0.250;3
r;0.232;0.077;0.116;0.041;4;0.929;0.310;0.464;0.041;1
poker spl;0.364;0.381;0.372;0.010;4;0.727;0.762;0.744;0.010;2
erewr;0.250;0.250;0.250;0.012;4;1.000;1.000;1.000;0.012;1
Webshop_SPLE2014_Chalmers;0.450;0.500;0.472;0.004;4;0.900;1.000;0.944;0.004;2
