CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
JRip;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
PART;Combinatorial[0];Cell Phone;52;0;9;32707;1.000;0.852;0.920
ZeroR;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
OneR;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
JRip;Combinatorial[0];Web Content Delivery;0;0;23;32745;NaN;0.000;NaN
PART;Combinatorial[0];Web Content Delivery;6;4;17;32741;0.600;0.261;0.364
ZeroR;Combinatorial[0];Web Content Delivery;0;0;23;32745;NaN;0.000;NaN
OneR;Combinatorial[0];Web Content Delivery;0;0;23;32745;NaN;0.000;NaN
JRip;Combinatorial[0];Coff Feature Model;1512;0;0;31256;1.000;1.000;1.000
PART;Combinatorial[0];Coff Feature Model;1512;0;0;31256;1.000;1.000;1.000
ZeroR;Combinatorial[0];Coff Feature Model;0;0;1512;31256;NaN;0.000;NaN
OneR;Combinatorial[0];Coff Feature Model;0;0;1512;31256;NaN;0.000;NaN
JRip;Combinatorial[0];VMS;44;0;0;32724;1.000;1.000;1.000
PART;Combinatorial[0];VMS;44;0;0;32724;1.000;1.000;1.000
ZeroR;Combinatorial[0];VMS;0;0;44;32724;NaN;0.000;NaN
OneR;Combinatorial[0];VMS;0;0;44;32724;NaN;0.000;NaN
JRip;Combinatorial[0];Test;45;3;15;32705;0.938;0.750;0.833
PART;Combinatorial[0];Test;19;1;41;32707;0.950;0.317;0.475
ZeroR;Combinatorial[0];Test;0;0;60;32708;NaN;0.000;NaN
OneR;Combinatorial[0];Test;0;0;60;32708;NaN;0.000;NaN
JRip;Combinatorial[0];Venza;0;0;4;32764;NaN;0.000;NaN
PART;Combinatorial[0];Venza;0;0;4;32764;NaN;0.000;NaN
ZeroR;Combinatorial[0];Venza;0;0;4;32764;NaN;0.000;NaN
OneR;Combinatorial[0];Venza;0;0;4;32764;NaN;0.000;NaN
JRip;Combinatorial[0];SD Voter pattern feature model;4;0;116;32648;1.000;0.033;0.065
PART;Combinatorial[0];SD Voter pattern feature model;72;32;48;32616;0.692;0.600;0.643
ZeroR;Combinatorial[0];SD Voter pattern feature model;0;0;120;32648;NaN;0.000;NaN
OneR;Combinatorial[0];SD Voter pattern feature model;0;0;120;32648;NaN;0.000;NaN
JRip;Combinatorial[0];Technical Solution Process;8;0;44;32716;1.000;0.154;0.267
PART;Combinatorial[0];Technical Solution Process;52;0;0;32716;1.000;1.000;1.000
ZeroR;Combinatorial[0];Technical Solution Process;0;0;52;32716;NaN;0.000;NaN
OneR;Combinatorial[0];Technical Solution Process;0;0;52;32716;NaN;0.000;NaN
JRip;Combinatorial[0];iNavBasic;4;0;0;32764;1.000;1.000;1.000
PART;Combinatorial[0];iNavBasic;4;0;0;32764;1.000;1.000;1.000
ZeroR;Combinatorial[0];iNavBasic;0;0;4;32764;NaN;0.000;NaN
OneR;Combinatorial[0];iNavBasic;0;0;4;32764;NaN;0.000;NaN
JRip;Combinatorial[0];Transmission;0;0;44;32724;NaN;0.000;NaN
PART;Combinatorial[0];Transmission;0;0;44;32724;NaN;0.000;NaN
ZeroR;Combinatorial[0];Transmission;0;0;44;32724;NaN;0.000;NaN
OneR;Combinatorial[0];Transmission;0;0;44;32724;NaN;0.000;NaN
JRip;Combinatorial[0];Agile Simules;24;6;0;32738;0.800;1.000;0.889
PART;Combinatorial[0];Agile Simules;12;0;12;32744;1.000;0.500;0.667
ZeroR;Combinatorial[0];Agile Simules;0;0;24;32744;NaN;0.000;NaN
OneR;Combinatorial[0];Agile Simules;0;0;24;32744;NaN;0.000;NaN
JRip;Combinatorial[0];MobileMedia_Lenita;6;0;0;32762;1.000;1.000;1.000
PART;Combinatorial[0];MobileMedia_Lenita;6;0;0;32762;1.000;1.000;1.000
ZeroR;Combinatorial[0];MobileMedia_Lenita;0;0;6;32762;NaN;0.000;NaN
OneR;Combinatorial[0];MobileMedia_Lenita;0;0;6;32762;NaN;0.000;NaN
JRip;Combinatorial[0];Estudo Experimental 2;6;0;0;32762;1.000;1.000;1.000
PART;Combinatorial[0];Estudo Experimental 2;6;0;0;32762;1.000;1.000;1.000
ZeroR;Combinatorial[0];Estudo Experimental 2;0;0;6;32762;NaN;0.000;NaN
OneR;Combinatorial[0];Estudo Experimental 2;0;0;6;32762;NaN;0.000;NaN
JRip;Combinatorial[0];Flight Reservations;126;22;0;32620;0.851;1.000;0.920
PART;Combinatorial[0];Flight Reservations;126;0;0;32642;1.000;1.000;1.000
ZeroR;Combinatorial[0];Flight Reservations;0;0;126;32642;NaN;0.000;NaN
OneR;Combinatorial[0];Flight Reservations;0;0;126;32642;NaN;0.000;NaN
JRip;Combinatorial[0];MobileMedia_Ibraim;24;0;0;32744;1.000;1.000;1.000
PART;Combinatorial[0];MobileMedia_Ibraim;24;0;0;32744;1.000;1.000;1.000
ZeroR;Combinatorial[0];MobileMedia_Ibraim;0;0;24;32744;NaN;0.000;NaN
OneR;Combinatorial[0];MobileMedia_Ibraim;0;0;24;32744;NaN;0.000;NaN
JRip;Combinatorial[0];MobileMedia_LeonardoVasconcelos;48;0;0;32720;1.000;1.000;1.000
