CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
PART;0.621;0.550;0.568;0.017;238;0.923;0.818;0.845;0.021;160
OneR;0.002;0.004;0.003;0.017;238;0.500;1.000;0.667;0.250;1
ZeroR;0.000;0.000;0.000;0.017;238;0.000;0.000;0.000;0.000;0
JRip;0.688;0.585;0.603;0.017;238;0.925;0.787;0.811;0.021;177


VALIDITY RATIO;(F)
min;0.000122
avg;0.017065
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.328;0.285;0.293;0.017;952;0.923;0.802;0.826;0.022;338

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Mobile phone;0.500;0.200;0.286;0.010;4;1.000;0.400;0.571;0.010;2
Visit Indonesia Apps;0.000;0.000;0.000;0.010;4;0.000;0.000;0.000;0.000;0
MyDental;0.469;0.500;0.483;0.010;4;0.938;1.000;0.967;0.010;2
Bicis_Feature_Model;0.000;0.000;0.000;0.006;4;0.000;0.000;0.000;0.000;0
test gv;0.500;0.500;0.500;0.031;4;1.000;1.000;1.000;0.031;2
E-Shop, magister2014;0.188;0.167;0.176;0.018;4;0.750;0.667;0.706;0.018;1
Alarm System;0.219;0.042;0.070;0.005;4;0.875;0.167;0.280;0.005;1
Hello World;0.449;0.300;0.321;0.034;4;0.898;0.600;0.642;0.034;2
Weather Station;0.233;0.159;0.189;0.021;4;0.933;0.636;0.757;0.021;1
Video On Demand SPL FM;0.188;0.141;0.161;0.002;4;0.750;0.563;0.643;0.002;1
depresija;0.496;0.500;0.498;0.016;4;0.992;1.000;0.996;0.016;2
KIModel;0.500;0.500;0.500;0.001;4;1.000;1.000;1.000;0.001;2
AA;0.447;0.484;0.464;0.016;4;0.895;0.969;0.929;0.016;2
Example Product Line Course Using SPLOT;0.167;0.143;0.154;0.014;4;0.667;0.571;0.615;0.014;1
Disenio;0.250;0.125;0.167;0.004;4;1.000;0.500;0.667;0.004;1
Address Book;0.500;0.500;0.500;0.018;4;1.000;1.000;1.000;0.018;2
VODPlayer;0.375;0.167;0.225;0.047;4;0.750;0.333;0.450;0.047;2
i18n;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
1;0.469;0.500;0.483;0.007;4;0.938;1.000;0.967;0.007;2
rtrt;0.500;0.500;0.500;0.020;4;1.000;1.000;1.000;0.020;2
Sylvain Example;0.405;0.332;0.358;0.004;8;0.809;0.664;0.717;0.004;4
RE;0.500;0.500;0.500;0.012;4;1.000;1.000;1.000;0.012;2
JCS;0.500;0.292;0.321;0.023;4;1.000;0.583;0.643;0.023;2
MarketPlace-Sample;0.500;0.333;0.400;0.000;4;1.000;0.667;0.800;0.000;2
Mobile Media;0.500;0.104;0.171;0.003;4;1.000;0.208;0.343;0.003;2
search-engine;0.448;0.304;0.321;0.011;8;0.895;0.608;0.642;0.011;4
Website;0.500;0.500;0.500;0.031;4;1.000;1.000;1.000;0.031;2
FM1;0.000;0.000;0.000;0.000;4;0.000;0.000;0.000;0.000;0
Mauricio Alférez;0.500;0.500;0.500;0.005;4;1.000;1.000;1.000;0.005;2
MobileMedia;0.431;0.442;0.435;0.028;8;0.861;0.883;0.869;0.028;4
cell phones SPL;0.438;0.188;0.261;0.002;4;0.875;0.375;0.523;0.002;2
IntelligentTutoringSystem;0.500;0.500;0.500;0.021;4;1.000;1.000;1.000;0.021;2
Multiplicador de n matrices;0.000;0.000;0.000;0.004;4;0.000;0.000;0.000;0.000;0
Cell-Phone-SPL-2014;0.250;0.063;0.100;0.002;4;1.000;0.250;0.400;0.002;1
HADAS-security;0.000;0.000;0.000;0.001;4;0.000;0.000;0.000;0.000;0
Tripeo;0.438;0.500;0.464;0.001;4;0.875;1.000;0.929;0.001;2
Wewq;0.000;0.000;0.000;0.000;4;0.000;0.000;0.000;0.000;0
a;0.469;0.500;0.483;0.010;4;0.938;1.000;0.967;0.010;2
Content model;0.482;0.495;0.488;0.022;4;0.964;0.989;0.976;0.022;2
SmartHotel;0.415;0.225;0.292;0.012;4;0.831;0.451;0.583;0.012;2
G10-music player;0.492;0.500;0.496;0.008;4;0.984;1.000;0.992;0.008;2
asdsfa ewtwwe;0.500;0.333;0.375;0.006;4;1.000;0.667;0.750;0.006;2
Feature Tree Example;0.375;0.500;0.417;0.008;4;0.750;1.000;0.833;0.008;2
Dental Surgery;0.500;0.500;0.500;0.002;4;1.000;1.000;1.000;0.002;2
disenio II;0.471;0.500;0.484;0.029;4;0.941;1.000;0.969;0.029;2
r;0.232;0.077;0.116;0.041;4;0.929;0.310;0.464;0.041;1
FeatureModel1;0.500;0.500;0.500;0.016;4;1.000;1.000;1.000;0.016;2
poker spl;0.364;0.381;0.372;0.010;4;0.727;0.762;0.744;0.010;2
Simnumero;0.375;0.281;0.313;0.008;4;0.750;0.563;0.625;0.008;2
abcdefg;0.500;0.167;0.250;0.006;4;1.000;0.333;0.500;0.006;2
MPES2016-2.Reuso2;0.188;0.250;0.214;0.001;4;0.750;1.000;0.857;0.001;1
Mobile-Phone;0.167;0.143;0.154;0.014;4;0.667;0.571;0.615;0.014;1
WebApp;0.500;0.500;0.500;0.156;4;1.000;1.000;1.000;0.156;2
teste;0.000;0.000;0.000;0.001;4;0.000;0.000;0.000;0.000;0
Smart Queue;0.500;0.500;0.500;0.000;4;1.000;1.000;1.000;0.000;2
Cell-Phone-SPL-2014-Part2;0.389;0.117;0.163;0.004;4;0.778;0.233;0.326;0.004;2
Matrix chain multiplication;0.000;0.000;0.000;0.007;4;0.000;0.000;0.000;0.000;0
Phone sple;0.422;0.500;0.458;0.026;4;0.844;1.000;0.915;0.026;2
Manuel;0.438;0.389;0.412;0.009;4;0.875;0.778;0.824;0.009;2
Mobile phone (lenita);0.167;0.143;0.154;0.014;4;0.667;0.571;0.615;0.014;1
27-5-207 test;0.239;0.250;0.244;0.021;4;0.957;1.000;0.978;0.021;1
Congress Assistant;0.500;0.333;0.375;0.012;4;1.000;0.667;0.750;0.012;2
Test;0.164;0.133;0.146;0.010;8;0.655;0.531;0.586;0.016;2
mon model;0.188;0.031;0.054;0.006;4;0.750;0.125;0.214;0.006;1
Veículo;0.250;0.125;0.167;0.010;4;1.000;0.500;0.667;0.010;1
Xor Example 2;0.500;0.500;0.500;0.035;4;1.000;1.000;1.000;0.035;2
Cell-Phone-SPL-2014-Mined;0.250;0.145;0.184;0.004;4;1.000;0.581;0.735;0.004;1
XOR NEW;0.500;0.500;0.500;0.043;4;1.000;1.000;1.000;0.043;2
Homepage based on wiki;0.358;0.286;0.317;0.003;4;0.717;0.571;0.635;0.003;2
