CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.000;0.000;0.000;0.021;77;0.000;0.000;0.000;0.000;0


VALIDITY RATIO;(F)
min;0.000977
avg;0.021446
max;0.156250

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.000;0.000;0.000;0.021;77;0.000;0.000;0.000;0.000;0

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
sasgd;0.000;0.000;0.000;0.020;1;0.000;0.000;0.000;0.000;0
Mobile phone;0.000;0.000;0.000;0.010;1;0.000;0.000;0.000;0.000;0
hhhhhhh;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
Bicis_Feature_Model;0.000;0.000;0.000;0.006;1;0.000;0.000;0.000;0.000;0
Maquina de Cae;0.000;0.000;0.000;0.035;1;0.000;0.000;0.000;0.000;0
Phone sple;0.000;0.000;0.000;0.026;1;0.000;0.000;0.000;0.000;0
test gv;0.000;0.000;0.000;0.031;1;0.000;0.000;0.000;0.000;0
Manuel;0.000;0.000;0.000;0.009;1;0.000;0.000;0.000;0.000;0
E-Shop, magister2014;0.000;0.000;0.000;0.018;1;0.000;0.000;0.000;0.000;0
Mobile phone (lenita);0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
Hello World;0.000;0.000;0.000;0.034;1;0.000;0.000;0.000;0.000;0
test 3;0.000;0.000;0.000;0.031;1;0.000;0.000;0.000;0.000;0
LXEP;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
Test;0.000;0.000;0.000;0.016;1;0.000;0.000;0.000;0.000;0
TEST_NAme;0.000;0.000;0.000;0.035;1;0.000;0.000;0.000;0.000;0
eshop;0.000;0.000;0.000;0.009;1;0.000;0.000;0.000;0.000;0
AA;0.000;0.000;0.000;0.016;1;0.000;0.000;0.000;0.000;0
E-SHOP;0.000;0.000;0.000;0.008;1;0.000;0.000;0.000;0.000;0
Prontuário Eletrônico de Pacientes;0.000;0.000;0.000;0.010;1;0.000;0.000;0.000;0.000;0
Bandymas;0.000;0.000;0.000;0.018;1;0.000;0.000;0.000;0.000;0
Example Product Line Course Using SPLOT;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
AvionFEatures;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.000;0
Disenio;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
CIMS PL;0.000;0.000;0.000;0.001;1;0.000;0.000;0.000;0.000;0
VODPlayer;0.000;0.000;0.000;0.047;1;0.000;0.000;0.000;0.000;0
isolation;0.000;0.000;0.000;0.003;1;0.000;0.000;0.000;0.000;0
drupal sawsen;0.000;0.000;0.000;0.008;1;0.000;0.000;0.000;0.000;0
Example Mobile Phone;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
SPL Studies;0.000;0.000;0.000;0.061;1;0.000;0.000;0.000;0.000;0
Mobile Phone GF;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
testISA2012;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
rtrt;0.000;0.000;0.000;0.020;1;0.000;0.000;0.000;0.000;0
Match engine;0.000;0.000;0.000;0.016;1;0.000;0.000;0.000;0.000;0
MK Andes;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
Cell-Phone-SPL-2014-without;0.000;0.000;0.000;0.047;1;0.000;0.000;0.000;0.000;0
Car;0.000;0.000;0.000;0.023;1;0.000;0.000;0.000;0.000;0
Computer Selection;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
mobile phone;0.000;0.000;0.000;0.025;1;0.000;0.000;0.000;0.000;0
Modelo;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
MyFM;0.000;0.000;0.000;0.019;1;0.000;0.000;0.000;0.000;0
Mobile Phone;0.000;0.000;0.000;0.014;2;0.000;0.000;0.000;0.000;0
Mobile Game;0.000;0.000;0.000;0.132;1;0.000;0.000;0.000;0.000;0
SAL;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.000;0
Guad gmocht!;0.000;0.000;0.000;0.020;1;0.000;0.000;0.000;0.000;0
votacao eletronica;0.000;0.000;0.000;0.007;1;0.000;0.000;0.000;0.000;0
UPT_RM_MOBILE;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
Mobile Phone UPT - 18413;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
Mobile Tourist Planner;0.000;0.000;0.000;0.027;1;0.000;0.000;0.000;0.000;0
Minimalistic PC Feature Model;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
anlisis II;0.000;0.000;0.000;0.027;1;0.000;0.000;0.000;0.000;0
Autosoft;0.000;0.000;0.000;0.119;1;0.000;0.000;0.000;0.000;0
MobileMedia;0.000;0.000;0.000;0.028;2;0.000;0.000;0.000;0.000;0
Telefono;0.000;0.000;0.000;0.007;1;0.000;0.000;0.000;0.000;0
Phone;0.000;0.000;0.000;0.045;1;0.000;0.000;0.000;0.000;0
Rotary_Element;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.000;0
celular;0.000;0.000;0.000;0.011;1;0.000;0.000;0.000;0.000;0
Eval_board;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
AllSports Feature Model;0.000;0.000;0.000;0.023;1;0.000;0.000;0.000;0.000;0
Sample;0.000;0.000;0.000;0.031;1;0.000;0.000;0.000;0.000;0
Feature Tree Example;0.000;0.000;0.000;0.008;1;0.000;0.000;0.000;0.000;0
Dental Surgery;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
jjjjj;0.000;0.000;0.000;0.018;1;0.000;0.000;0.000;0.000;0
disenio II;0.000;0.000;0.000;0.029;1;0.000;0.000;0.000;0.000;0
Mobile Phone UPT;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
Test1;0.000;0.000;0.000;0.008;1;0.000;0.000;0.000;0.000;0
carpl;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
acarlos_trab2_mobile;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
Nudelsalat;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.000;0
Telefonia Celular;0.000;0.000;0.000;0.035;1;0.000;0.000;0.000;0.000;0
FeatureModel1;0.000;0.000;0.000;0.016;1;0.000;0.000;0.000;0.000;0
Ökonomische Merkmale;0.000;0.000;0.000;0.023;1;0.000;0.000;0.000;0.000;0
Simnumero;0.000;0.000;0.000;0.008;1;0.000;0.000;0.000;0.000;0
abcdefg;0.000;0.000;0.000;0.006;1;0.000;0.000;0.000;0.000;0
Mobile-Phone;0.000;0.000;0.000;0.014;1;0.000;0.000;0.000;0.000;0
WebApp;0.000;0.000;0.000;0.156;1;0.000;0.000;0.000;0.000;0
