CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Combinatorial[0];IntelligentTutoringSystem;84;0;0;4012;1.000;1.000;1.000
SVM_RBF[2.0];Combinatorial[0];IntelligentTutoringSystem;84;0;0;4012;1.000;1.000;1.000
SVM_Sigmoid[0.1];Combinatorial[0];IntelligentTutoringSystem;0;0;84;4012;NaN;0.000;NaN
SVM_Linear;Combinatorial[0];IntelligentTutoringSystem;66;8;18;4004;0.892;0.786;0.835
SVM_Puk[1.0, 0.1];Combinatorial[0];IntelligentTutoringSystem;84;0;0;4012;1.000;1.000;1.000
HoeffdingTree;Combinatorial[0];IntelligentTutoringSystem;60;2410;24;1602;0.024;0.714;0.047
IBk;Combinatorial[0];IntelligentTutoringSystem;84;0;0;4012;1.000;1.000;1.000
KStar;Combinatorial[0];IntelligentTutoringSystem;72;0;12;4012;1.000;0.857;0.923
LWL;Combinatorial[0];IntelligentTutoringSystem;72;0;12;4012;1.000;0.857;0.923
SVM_RBF[5.0];Combinatorial[0];test_fm;8;0;0;4088;1.000;1.000;1.000
SVM_RBF[2.0];Combinatorial[0];test_fm;8;0;0;4088;1.000;1.000;1.000
SVM_Sigmoid[0.1];Combinatorial[0];test_fm;0;0;8;4088;NaN;0.000;NaN
SVM_Linear;Combinatorial[0];test_fm;0;0;8;4088;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Combinatorial[0];test_fm;8;0;0;4088;1.000;1.000;1.000
HoeffdingTree;Combinatorial[0];test_fm;0;0;8;4088;NaN;0.000;NaN
IBk;Combinatorial[0];test_fm;8;0;0;4088;1.000;1.000;1.000
KStar;Combinatorial[0];test_fm;0;0;8;4088;NaN;0.000;NaN
LWL;Combinatorial[0];test_fm;0;0;8;4088;NaN;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Eshop-ufrj;48;0;0;4048;1.000;1.000;1.000
