CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.500;0.381;0.409;0.017;10;1.000;0.763;0.818;0.031;5
SVM_RBF[2.0];0.900;0.828;0.849;0.017;10;1.000;0.920;0.943;0.019;9
SVM_RBF[5.0];1.000;1.000;1.000;0.017;10;1.000;1.000;1.000;0.017;10
IBk;1.000;1.000;1.000;0.017;10;1.000;1.000;1.000;0.017;10
HoeffdingTree;0.020;0.335;0.038;0.017;10;0.023;0.373;0.042;0.019;9
KStar;0.500;0.381;0.409;0.017;10;1.000;0.763;0.818;0.031;5
SVM_Sigmoid[0.1];0.094;0.098;0.096;0.017;10;0.936;0.979;0.957;0.059;1
SVM_Linear;0.360;0.328;0.340;0.017;10;0.899;0.819;0.850;0.036;4
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.017;10;1.000;1.000;1.000;0.017;10


VALIDITY RATIO;(F)
min;0.001953
avg;0.017480
max;0.058594

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.597;0.595;0.571;0.017;90;0.853;0.849;0.816;0.022;63

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Doorlopende reisverzekering;0.780;0.889;0.783;0.016;9;0.878;1.000;0.881;0.016;8
test_fm;0.444;0.444;0.444;0.002;9;1.000;1.000;1.000;0.002;4
CCCMS;0.886;0.998;0.902;0.059;9;0.886;0.998;0.902;0.059;9
WB2;0.758;0.746;0.718;0.049;9;0.852;0.839;0.807;0.049;8
mon model;0.444;0.444;0.444;0.006;9;0.800;0.800;0.800;0.006;5
Text Editor;0.444;0.374;0.393;0.003;9;0.800;0.673;0.707;0.003;5
IntelligentTutoringSystem;0.768;0.802;0.748;0.021;9;0.865;0.902;0.841;0.021;8
Dummy Car;0.333;0.333;0.333;0.002;9;0.750;0.750;0.750;0.002;4
Eshop-ufrj;0.667;0.472;0.503;0.012;9;0.857;0.607;0.647;0.012;7
Adams Car;0.444;0.444;0.444;0.007;9;0.800;0.800;0.800;0.007;5
