CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.560;0.454;0.486;0.021;50;1.000;0.810;0.869;0.035;28
SVM_RBF[2.0];0.860;0.798;0.819;0.021;50;1.000;0.927;0.953;0.024;43
SVM_RBF[5.0];1.000;1.000;1.000;0.021;50;1.000;1.000;1.000;0.021;50
IBk;1.000;1.000;1.000;0.021;50;1.000;1.000;1.000;0.021;50
HoeffdingTree;0.107;0.241;0.074;0.021;50;0.167;0.377;0.116;0.027;32
KStar;0.560;0.454;0.486;0.021;50;1.000;0.810;0.869;0.035;28
SVM_Sigmoid[0.1];0.114;0.073;0.078;0.021;50;0.517;0.333;0.356;0.053;11
SVM_Linear;0.376;0.350;0.359;0.021;50;0.894;0.834;0.855;0.037;21
SVM_Puk[1.0, 0.1];0.980;0.980;0.980;0.021;50;1.000;1.000;1.000;0.022;49


VALIDITY RATIO;(F)
min;0.000122
avg;0.021262
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.617;0.594;0.587;0.021;450;0.890;0.857;0.847;0.027;312

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CCCMS;0.886;0.998;0.902;0.059;9;0.886;0.998;0.902;0.059;9
Phone sple;0.667;0.617;0.640;0.026;9;1.000;0.926;0.960;0.026;6
UPL;0.764;0.605;0.659;0.009;9;0.982;0.778;0.847;0.009;7
SmartHome_vConejero_r1;0.333;0.333;0.333;0.001;9;1.000;1.000;1.000;0.001;3
Test;0.333;0.333;0.333;0.003;9;1.000;1.000;1.000;0.003;3
mon model;0.444;0.444;0.444;0.006;9;0.800;0.800;0.800;0.006;5
Veículo;0.444;0.444;0.444;0.010;9;0.800;0.800;0.800;0.010;5
CFDP Library;0.842;0.809;0.765;0.058;18;0.842;0.809;0.765;0.058;18
ordem;0.667;0.635;0.650;0.027;9;1.000;0.952;0.974;0.027;6
Text Editor;0.444;0.374;0.393;0.003;9;0.800;0.673;0.707;0.003;5
KIModel;0.444;0.444;0.444;0.001;9;0.800;0.800;0.800;0.001;5
test_fm;0.444;0.444;0.444;0.002;9;1.000;1.000;1.000;0.002;4
AvionFEatures;0.667;0.519;0.565;0.012;9;1.000;0.778;0.848;0.012;6
CIMS PL;0.333;0.333;0.333;0.001;9;1.000;1.000;1.000;0.001;3
VODPlayer;0.750;0.778;0.762;0.047;9;0.844;0.875;0.857;0.047;8
UML-IDE-TOOL;0.880;0.980;0.888;0.094;9;0.880;0.980;0.888;0.094;9
desordem;0.667;0.635;0.650;0.027;9;1.000;0.952;0.974;0.027;6
RE;0.779;0.889;0.781;0.012;9;0.877;1.000;0.879;0.012;8
Linha de produtos - SimulES e PnP;0.444;0.444;0.444;0.009;9;0.667;0.667;0.667;0.009;6
Car PL;0.445;0.465;0.445;0.005;9;0.800;0.836;0.801;0.005;5
MyFM;0.333;0.333;0.333;0.019;9;1.000;1.000;1.000;0.019;3
Aircraft PL;0.667;0.641;0.653;0.038;9;0.750;0.721;0.735;0.038;8
MyFeatureModel;0.667;0.540;0.578;0.017;9;1.000;0.810;0.867;0.017;6
Mobile Game;0.967;0.880;0.912;0.132;9;0.967;0.880;0.912;0.132;9
Mobile Phone, until relase 5;0.556;0.556;0.556;0.001;9;1.000;1.000;1.000;0.001;5
SAL;0.444;0.370;0.389;0.012;9;1.000;0.833;0.875;0.012;4
Doorlopende reisverzekering;0.780;0.889;0.783;0.016;9;0.878;1.000;0.881;0.016;8
WB2;0.758;0.746;0.718;0.049;9;0.852;0.839;0.807;0.049;8
VOD feature model;0.778;0.778;0.778;0.016;9;1.000;1.000;1.000;0.016;7
WB;0.762;0.799;0.740;0.039;9;0.762;0.799;0.740;0.039;9
FM1;0.222;0.222;0.222;0.000;9;1.000;1.000;1.000;0.000;2
Dummy Car;0.333;0.333;0.333;0.002;9;0.750;0.750;0.750;0.002;4
Asghar;0.667;0.538;0.581;0.016;9;1.000;0.807;0.871;0.016;6
Adams Car;0.444;0.444;0.444;0.007;9;0.800;0.800;0.800;0.007;5
Phone;0.872;0.778;0.800;0.045;9;0.981;0.875;0.901;0.045;8
Carro Model;0.444;0.393;0.411;0.002;9;0.800;0.707;0.739;0.002;5
MiniTV;0.838;0.891;0.785;0.015;9;0.838;0.891;0.785;0.015;9
IntelligentTutoringSystem;0.768;0.802;0.748;0.021;9;0.865;0.902;0.841;0.021;8
IDE4OCL;0.556;0.667;0.557;0.004;9;0.834;1.000;0.835;0.004;6
ETRobocon;0.986;0.993;0.989;0.059;9;0.986;0.993;0.989;0.059;9
Parking lot Manager;0.444;0.403;0.419;0.002;9;0.800;0.725;0.754;0.002;5
G10-music player;0.887;0.769;0.788;0.008;9;0.998;0.865;0.887;0.008;8
Tata Cars;0.444;0.417;0.429;0.003;9;0.800;0.750;0.771;0.003;5
E-portal;0.750;0.583;0.617;0.008;9;0.964;0.750;0.793;0.008;7
carpl;0.333;0.333;0.333;0.002;9;1.000;1.000;1.000;0.002;3
CTOS MODEL;0.444;0.444;0.444;0.001;9;0.800;0.800;0.800;0.001;5
Ökonomische Merkmale;0.866;0.713;0.764;0.023;9;0.974;0.802;0.859;0.023;8
ELPS - ISE;0.667;0.660;0.663;0.028;9;0.750;0.742;0.746;0.028;8
Eshop-ufrj;0.667;0.472;0.503;0.012;9;0.857;0.607;0.647;0.012;7
