CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Logistic;0.593;0.479;0.505;0.021;57;0.768;0.620;0.655;0.023;44


VALIDITY RATIO;(F)
min;0.000488
avg;0.020534
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.593;0.479;0.505;0.021;57;0.768;0.620;0.655;0.023;44

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Loja Virtual;0.817;0.875;0.845;0.027;1;0.817;0.875;0.845;0.027;1
Matrix chain multiplication;0.000;0.000;0.000;0.007;1;0.000;0.000;0.000;0.000;0
SmartHome- Simplified Sample;1.000;1.000;1.000;0.005;1;1.000;1.000;1.000;0.005;1
E-shop;0.632;0.414;0.500;0.014;1;0.632;0.414;0.500;0.014;1
UPL;0.875;0.778;0.824;0.009;1;0.875;0.778;0.824;0.009;1
SmartHome_vConejero_r1;1.000;1.000;1.000;0.001;1;1.000;1.000;1.000;0.001;1
Weather Station;0.500;0.091;0.154;0.021;1;0.500;0.091;0.154;0.021;1
27-5-207 test;0.500;0.364;0.421;0.021;1;0.500;0.364;0.421;0.021;1
Test;0.000;0.000;0.000;0.003;1;0.000;0.000;0.000;0.000;0
Xor Example;0.000;0.000;0.000;0.020;1;0.000;0.000;0.000;0.000;0
Implementacion;0.000;0.000;0.000;0.003;1;0.000;0.000;0.000;0.000;0
Xor Example 2;1.000;0.333;0.500;0.035;1;1.000;0.333;0.500;0.035;1
ordem;0.750;0.214;0.333;0.027;1;0.750;0.214;0.333;0.027;1
Observatorio;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
XOR NEW;0.875;0.636;0.737;0.043;1;0.875;0.636;0.737;0.043;1
SimpleModel;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.012;1
