CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
Logistic;Combinatorial[0];IntelligentTutoringSystem;56;8;28;4004;0.875;0.667;0.757
Logistic;Combinatorial[0];test_fm;8;0;0;4088;1.000;1.000;1.000
Logistic;Combinatorial[0];Eshop-ufrj;14;18;34;4030;0.438;0.292;0.350
Logistic;Combinatorial[0];Doorlopende reisverzekering;64;0;0;4032;1.000;1.000;1.000
Logistic;Combinatorial[0];Dummy Car;0;1;9;4086;0.000;0.000;NaN
Logistic;Combinatorial[0];WB2;58;30;142;3866;0.659;0.290;0.403
Logistic;Combinatorial[0];Text Editor;2;3;9;4082;0.400;0.182;0.250
Logistic;Combinatorial[0];Adams Car;0;0;28;4068;NaN;0.000;NaN
Logistic;Combinatorial[0];CCCMS;240;0;0;3856;1.000;1.000;1.000
Logistic;Combinatorial[0];mon model;0;0;24;4072;NaN;0.000;NaN
Logistic;Combinatorial[0];a;0;0;42;4054;NaN;0.000;NaN
Logistic;Combinatorial[0];aaaaaa;32;0;0;4064;1.000;1.000;1.000
Logistic;Combinatorial[0];Pruebas;0;0;7;4089;NaN;0.000;NaN
Logistic;Combinatorial[0];Address Book;72;0;0;4024;1.000;1.000;1.000
Logistic;Combinatorial[0];Sisgeo;256;0;1;3839;1.000;0.996;0.998
Logistic;Combinatorial[0];Multiplicador de n matrices;0;0;18;4078;NaN;0.000;NaN
Logistic;Combinatorial[0];Movil;2;2;26;4066;0.500;0.071;0.125
Logistic;Combinatorial[0];ID;1;0;0;4095;1.000;1.000;1.000
Logistic;Combinatorial[0];gs;0;16;168;3912;0.000;0.000;NaN
Logistic;Combinatorial[0];MyDental;42;4;0;4050;0.913;1.000;0.955
Logistic;Combinatorial[0];FM with optional XOR;11;1;10;4074;0.917;0.524;0.667
Logistic;Combinatorial[0];Final model;1;3;10;4082;0.250;0.091;0.133
Logistic;Combinatorial[0];Sylvain Example;1;3;10;4082;0.250;0.091;0.133
Logistic;Combinatorial[0];E-commerce system1;0;0;3;4093;NaN;0.000;NaN
Logistic;Combinatorial[0];FeatureModelName;4;4;4;4084;0.500;0.500;0.500
Logistic;Combinatorial[0];Content;58;22;33;3983;0.725;0.637;0.678
Logistic;Combinatorial[0];Attempt of mine;112;25;20;3939;0.818;0.848;0.833
Logistic;Combinatorial[0];Content;12;15;33;4036;0.444;0.267;0.333
Logistic;Combinatorial[0];Content model;58;22;33;3983;0.725;0.637;0.678
Logistic;Combinatorial[0];eLearning ways;302;24;95;3675;0.926;0.761;0.835
Logistic;Combinatorial[0];Topology;0;0;16;4080;NaN;0.000;NaN
Logistic;Combinatorial[0];This is a test;48;44;84;3920;0.522;0.364;0.429
Logistic;Combinatorial[0];Congress Assistant;0;12;48;4036;0.000;0.000;NaN
Logistic;Combinatorial[0];JCS;0;0;96;4000;NaN;0.000;NaN
Logistic;Combinatorial[0];Ooredoo;0;4;18;4074;0.000;0.000;NaN
Logistic;Combinatorial[0];M-learning Requirements Catalog;128;0;12;3956;1.000;0.914;0.955
Logistic;Combinatorial[0];TW SPL Hard Choices;4;0;0;4092;1.000;1.000;1.000
Logistic;Combinatorial[0];Jogo;2;0;0;4094;1.000;1.000;1.000
Logistic;Combinatorial[0];rotation;1;2;2;4091;0.333;0.333;0.333
Logistic;Combinatorial[0];Online Shop Feature Model;0;4;42;4050;0.000;0.000;NaN
Logistic;Combinatorial[0];ABMS;186;28;60;3822;0.869;0.756;0.809
Logistic;Combinatorial[0];search engine;0;0;32;4064;NaN;0.000;NaN
Logistic;Combinatorial[0];Reservation;0;3;9;4084;0.000;0.000;NaN
Logistic;Combinatorial[0];tab;0;0;16;4080;NaN;0.000;NaN
Logistic;Combinatorial[0];HDMR-Paper;1;3;6;4086;0.250;0.143;0.182
Logistic;Combinatorial[0];Telecommunication_System;0;0;18;4078;NaN;0.000;NaN
