CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
Logistic;Combinatorial[0];SAL;0;0;12;1012;NaN;0.000;NaN
Logistic;Combinatorial[0];Mobile Game;119;27;16;862;0.815;0.881;0.847
Logistic;Combinatorial[0];VODPlayer;21;16;27;960;0.568;0.438;0.494
Logistic;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
Logistic;Combinatorial[0];AvionFEatures;9;3;3;1009;0.750;0.750;0.750
Logistic;Combinatorial[0];Phone sple;4;0;23;997;1.000;0.148;0.258
Logistic;Combinatorial[0];Phone;38;8;8;970;0.826;0.826;0.826
Logistic;Combinatorial[0];Ökonomische Merkmale;21;3;3;997;0.875;0.875;0.875
Logistic;Combinatorial[0];carpl;2;0;0;1022;1.000;1.000;1.000
Logistic;Combinatorial[0];MyFM;0;4;19;1001;0.000;0.000;NaN
Logistic;Combinatorial[0];rtrt;20;0;0;1004;1.000;1.000;1.000
Logistic;Combinatorial[0];FeatureModel1;16;0;0;1008;1.000;1.000;1.000
Logistic;Combinatorial[0];Example Mobile Phone;1;1;13;1009;0.500;0.071;0.125
Logistic;Combinatorial[0];testISA2012;1;1;13;1009;0.500;0.071;0.125
Logistic;Combinatorial[0];Mobile-Phone;1;1;13;1009;0.500;0.071;0.125
Logistic;Combinatorial[0];Mobile phone (lenita);1;1;13;1009;0.500;0.071;0.125
Logistic;Combinatorial[0];Mobile Phone GF;4;2;10;1008;0.667;0.286;0.400
Logistic;Combinatorial[0];Example Product Line Course Using SPLOT;1;1;13;1009;0.500;0.071;0.125
Logistic;Combinatorial[0];Guad gmocht!;12;6;8;998;0.667;0.600;0.632
Logistic;Combinatorial[0];MobileMedia;28;0;0;996;1.000;1.000;1.000
Logistic;Combinatorial[0];Simnumero;0;0;8;1016;NaN;0.000;NaN
Logistic;Combinatorial[0];isolation;3;0;0;1021;1.000;1.000;1.000
Logistic;Combinatorial[0];AllSports Feature Model;21;3;3;997;0.875;0.875;0.875
Logistic;Combinatorial[0];Bicis_Feature_Model;0;0;6;1018;NaN;0.000;NaN
Logistic;Combinatorial[0];MobileMedia;6;8;24;986;0.429;0.200;0.273
Logistic;Combinatorial[0];WebApp;160;0;0;864;1.000;1.000;1.000
Logistic;Combinatorial[0];abcdefg;3;2;3;1016;0.600;0.500;0.545
Logistic;Combinatorial[0];Disenio;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];sasgd;4;0;16;1004;1.000;0.200;0.333
Logistic;Combinatorial[0];anlisis II;8;4;20;992;0.667;0.286;0.400
Logistic;Combinatorial[0];disenio II;28;4;2;990;0.875;0.933;0.903
Logistic;Combinatorial[0];AA;12;8;4;1000;0.600;0.750;0.667
Logistic;Combinatorial[0];Modelo;0;0;4;1020;NaN;0.000;NaN
Logistic;Combinatorial[0];TEST_NAme;16;8;20;980;0.667;0.444;0.533
Logistic;Combinatorial[0];Test;9;7;7;1001;0.563;0.563;0.563
Logistic;Combinatorial[0];UPT_RM_MOBILE;1;1;13;1009;0.500;0.071;0.125
Logistic;Combinatorial[0];acarlos_trab2_mobile;1;1;13;1009;0.500;0.071;0.125
Logistic;Combinatorial[0];Prontuário Eletrônico de Pacientes;10;0;0;1014;1.000;1.000;1.000
Logistic;Combinatorial[0];test gv;32;0;0;992;1.000;1.000;1.000
Logistic;Combinatorial[0];Dental Surgery;2;0;0;1022;1.000;1.000;1.000
Logistic;Combinatorial[0];Cell-Phone-SPL-2014-without;0;0;48;976;NaN;0.000;NaN
Logistic;Combinatorial[0];Computer Selection;2;0;0;1022;1.000;1.000;1.000
