CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Logistic;0.587;0.459;0.485;0.021;134;0.728;0.569;0.602;0.023;108


VALIDITY RATIO;(F)
min;0.000488
avg;0.021058
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.587;0.459;0.485;0.021;134;0.728;0.569;0.602;0.023;108

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
sasgd;1.000;0.200;0.333;0.020;1;1.000;0.200;0.333;0.020;1
Mobile phone;0.667;0.400;0.500;0.010;1;0.667;0.400;0.500;0.010;1
Bicis_Feature_Model;0.000;0.000;0.000;0.006;1;0.000;0.000;0.000;0.000;0
Maquina de Cae;0.500;0.333;0.400;0.035;1;0.500;0.333;0.400;0.035;1
test gv;1.000;1.000;1.000;0.031;1;1.000;1.000;1.000;0.031;1
E-Shop, magister2014;0.500;0.111;0.182;0.018;1;0.500;0.111;0.182;0.018;1
E-shop;0.632;0.414;0.500;0.014;1;0.632;0.414;0.500;0.014;1
UPL;0.875;0.778;0.824;0.009;1;0.875;0.778;0.824;0.009;1
Hello World;0.435;0.286;0.345;0.034;1;0.435;0.286;0.345;0.034;1
Weather Station;0.500;0.091;0.154;0.021;1;0.500;0.091;0.154;0.021;1
LXEP;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
Xor Example;0.000;0.000;0.000;0.020;1;0.000;0.000;0.000;0.000;0
Implementacion;0.000;0.000;0.000;0.003;1;0.000;0.000;0.000;0.000;0
ordem;0.750;0.214;0.333;0.027;1;0.750;0.214;0.333;0.027;1
Observatorio;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
eshop;1.000;0.444;0.615;0.009;1;1.000;0.444;0.615;0.009;1
AA;0.600;0.750;0.667;0.016;1;0.600;0.750;0.667;0.016;1
E-SHOP;0.800;1.000;0.889;0.008;1;0.800;1.000;0.889;0.008;1
Example Product Line Course Using SPLOT;0.500;0.071;0.125;0.014;1;0.500;0.071;0.125;0.014;1
AvionFEatures;0.750;0.750;0.750;0.012;1;0.750;0.750;0.750;0.012;1
NovoSiga;0.000;0.000;0.000;0.010;1;0.000;0.000;0.000;0.010;1
Disenio;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
CIMS PL;1.000;1.000;1.000;0.001;1;1.000;1.000;1.000;0.001;1
testing;1.000;1.000;1.000;0.125;1;1.000;1.000;1.000;0.125;1
