CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
JRip;Combinatorial[0];E-portal;16;0;0;2032;1.000;1.000;1.000
PART;Combinatorial[0];E-portal;16;8;0;2024;0.667;1.000;0.800
JRip;Combinatorial[0];VOD feature model;32;0;0;2016;1.000;1.000;1.000
PART;Combinatorial[0];VOD feature model;32;0;0;2016;1.000;1.000;1.000
JRip;Combinatorial[0];Asghar;31;5;1;2011;0.861;0.969;0.912
PART;Combinatorial[0];Asghar;32;16;0;2000;0.667;1.000;0.800
JRip;Combinatorial[0];MyFeatureModel;35;5;0;2008;0.875;1.000;0.933
PART;Combinatorial[0];MyFeatureModel;34;1;1;2012;0.971;0.971;0.971
JRip;Combinatorial[0];SmartHome_vConejero_r1;2;0;0;2046;1.000;1.000;1.000
PART;Combinatorial[0];SmartHome_vConejero_r1;2;0;0;2046;1.000;1.000;1.000
JRip;Combinatorial[0];ETRobocon;120;8;0;1920;0.938;1.000;0.968
PART;Combinatorial[0];ETRobocon;120;0;0;1928;1.000;1.000;1.000
JRip;Combinatorial[0];Test;0;0;7;2041;NaN;0.000;NaN
PART;Combinatorial[0];Test;6;2;1;2039;0.750;0.857;0.800
JRip;Combinatorial[0];ordem;56;0;0;1992;1.000;1.000;1.000
PART;Combinatorial[0];ordem;56;0;0;1992;1.000;1.000;1.000
JRip;Combinatorial[0];desordem;56;4;0;1988;0.933;1.000;0.966
PART;Combinatorial[0];desordem;56;0;0;1992;1.000;1.000;1.000
JRip;Combinatorial[0];UPL;18;6;0;2024;0.750;1.000;0.857
PART;Combinatorial[0];UPL;18;4;0;2026;0.818;1.000;0.900
JRip;Combinatorial[0];Mauricio Alférez;10;0;0;2038;1.000;1.000;1.000
PART;Combinatorial[0];Mauricio Alférez;10;0;0;2038;1.000;1.000;1.000
JRip;Combinatorial[0];Loja Virtual;56;16;0;1976;0.778;1.000;0.875
PART;Combinatorial[0];Loja Virtual;56;1;0;1991;0.982;1.000;0.991
JRip;Combinatorial[0];SmartHome- Simplified Sample;10;0;0;2038;1.000;1.000;1.000
PART;Combinatorial[0];SmartHome- Simplified Sample;10;0;0;2038;1.000;1.000;1.000
JRip;Combinatorial[0];Ubuntu;0;0;12;2036;NaN;0.000;NaN
PART;Combinatorial[0];Ubuntu;0;0;12;2036;NaN;0.000;NaN
JRip;Combinatorial[0];Implementacion;0;0;7;2041;NaN;0.000;NaN
PART;Combinatorial[0];Implementacion;6;2;1;2039;0.750;0.857;0.800
JRip;Combinatorial[0];Imolementacion II;2;2;1;2043;0.500;0.667;0.571
PART;Combinatorial[0];Imolementacion II;3;3;0;2042;0.500;1.000;0.667
JRip;Combinatorial[0];Basic Car;16;0;0;2032;1.000;1.000;1.000
PART;Combinatorial[0];Basic Car;16;0;0;2032;1.000;1.000;1.000
JRip;Combinatorial[0];CarExample;2;2;1;2043;0.500;0.667;0.571
PART;Combinatorial[0];CarExample;3;2;0;2043;0.600;1.000;0.750
JRip;Combinatorial[0];mo;60;0;0;1988;1.000;1.000;1.000
PART;Combinatorial[0];mo;60;0;0;1988;1.000;1.000;1.000
JRip;Combinatorial[0];Mobile Media v3;2;0;0;2046;1.000;1.000;1.000
PART;Combinatorial[0];Mobile Media v3;2;0;0;2046;1.000;1.000;1.000
JRip;Combinatorial[0];JDFM;12;12;8;2016;0.500;0.600;0.545
PART;Combinatorial[0];JDFM;12;5;8;2023;0.706;0.600;0.649
JRip;Combinatorial[0];Analisis;0;0;6;2042;NaN;0.000;NaN
PART;Combinatorial[0];Analisis;6;0;0;2042;1.000;1.000;1.000
JRip;Combinatorial[0];Matrix chain multiplication;0;0;15;2033;NaN;0.000;NaN
PART;Combinatorial[0];Matrix chain multiplication;7;6;8;2027;0.538;0.467;0.500
JRip;Combinatorial[0];Observatorio;8;8;0;2032;0.500;1.000;0.667
PART;Combinatorial[0];Observatorio;0;0;8;2040;NaN;0.000;NaN
JRip;Combinatorial[0];collapse_view_example;26;2;5;2015;0.929;0.839;0.881
PART;Combinatorial[0];collapse_view_example;31;0;0;2017;1.000;1.000;1.000
JRip;Combinatorial[0];Match de foot;16;0;0;2032;1.000;1.000;1.000
PART;Combinatorial[0];Match de foot;16;0;0;2032;1.000;1.000;1.000
JRip;Combinatorial[0];Xor Example;40;0;0;2008;1.000;1.000;1.000
PART;Combinatorial[0];Xor Example;16;16;24;1992;0.500;0.400;0.444
JRip;Combinatorial[0];XOR NEW;88;0;0;1960;1.000;1.000;1.000
PART;Combinatorial[0];XOR NEW;88;0;0;1960;1.000;1.000;1.000
JRip;Combinatorial[0];Xor Example 2;72;0;0;1976;1.000;1.000;1.000
PART;Combinatorial[0];Xor Example 2;72;0;0;1976;1.000;1.000;1.000
