CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
PART;0.693;0.869;0.755;0.009;58;0.773;0.969;0.842;0.009;52
JRip;0.679;0.696;0.669;0.009;58;0.788;0.807;0.776;0.010;50


VALIDITY RATIO;(F)
min;0.000122
avg;0.008654
max;0.076172

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.686;0.782;0.712;0.009;116;0.780;0.890;0.810;0.010;102

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
teste;0.000;0.000;0.000;0.001;2;0.000;0.000;0.000;0.000;0
Visit Indonesia Apps;0.717;1.000;0.816;0.010;2;0.717;1.000;0.816;0.010;2
Smart Queue;1.000;1.000;1.000;0.000;2;1.000;1.000;1.000;0.000;2
Cell-Phone-SPL-2014-Part2;0.509;0.900;0.649;0.004;2;0.509;0.900;0.649;0.004;2
MobilePhone;0.837;0.844;0.837;0.002;2;0.837;0.844;0.837;0.002;2
MoviesApp PL;0.250;0.250;0.250;0.003;2;0.500;0.500;0.500;0.003;1
Alarm System;0.500;0.726;0.571;0.005;2;0.500;0.726;0.571;0.005;2
Video On Demand SPL FM;0.819;0.781;0.792;0.002;2;0.819;0.781;0.792;0.002;2
depresija;0.992;1.000;0.996;0.016;2;0.992;1.000;0.996;0.016;2
Windows .NET;1.000;1.000;1.000;0.002;2;1.000;1.000;1.000;0.002;2
Veículo;0.635;1.000;0.768;0.010;2;0.635;1.000;0.768;0.010;2
CFDP Library;0.999;0.999;0.999;0.058;4;0.999;0.999;0.999;0.058;4
Cell-Phone-SPL-2014-Mined;0.522;0.935;0.670;0.004;2;0.522;0.935;0.670;0.004;2
PortafolioLopez;0.738;0.667;0.616;0.010;2;0.738;0.667;0.616;0.010;2
KIModel;1.000;1.000;1.000;0.001;2;1.000;1.000;1.000;0.001;2
Homepage based on wiki;0.587;1.000;0.739;0.003;2;0.587;1.000;0.739;0.003;2
FMConfig;0.643;0.937;0.759;0.016;2;0.643;0.937;0.759;0.016;2
Ligne de produits de Eshop;0.800;0.650;0.700;0.002;2;0.800;0.650;0.700;0.002;2
smartPhone;0.979;0.995;0.987;0.011;2;0.979;0.995;0.987;0.011;2
Online shopping software;0.500;1.000;0.667;0.000;2;0.500;1.000;0.667;0.000;2
i18n;0.250;0.167;0.200;0.002;2;0.500;0.333;0.400;0.002;1
SPL Studies;0.969;0.833;0.884;0.005;2;0.969;0.833;0.884;0.005;2
RE;1.000;1.000;1.000;0.012;2;1.000;1.000;1.000;0.012;2
Magister 2014-ROLOG;0.800;1.000;0.875;0.012;2;0.800;1.000;0.875;0.012;2
Car;0.688;1.000;0.800;0.005;2;0.688;1.000;0.800;0.005;2
Content;0.958;1.000;0.978;0.028;2;0.958;1.000;0.978;0.028;2
Video On Demand FM;0.871;0.750;0.793;0.002;2;0.871;0.750;0.793;0.002;2
Aircraft PL;0.769;0.667;0.621;0.038;2;0.769;0.667;0.621;0.038;2
MarketPlace-Sample;0.875;0.833;0.829;0.000;2;0.875;0.833;0.829;0.000;2
Mobile Media;0.786;0.833;0.808;0.003;2;0.786;0.833;0.808;0.003;2
search-engine;0.700;0.954;0.794;0.011;4;0.700;0.954;0.794;0.011;4
