CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
PART;0.767;0.888;0.809;0.020;180;0.821;0.952;0.867;0.021;168
JRip;0.703;0.799;0.735;0.020;180;0.811;0.922;0.848;0.022;156


VALIDITY RATIO;(F)
min;0.000244
avg;0.019775
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.735;0.844;0.772;0.020;360;0.816;0.937;0.858;0.021;324

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
sasgd;1.000;1.000;1.000;0.020;2;1.000;1.000;1.000;0.020;2
Mobile phone;0.646;0.900;0.748;0.010;2;0.646;0.900;0.748;0.010;2
CCCMS;1.000;1.000;1.000;0.059;2;1.000;1.000;1.000;0.059;2
MyDental;0.938;1.000;0.967;0.010;2;0.938;1.000;0.967;0.010;2
Bicis_Feature_Model;0.250;0.500;0.333;0.006;2;0.500;1.000;0.667;0.006;1
Maquina de Cae;0.800;1.000;0.875;0.035;2;0.800;1.000;0.875;0.035;2
test gv;1.000;1.000;1.000;0.031;2;1.000;1.000;1.000;0.031;2
E-Shop, magister2014;0.531;1.000;0.693;0.018;2;0.531;1.000;0.693;0.018;2
E-shop;0.845;0.983;0.903;0.014;2;0.845;0.983;0.903;0.014;2
UPL;0.784;1.000;0.879;0.009;2;0.784;1.000;0.879;0.009;2
Hello World;0.711;1.000;0.820;0.034;2;0.711;1.000;0.820;0.034;2
Weather Station;0.500;0.795;0.608;0.021;2;0.500;0.795;0.608;0.021;2
LXEP;0.000;0.000;0.000;0.002;2;0.000;0.000;0.000;0.000;0
Xor Example;0.750;0.700;0.722;0.020;2;0.750;0.700;0.722;0.020;2
Implementacion;0.375;0.429;0.400;0.003;2;0.750;0.857;0.800;0.003;1
