CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;2;61;32705;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;3;61;32704;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;5;61;32702;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;2;61;32705;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;5;61;32702;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;6;61;32701;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;6;61;32701;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;1;61;32706;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;2;61;32705;0.000;0.000;NaN
SVM_Poly[3,2.0,0.5];Combinatorial[0];Cell Phone;0;1;61;32706;0.000;0.000;NaN
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomForest;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Cell Phone;61;43;0;32664;0.587;1.000;0.739
RandomCommittee;Combinatorial[0];Cell Phone;61;43;0;32664;0.587;1.000;0.739
RandomCommittee;Combinatorial[0];Cell Phone;61;43;0;32664;0.587;1.000;0.739
RandomCommittee;Combinatorial[0];Cell Phone;61;43;0;32664;0.587;1.000;0.739
RandomCommittee;Combinatorial[0];Cell Phone;61;43;0;32664;0.587;1.000;0.739
RandomCommittee;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Cell Phone;61;43;0;32664;0.587;1.000;0.739
RandomCommittee;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
RandomCommittee;Combinatorial[0];Cell Phone;61;43;0;32664;0.587;1.000;0.739
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
REPTree;Combinatorial[0];Cell Phone;36;0;25;32707;1.000;0.590;0.742
LogisticModelTree;Combinatorial[0];Cell Phone;25;0;36;32707;1.000;0.410;0.581
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
LogisticModelTree;Combinatorial[0];Cell Phone;25;0;36;32707;1.000;0.410;0.581
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
LogisticModelTree;Combinatorial[0];Cell Phone;25;20;36;32687;0.556;0.410;0.472
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
MultilayerPerceptron[a];Combinatorial[0];Cell Phone;61;0;0;32707;1.000;1.000;1.000
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
J48;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
NaiveBayesUpdateable;Combinatorial[0];Cell Phone;0;0;61;32707;NaN;0.000;NaN
HoeffdingTree;Combinatorial[0];Cell Phone;0;5120;61;27587;0.000;0.000;NaN
HoeffdingTree;Combinatorial[0];Cell Phone;0;5120;61;27587;0.000;0.000;NaN
HoeffdingTree;Combinatorial[0];Cell Phone;0;3456;61;29251;0.000;0.000;NaN
HoeffdingTree;Combinatorial[0];Cell Phone;0;5120;61;27587;0.000;0.000;NaN
HoeffdingTree;Combinatorial[0];Cell Phone;0;6144;61;26563;0.000;0.000;NaN
HoeffdingTree;Combinatorial[0];Cell Phone;0;8192;61;24515;0.000;0.000;NaN
HoeffdingTree;Combinatorial[0];Cell Phone;0;6144;61;26563;0.000;0.000;NaN
HoeffdingTree;Combinatorial[0];Cell Phone;0;6144;61;26563;0.000;0.000;NaN
