CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.380;0.313;0.330;0.002;374;0.994;0.818;0.862;0.002;143
HoeffdingTree;0.181;0.092;0.103;0.002;374;0.466;0.236;0.267;0.002;145
SVM_Poly[3,2.0,0.5];0.029;0.029;0.029;0.002;374;1.000;1.000;1.000;0.000;11
REPTree;0.585;0.389;0.449;0.002;374;0.995;0.662;0.764;0.002;220
RandomForest;1.000;1.000;1.000;0.002;374;1.000;1.000;1.000;0.002;374
StochasticGradientDescend;0.042;0.055;0.046;0.002;374;0.717;0.936;0.783;0.008;22
RandomCommittee;0.822;0.665;0.698;0.002;374;0.998;0.808;0.848;0.002;308
NaiveBayesUpdateable;0.000;0.000;0.000;0.002;374;0.000;0.000;0.000;0.002;1
MultilayerPerceptron[a];0.912;0.844;0.871;0.002;374;1.000;0.926;0.956;0.002;341
J48;0.235;0.219;0.224;0.002;374;1.000;0.931;0.953;0.003;88


VALIDITY RATIO;(F)
min;0.000122
avg;0.001560
max;0.015594

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.419;0.361;0.375;0.002;3740;0.947;0.816;0.849;0.002;1653

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
iNavBasic;0.400;0.400;0.400;0.000;110;0.978;0.978;0.978;0.000;45
MobileMedia_LeonardoVasconcelos;0.300;0.225;0.240;0.001;110;1.000;0.750;0.800;0.001;33
Audio Player;0.400;0.367;0.380;0.000;110;0.917;0.840;0.871;0.000;48
Mobile Media;0.600;0.583;0.591;0.001;110;0.943;0.917;0.929;0.001;70
CPS;0.473;0.292;0.333;0.002;110;0.947;0.583;0.666;0.002;55
Urna eletronica Vinicius Cesar;0.200;0.183;0.191;0.000;110;0.917;0.840;0.875;0.000;24
Transmission;0.364;0.205;0.230;0.001;110;0.909;0.511;0.574;0.001;44
Metadata;0.776;0.758;0.764;0.016;110;0.971;0.947;0.955;0.016;88
Cars xpto;0.460;0.271;0.315;0.002;110;0.920;0.542;0.631;0.002;55
Agile Simules;0.498;0.442;0.459;0.001;110;0.979;0.868;0.901;0.001;56
Venza;0.100;0.100;0.100;0.000;110;1.000;1.000;1.000;0.000;11
Web Content Delivery;0.367;0.252;0.286;0.001;110;0.918;0.630;0.715;0.001;44
MobileMedia_Ibraim;0.600;0.583;0.591;0.001;110;0.985;0.958;0.970;0.001;67
Test;0.396;0.395;0.395;0.002;110;0.889;0.887;0.888;0.002;49
SlotsForModules;0.300;0.267;0.280;0.000;110;1.000;0.889;0.933;0.000;33
Estudo Experimental 2;0.300;0.300;0.300;0.000;110;0.917;0.917;0.917;0.000;36
Proceso Analisis;0.300;0.260;0.275;0.000;110;0.971;0.841;0.890;0.000;34
UPT TAM;0.469;0.235;0.277;0.001;110;0.938;0.470;0.553;0.001;55
MobileMedia_Lenita;0.300;0.300;0.300;0.000;110;0.917;0.917;0.917;0.000;36
Technical Solution Process;0.591;0.500;0.532;0.002;110;0.956;0.809;0.860;0.002;68
ACARLOS_car;0.462;0.292;0.333;0.002;110;0.923;0.583;0.665;0.002;55
SD Voter pattern feature model;0.495;0.360;0.404;0.004;110;0.924;0.671;0.754;0.004;59
Pruebas Booleanas;0.200;0.200;0.200;0.001;110;0.917;0.917;0.917;0.001;24
Mobile media v5;0.200;0.200;0.200;0.000;110;1.000;1.000;1.000;0.000;22
smart phone;0.397;0.308;0.329;0.004;110;0.929;0.720;0.770;0.004;47
MobileMedia_MarinaMB;0.600;0.583;0.591;0.001;110;0.943;0.917;0.929;0.001;70
testmodel1;0.264;0.233;0.241;0.001;110;0.881;0.778;0.803;0.001;33
MobileMedia_CarlosEduardoPaulinoSilva;0.600;0.583;0.591;0.001;110;0.985;0.958;0.970;0.001;67
markke core asset testing;0.200;0.167;0.180;0.001;110;0.957;0.797;0.861;0.001;23
Flight Reservations;0.500;0.337;0.377;0.004;110;1.000;0.673;0.753;0.004;55
Cell Phone;0.500;0.400;0.432;0.002;110;0.932;0.746;0.806;0.002;59
robot experiment;0.300;0.300;0.300;0.000;110;1.000;1.000;1.000;0.000;33
MobileMedia_Bruno;0.600;0.583;0.591;0.001;110;0.985;0.958;0.970;0.001;67
VMS;0.722;0.800;0.749;0.001;110;0.902;1.000;0.936;0.001;88
