CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.355;0.280;0.298;0.004;1397;0.980;0.774;0.824;0.007;506
HoeffdingTree;0.048;0.049;0.039;0.004;1397;0.135;0.137;0.109;0.004;494
SVM_Poly[3,2.0,0.5];0.158;0.087;0.092;0.004;1397;0.505;0.279;0.295;0.005;437
REPTree;0.455;0.319;0.358;0.004;1397;0.980;0.687;0.772;0.006;649
RandomForest;1.000;1.000;1.000;0.004;1397;1.000;1.000;1.000;0.004;1397
StochasticGradientDescend;0.017;0.023;0.016;0.004;1397;0.527;0.729;0.494;0.016;44
RandomCommittee;0.802;0.685;0.709;0.004;1397;0.979;0.837;0.865;0.004;1144
NaiveBayesUpdateable;0.038;0.007;0.011;0.004;1397;0.927;0.158;0.264;0.024;58
MultilayerPerceptron[a];0.906;0.835;0.863;0.004;1397;1.000;0.922;0.953;0.004;1265
J48;0.172;0.147;0.155;0.004;1397;0.995;0.850;0.896;0.010;242


VALIDITY RATIO;(F)
min;0.000061
avg;0.003614
max;0.042969

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.395;0.343;0.354;0.004;13970;0.885;0.769;0.793;0.005;6236

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MobileMedia_LeonardoVasconcelos;0.300;0.225;0.240;0.001;110;0.868;0.651;0.695;0.001;38
Visit Indonesia Apps;0.625;0.410;0.439;0.010;110;0.893;0.585;0.628;0.010;77
Venza;0.100;0.100;0.100;0.000;110;0.733;0.733;0.733;0.000;15
Web Content Delivery;0.314;0.252;0.269;0.001;110;0.784;0.630;0.673;0.001;44
MobileMedia_Ibraim;0.600;0.583;0.591;0.001;110;0.957;0.930;0.942;0.001;69
pruebapalabras;0.591;0.351;0.416;0.004;110;0.915;0.544;0.644;0.004;71
Alarm System;0.295;0.229;0.244;0.005;110;0.878;0.680;0.725;0.005;37
LXEP;0.255;0.250;0.250;0.002;110;0.848;0.833;0.833;0.002;33
video on demand;0.500;0.375;0.407;0.002;110;0.917;0.688;0.746;0.002;60
Video On Demand SPL FM;0.300;0.300;0.300;0.002;110;0.892;0.892;0.892;0.002;37
Xor Example;0.600;0.480;0.525;0.020;110;1.000;0.800;0.875;0.020;66
Implementacion;0.300;0.214;0.245;0.003;110;0.971;0.693;0.794;0.003;34
ID;0.200;0.200;0.200;0.000;110;1.000;1.000;1.000;0.000;22
Observatorio;0.200;0.200;0.200;0.004;110;0.846;0.846;0.846;0.004;26
KIModel;0.494;0.500;0.496;0.001;110;0.788;0.797;0.791;0.001;69
SD Voter pattern feature model;0.481;0.360;0.401;0.004;110;0.883;0.660;0.735;0.004;60
Disenio;0.300;0.275;0.286;0.004;110;0.892;0.818;0.849;0.004;37
CIMS PL;0.251;0.300;0.264;0.001;110;0.837;1.000;0.879;0.001;33
smart phone;0.388;0.308;0.325;0.004;110;0.837;0.664;0.701;0.004;51
MobileMedia_MarinaMB;0.600;0.583;0.591;0.001;110;0.917;0.891;0.903;0.001;72
Online shopping software;0.200;0.200;0.200;0.000;110;1.000;1.000;1.000;0.000;22
Jogo;0.400;0.400;0.400;0.000;110;1.000;1.000;1.000;0.000;44
Sylvain Example;0.439;0.358;0.381;0.004;220;0.928;0.758;0.806;0.004;104
testmodel1;0.212;0.233;0.216;0.001;110;0.708;0.778;0.720;0.001;33
HandlingSystem;0.200;0.200;0.200;0.000;110;0.759;0.759;0.759;0.000;29
Modelo;0.273;0.225;0.236;0.004;110;0.909;0.750;0.788;0.004;33
PhysEval;0.632;0.570;0.590;0.003;110;0.847;0.765;0.792;0.003;82
Mobile Phone, until relase 5;0.600;0.600;0.600;0.001;110;0.943;0.943;0.943;0.001;70
iNavBasic;0.400;0.400;0.400;0.000;110;0.917;0.917;0.917;0.000;48
MarketPlace-Sample;0.300;0.300;0.300;0.000;110;1.000;1.000;1.000;0.000;33
Mobile Media;0.422;0.342;0.368;0.001;330;0.875;0.709;0.763;0.001;159
Clinica Medica;0.400;0.350;0.367;0.001;110;0.746;0.653;0.684;0.001;59
Transmission;0.314;0.205;0.210;0.001;110;0.767;0.500;0.514;0.001;45
