CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Text Editor;0;24;11;4061;0.000;0.000;NaN
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
IBk;Combinatorial[0];Text Editor;11;0;0;4085;1.000;1.000;1.000
