CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.250;0.214;0.231;0.011;44;1.000;0.856;0.922;0.039;11
SVM_RBF[5.0];0.429;0.258;0.265;0.011;44;0.461;0.277;0.284;0.011;41
IBk;1.000;1.000;1.000;0.011;44;1.000;1.000;1.000;0.011;44
KStar;0.250;0.214;0.231;0.011;44;1.000;0.856;0.922;0.039;11
SVM_Puk[1.0, 0.1];0.750;0.750;0.750;0.011;44;1.000;1.000;1.000;0.014;33


VALIDITY RATIO;(F)
min;0.000122
avg;0.010620
max;0.038940

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.536;0.487;0.495;0.011;220;0.842;0.766;0.778;0.016;140

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Parking lot Manager;0.600;0.600;0.600;0.002;55;1.000;1.000;1.000;0.002;33
CFDP Library;0.943;0.749;0.781;0.039;55;0.943;0.749;0.781;0.039;55
FM1;0.200;0.200;0.200;0.000;55;0.550;0.550;0.550;0.000;20
KIModel;0.400;0.400;0.400;0.001;55;0.688;0.688;0.688;0.001;32
