CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;15;0;1008;0.063;1.000;0.118
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;26;0;997;0.037;1.000;0.071
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;19;0;1004;0.050;1.000;0.095
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;19;0;1004;0.050;1.000;0.095
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;19;0;1004;0.050;1.000;0.095
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;15;0;1008;0.063;1.000;0.118
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;26;0;997;0.037;1.000;0.071
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;24;0;999;0.040;1.000;0.077
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;15;0;1008;0.063;1.000;0.118
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;26;0;997;0.037;1.000;0.071
SVM_RBF[5.0];Combinatorial[0];CIMS PL;1;11;0;1012;0.083;1.000;0.154
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
IBk;Combinatorial[0];CIMS PL;1;0;0;1023;1.000;1.000;1.000
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
KStar;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
LWL;Combinatorial[0];CIMS PL;0;0;1;1023;NaN;0.000;NaN
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
SVM_RBF[5.0];Combinatorial[0];Phone sple;27;0;0;997;1.000;1.000;1.000
