CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.167;0.136;0.150;0.007;66;1.000;0.815;0.898;0.026;11
SVM_RBF[5.0];0.529;0.667;0.549;0.007;66;0.582;0.733;0.604;0.007;60
IBk;1.000;1.000;1.000;0.007;66;1.000;1.000;1.000;0.007;66
KStar;0.167;0.136;0.150;0.007;66;1.000;0.815;0.898;0.026;11
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.007;66;1.000;1.000;1.000;0.007;66


VALIDITY RATIO;(F)
min;0.000977
avg;0.006714
max;0.026367

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.572;0.588;0.570;0.007;330;0.883;0.906;0.878;0.009;214

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SmartHome_vConejero_r1;0.400;0.400;0.400;0.001;55;0.815;0.815;0.815;0.001;27
Test;0.600;0.600;0.600;0.003;55;1.000;1.000;1.000;0.003;33
CIMS PL;0.435;0.600;0.459;0.001;55;0.725;1.000;0.764;0.001;33
mon model;0.600;0.600;0.600;0.006;55;1.000;1.000;1.000;0.006;33
Text Editor;0.400;0.400;0.400;0.003;55;0.667;0.667;0.667;0.003;33
Phone sple;1.000;0.926;0.959;0.026;55;1.000;0.926;0.959;0.026;55
