CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
JRip;Combinatorial[0];Small Graph Product Line;16;0;292;130764;1.000;0.052;0.099
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
PART;Combinatorial[0];Small Graph Product Line;0;0;308;130764;NaN;0.000;NaN
Logistic;Combinatorial[0];AudioPlayer;32;16;64;130960;0.667;0.333;0.444
Logistic;Combinatorial[0];AudioPlayer;32;0;64;130976;1.000;0.333;0.500
Logistic;Combinatorial[0];AudioPlayer;32;0;64;130976;1.000;0.333;0.500
Logistic;Combinatorial[0];AudioPlayer;32;0;64;130976;1.000;0.333;0.500
Logistic;Combinatorial[0];AudioPlayer;32;0;64;130976;1.000;0.333;0.500
Logistic;Combinatorial[0];AudioPlayer;32;0;64;130976;1.000;0.333;0.500
Logistic;Combinatorial[0];AudioPlayer;32;0;64;130976;1.000;0.333;0.500
Logistic;Combinatorial[0];AudioPlayer;32;0;64;130976;1.000;0.333;0.500
Logistic;Combinatorial[0];AudioPlayer;32;32;64;130944;0.500;0.333;0.400
Logistic;Combinatorial[0];AudioPlayer;32;0;64;130976;1.000;0.333;0.500
Logistic;Combinatorial[0];AudioPlayer;32;16;64;130960;0.667;0.333;0.444
JRip;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
JRip;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
JRip;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
JRip;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
JRip;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
JRip;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
JRip;Combinatorial[0];AudioPlayer;96;0;0;130976;1.000;1.000;1.000
