CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
PART;0.507;0.435;0.455;0.007;396;0.961;0.823;0.862;0.008;209
JRip;0.576;0.511;0.527;0.007;396;0.942;0.836;0.862;0.010;242
Logistic;0.507;0.387;0.415;0.007;396;0.830;0.632;0.679;0.008;242


VALIDITY RATIO;(F)
min;0.000244
avg;0.006877
max;0.042969

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.530;0.444;0.466;0.007;1188;0.909;0.761;0.798;0.009;693

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Phone sple;0.906;0.716;0.702;0.026;33;0.906;0.716;0.702;0.026;33
Final model;0.808;0.485;0.569;0.003;33;0.808;0.485;0.569;0.003;33
FM with optional XOR;0.908;0.825;0.846;0.005;33;0.908;0.825;0.846;0.005;33
SmartHome_vConejero_r1;1.000;1.000;1.000;0.001;33;1.000;1.000;1.000;0.001;33
27-5-207 test;0.501;0.455;0.470;0.021;33;0.751;0.682;0.705;0.021;22
LXEP;0.000;0.000;0.000;0.002;33;0.000;0.000;0.000;0.000;0
Test;0.000;0.000;0.000;0.003;33;0.000;0.000;0.000;0.000;0
mon model;0.265;0.042;0.072;0.006;33;0.795;0.125;0.216;0.006;11
Xor Example;0.333;0.333;0.333;0.020;33;1.000;1.000;1.000;0.020;11
Implementacion;0.000;0.000;0.000;0.003;33;0.000;0.000;0.000;0.000;0
Xor Example 2;1.000;0.778;0.833;0.035;33;1.000;0.778;0.833;0.035;33
Text Editor;0.827;0.485;0.582;0.003;33;0.827;0.485;0.582;0.003;33
ID;0.333;0.333;0.333;0.000;33;1.000;1.000;1.000;0.000;11
Observatorio;0.000;0.000;0.000;0.004;33;0.000;0.000;0.000;0.000;0
CarExample;0.000;0.000;0.000;0.001;33;0.000;0.000;0.000;0.000;0
XOR NEW;0.962;0.879;0.914;0.043;33;0.962;0.879;0.914;0.043;33
Eval_board;0.000;0.000;0.000;0.002;33;0.000;0.000;0.000;0.000;0
Telecommunication_System;0.258;0.056;0.091;0.004;33;0.773;0.167;0.274;0.004;11
Disenio;0.333;0.167;0.222;0.004;33;1.000;0.500;0.667;0.004;11
CIMS PL;0.333;0.333;0.333;0.001;33;1.000;1.000;1.000;0.001;11
rotation;0.212;0.111;0.136;0.001;33;0.636;0.333;0.409;0.001;11
Rotation1;1.000;0.867;0.917;0.005;33;1.000;0.867;0.917;0.005;33
ZMUConcernExample;0.898;0.875;0.886;0.004;33;0.898;0.875;0.886;0.004;33
collapse_view_example;0.301;0.269;0.284;0.015;33;0.903;0.806;0.852;0.015;11
FeatureModelName;0.197;0.167;0.177;0.002;33;0.591;0.500;0.530;0.002;11
TW SPL Hard Choices;1.000;1.000;1.000;0.001;33;1.000;1.000;1.000;0.001;33
Mobile Media v3;1.000;1.000;1.000;0.001;33;1.000;1.000;1.000;0.001;33
Jogo;1.000;1.000;1.000;0.000;33;1.000;1.000;1.000;0.000;33
drupal sawsen;1.000;1.000;1.000;0.008;33;1.000;1.000;1.000;0.008;33
Basic Car;0.897;0.979;0.931;0.008;33;0.897;0.979;0.931;0.008;33
Sylvain Example;0.737;0.508;0.581;0.004;66;0.737;0.508;0.581;0.004;66
HandlingSystem;0.333;0.333;0.333;0.000;33;1.000;1.000;1.000;0.000;11
Modelo;0.333;0.167;0.222;0.004;33;1.000;0.500;0.667;0.004;11
Pruebas;0.333;0.095;0.148;0.002;33;1.000;0.286;0.444;0.002;11
E-commerce system1;0.333;0.222;0.267;0.001;33;1.000;0.667;0.800;0.001;11
