CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.195;0.130;0.156;0.014;12;0.390;0.259;0.311;0.026;6
SVM_Poly[3,2.0,0.5];0.251;0.648;0.273;0.014;12;0.251;0.648;0.273;0.014;12
PART;0.197;0.204;0.188;0.014;12;0.395;0.407;0.375;0.026;6
REPTree;0.000;0.000;0.000;0.014;12;0.000;0.000;0.000;0.000;0
RandomForest;0.220;0.296;0.248;0.014;12;0.439;0.593;0.496;0.026;6
RandomCommittee;0.191;0.130;0.153;0.014;12;0.381;0.259;0.307;0.026;6
JRip;0.330;0.185;0.237;0.014;12;0.660;0.370;0.473;0.026;6
J48;0.000;0.000;0.000;0.014;12;0.000;0.000;0.000;0.000;0


VALIDITY RATIO;(F)
min;0.000977
avg;0.013672
max;0.026367

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.1];0.173;0.199;0.157;0.014;96;0.395;0.455;0.358;0.023;42

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CIMS PL;0.016;0.125;0.028;0.001;48;0.125;1.000;0.222;0.001;6
Phone sple;0.330;0.273;0.286;0.026;48;0.440;0.364;0.381;0.026;36
