CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.640;0.307;0.399;0.008;60;0.800;0.384;0.499;0.010;48
SVM_Poly[3,2.0,0.5];0.485;0.300;0.343;0.008;60;0.809;0.500;0.572;0.013;36
PART;0.353;0.218;0.257;0.008;60;0.706;0.436;0.514;0.015;30
REPTree;0.093;0.059;0.072;0.008;60;0.925;0.589;0.720;0.039;6
RandomForest;0.768;0.326;0.419;0.008;60;0.961;0.408;0.523;0.010;48
RandomCommittee;0.572;0.262;0.340;0.008;60;0.817;0.375;0.485;0.012;42
JRip;0.242;0.265;0.236;0.008;60;0.606;0.662;0.589;0.017;24
J48;0.097;0.087;0.092;0.008;60;0.972;0.865;0.915;0.039;6


VALIDITY RATIO;(F)
min;0.000122
avg;0.008276
max;0.038940

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.2];0.406;0.228;0.270;0.008;480;0.813;0.456;0.539;0.014;240

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Parking lot Manager;0.311;0.094;0.140;0.002;48;0.830;0.250;0.373;0.002;18
SmartHome_vConejero_r1;0.151;0.188;0.151;0.001;48;0.604;0.750;0.603;0.001;12
Test;0.357;0.107;0.158;0.003;48;0.715;0.214;0.316;0.003;24
CIMS PL;0.125;0.125;0.125;0.001;48;1.000;1.000;1.000;0.001;6
mon model;0.501;0.198;0.277;0.006;48;0.802;0.317;0.443;0.006;30
CFDP Library;0.960;0.814;0.876;0.039;48;0.960;0.814;0.876;0.039;48
Text Editor;0.511;0.261;0.322;0.003;48;0.682;0.348;0.430;0.003;36
Phone sple;0.654;0.264;0.370;0.026;48;0.872;0.352;0.494;0.026;36
FM1;0.000;0.000;0.000;0.000;48;0.000;0.000;0.000;0.000;0
KIModel;0.492;0.229;0.277;0.001;48;0.787;0.367;0.443;0.001;30
