CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.998;0.558;0.712;0.003;24;0.998;0.558;0.712;0.003;24
SVM_Poly[3,2.0,0.5];0.963;0.944;0.951;0.003;24;0.963;0.944;0.951;0.003;24
PART;0.888;0.683;0.726;0.003;24;0.888;0.683;0.726;0.003;24
REPTree;0.640;0.507;0.552;0.003;24;0.854;0.676;0.736;0.004;18
RandomForest;1.000;0.667;0.785;0.003;24;1.000;0.667;0.785;0.003;24
RandomCommittee;0.956;0.786;0.859;0.003;24;0.956;0.786;0.859;0.003;24
JRip;0.639;0.506;0.555;0.003;24;0.851;0.674;0.740;0.004;18
J48;0.250;0.201;0.223;0.003;24;1.000;0.806;0.892;0.009;6


VALIDITY RATIO;(F)
min;0.000977
avg;0.003174
max;0.008789

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.5];0.792;0.607;0.670;0.003;192;0.938;0.719;0.794;0.004;162

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CTOS MODEL;0.676;0.465;0.544;0.001;48;0.901;0.620;0.725;0.001;36
Linha de produtos - SimulES e PnP;0.959;0.745;0.828;0.009;48;0.959;0.745;0.828;0.009;48
Carro Model;0.658;0.396;0.470;0.002;48;0.877;0.528;0.626;0.002;36
Mobile Phone, until relase 5;0.875;0.820;0.840;0.001;48;1.000;0.938;0.960;0.001;42
