CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.346;0.200;0.229;0.008;60;0.866;0.501;0.573;0.017;24
SVM_RBF[5.0];0.700;0.210;0.321;0.008;60;1.000;0.300;0.458;0.012;42
KStar;0.700;0.262;0.369;0.008;60;1.000;0.374;0.527;0.012;42
SVM_Puk[1.0, 0.1];0.800;0.334;0.444;0.008;60;1.000;0.418;0.556;0.010;48
MultilayerPerceptron[a];0.496;0.506;0.460;0.008;60;0.620;0.633;0.575;0.010;48


VALIDITY RATIO;(F)
min;0.000122
avg;0.008276
max;0.038940

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.3];0.608;0.302;0.365;0.008;300;0.895;0.445;0.536;0.012;204

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Parking lot Manager;0.816;0.300;0.431;0.002;30;0.816;0.300;0.431;0.002;30
SmartHome_vConejero_r1;0.200;0.200;0.200;0.001;30;1.000;1.000;1.000;0.001;6
Test;0.733;0.314;0.421;0.003;30;0.917;0.393;0.526;0.003;24
CIMS PL;0.050;0.200;0.080;0.001;30;0.250;1.000;0.400;0.001;6
mon model;0.765;0.383;0.485;0.006;30;0.957;0.479;0.607;0.006;24
CFDP Library;0.977;0.585;0.681;0.039;30;0.977;0.585;0.681;0.039;30
Text Editor;0.900;0.218;0.334;0.003;30;0.900;0.218;0.334;0.003;30
Phone sple;0.977;0.474;0.608;0.026;30;0.977;0.474;0.608;0.026;30
FM1;0.000;0.000;0.000;0.000;30;0.000;0.000;0.000;0.000;0
KIModel;0.667;0.350;0.407;0.001;30;0.833;0.438;0.508;0.001;24
