CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.325;0.296;0.289;0.014;2552;0.433;0.394;0.386;0.018;1914
SVM_Poly[3,2.0,0.5];0.392;0.328;0.339;0.014;2552;0.519;0.435;0.449;0.017;1925
PART;0.234;0.239;0.222;0.014;2552;0.508;0.519;0.482;0.023;1177
REPTree;0.090;0.088;0.084;0.014;2552;0.696;0.680;0.647;0.035;330
RandomForest;0.637;0.212;0.282;0.014;2552;0.822;0.274;0.363;0.017;1980
RandomCommittee;0.427;0.304;0.326;0.014;2552;0.547;0.390;0.418;0.017;1991
JRip;0.205;0.233;0.207;0.014;2552;0.495;0.562;0.499;0.024;1056
J48;0.080;0.075;0.076;0.014;2552;0.845;0.794;0.805;0.045;242


VALIDITY RATIO;(F)
min;0.000122
avg;0.014384
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.1];0.299;0.222;0.228;0.014;20416;0.575;0.427;0.439;0.020;10615

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Mobile phone;0.164;0.088;0.074;0.010;88;0.657;0.350;0.297;0.010;22
Visit Indonesia Apps;0.561;0.354;0.400;0.010;88;0.641;0.405;0.457;0.010;77
MyDental;0.593;0.402;0.446;0.010;88;0.790;0.536;0.595;0.010;66
Bicis_Feature_Model;0.099;0.063;0.066;0.006;88;0.397;0.250;0.266;0.006;22
test gv;0.531;0.387;0.431;0.031;88;0.708;0.516;0.575;0.031;66
E-Shop, magister2014;0.247;0.174;0.176;0.018;88;0.495;0.347;0.352;0.018;44
Alarm System;0.331;0.146;0.182;0.005;88;0.529;0.233;0.291;0.005;55
Hello World;0.363;0.196;0.203;0.034;88;0.580;0.314;0.326;0.034;55
Weather Station;0.342;0.170;0.225;0.021;88;0.547;0.273;0.359;0.021;55
Video On Demand SPL FM;0.167;0.070;0.085;0.002;88;0.446;0.188;0.227;0.002;33
depresija;0.957;0.952;0.954;0.016;88;0.957;0.952;0.954;0.016;88
KIModel;0.101;0.063;0.077;0.001;88;0.403;0.250;0.307;0.001;22
AA;0.245;0.117;0.133;0.016;88;0.652;0.313;0.356;0.016;33
Example Product Line Course Using SPLOT;0.210;0.125;0.148;0.014;88;0.421;0.250;0.296;0.014;44
Disenio;0.125;0.031;0.050;0.004;88;1.000;0.250;0.400;0.004;11
Address Book;0.636;0.405;0.423;0.018;88;0.847;0.539;0.563;0.018;66
VODPlayer;0.366;0.333;0.319;0.047;88;0.418;0.381;0.364;0.047;77
i18n;0.152;0.063;0.076;0.002;88;0.303;0.125;0.152;0.002;44
1;0.150;0.080;0.104;0.007;88;0.599;0.321;0.416;0.007;22
rtrt;0.342;0.244;0.253;0.020;88;0.685;0.488;0.506;0.020;44
Sylvain Example;0.216;0.142;0.145;0.004;176;0.432;0.284;0.290;0.004;88
RE;0.882;0.811;0.828;0.012;88;0.882;0.811;0.828;0.012;88
JCS;0.416;0.320;0.354;0.023;88;0.555;0.427;0.473;0.023;66
MarketPlace-Sample;0.000;0.000;0.000;0.000;88;0.000;0.000;0.000;0.000;0
Mobile Media;0.268;0.198;0.206;0.003;88;0.357;0.264;0.275;0.003;66
search-engine;0.410;0.237;0.278;0.011;176;0.547;0.316;0.371;0.011;132
Website;0.816;0.732;0.749;0.031;88;0.933;0.837;0.856;0.031;77
FM1;0.000;0.000;0.000;0.000;88;0.000;0.000;0.000;0.000;0
Mauricio Alférez;0.329;0.288;0.241;0.005;88;0.526;0.460;0.386;0.005;55
MobileMedia;0.425;0.270;0.281;0.028;176;0.755;0.480;0.499;0.028;99
cell phones SPL;0.248;0.188;0.136;0.002;88;0.397;0.300;0.218;0.002;55
IntelligentTutoringSystem;0.681;0.564;0.593;0.021;88;0.681;0.564;0.593;0.021;88
Multiplicador de n matrices;0.142;0.069;0.077;0.004;88;0.284;0.139;0.155;0.004;44
Cell-Phone-SPL-2014;0.214;0.086;0.117;0.002;88;0.342;0.138;0.187;0.002;55
HADAS-security;0.110;0.097;0.093;0.001;88;0.219;0.194;0.187;0.001;44
Tripeo;0.360;0.156;0.145;0.001;88;0.720;0.313;0.291;0.001;44
Wewq;0.048;0.250;0.080;0.000;88;0.190;1.000;0.319;0.000;22
a;0.372;0.164;0.210;0.010;88;0.595;0.262;0.337;0.010;55
Content model;0.558;0.516;0.489;0.022;88;0.638;0.590;0.558;0.022;77
SmartHotel;0.379;0.203;0.253;0.012;88;0.505;0.271;0.337;0.012;66
G10-music player;0.740;0.667;0.674;0.008;88;0.845;0.762;0.771;0.008;77
asdsfa ewtwwe;0.125;0.010;0.019;0.006;88;1.000;0.083;0.154;0.006;11
Feature Tree Example;0.115;0.125;0.114;0.008;88;0.460;0.500;0.454;0.008;22
Dental Surgery;0.160;0.125;0.128;0.002;88;0.640;0.500;0.512;0.002;22
disenio II;0.444;0.383;0.387;0.029;88;0.710;0.613;0.620;0.029;55
r;0.378;0.180;0.224;0.041;88;0.604;0.288;0.358;0.041;55
FeatureModel1;0.420;0.313;0.328;0.016;88;0.560;0.417;0.437;0.016;66
poker spl;0.242;0.155;0.180;0.010;88;0.483;0.310;0.361;0.010;44
Simnumero;0.023;0.078;0.036;0.008;88;0.185;0.625;0.284;0.008;11
abcdefg;0.153;0.146;0.136;0.006;88;0.407;0.389;0.362;0.006;33
MPES2016-2.Reuso2;0.034;0.042;0.037;0.001;88;0.269;0.333;0.297;0.001;11
Mobile-Phone;0.208;0.161;0.153;0.014;88;0.416;0.321;0.307;0.014;44
teste;0.354;0.115;0.129;0.001;88;0.566;0.183;0.206;0.001;55
Smart Queue;0.180;0.156;0.126;0.000;88;0.720;0.625;0.505;0.000;22
Cell-Phone-SPL-2014-Part2;0.285;0.117;0.145;0.004;88;0.456;0.187;0.233;0.004;55
Matrix chain multiplication;0.208;0.092;0.102;0.007;88;0.416;0.183;0.204;0.007;44
Phone sple;0.383;0.324;0.311;0.026;88;0.510;0.432;0.414;0.026;66
Manuel;0.226;0.125;0.113;0.009;88;0.452;0.250;0.227;0.009;44
Mobile phone (lenita);0.041;0.036;0.037;0.014;88;0.164;0.143;0.147;0.014;22
27-5-207 test;0.495;0.381;0.378;0.021;88;0.565;0.435;0.431;0.021;77
Congress Assistant;0.292;0.198;0.200;0.012;88;0.468;0.317;0.321;0.012;55
Test;0.117;0.063;0.060;0.010;176;0.375;0.202;0.193;0.011;55
mon model;0.240;0.219;0.196;0.006;88;0.384;0.350;0.313;0.006;55
Veículo;0.297;0.203;0.208;0.010;88;0.396;0.271;0.278;0.010;66
Xor Example 2;0.443;0.286;0.344;0.035;88;0.590;0.382;0.459;0.035;66
Cell-Phone-SPL-2014-Mined;0.153;0.069;0.089;0.004;88;0.407;0.183;0.238;0.004;33
XOR NEW;0.625;0.469;0.508;0.043;88;0.714;0.536;0.580;0.043;77
Homepage based on wiki;0.214;0.125;0.142;0.003;88;0.428;0.250;0.283;0.003;44
test_fm;0.048;0.031;0.037;0.002;88;0.384;0.250;0.298;0.002;11
Bandymas;0.434;0.285;0.309;0.018;88;0.695;0.456;0.495;0.018;55
Attempt of mine;0.811;0.800;0.788;0.032;88;0.811;0.800;0.788;0.032;88
smartPhone;0.634;0.606;0.612;0.011;88;0.845;0.808;0.816;0.011;66
Rotation1;0.125;0.238;0.154;0.005;88;0.334;0.633;0.409;0.005;33
Cellphone;0.183;0.125;0.120;0.007;88;0.367;0.250;0.239;0.007;44
Basic Car;0.304;0.234;0.254;0.008;88;0.607;0.469;0.509;0.008;44
SPL Studies;0.311;0.173;0.197;0.033;176;0.498;0.277;0.315;0.033;110
testISA2012;0.206;0.179;0.160;0.014;88;0.329;0.286;0.257;0.014;55
Match engine;0.286;0.305;0.285;0.016;88;0.763;0.813;0.761;0.016;33
mobile phone;0.198;0.178;0.178;0.025;88;0.395;0.356;0.356;0.025;44
Video On Demand FM;0.139;0.023;0.038;0.002;88;0.558;0.094;0.151;0.002;22
Assistente de Compras;0.326;0.229;0.245;0.012;88;0.521;0.367;0.392;0.012;55
Mobile Phone;0.237;0.188;0.189;0.014;176;0.421;0.333;0.337;0.014;99
ROOT;0.795;0.833;0.802;0.047;88;0.795;0.833;0.802;0.047;88
UPT_RM_MOBILE;0.203;0.125;0.131;0.014;88;0.406;0.250;0.262;0.014;44
WB2;0.592;0.416;0.476;0.049;88;0.677;0.475;0.544;0.049;77
Dummy Car;0.168;0.042;0.058;0.002;88;0.449;0.111;0.154;0.002;33
Stamppy;0.340;0.348;0.286;0.003;88;0.545;0.557;0.458;0.003;55
Adams Car;0.327;0.152;0.186;0.007;88;0.655;0.304;0.372;0.007;44
