CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.920;0.491;0.626;0.009;638;0.971;0.518;0.660;0.009;605
SVM_Poly[3,2.0,0.5];0.945;0.777;0.836;0.009;638;0.945;0.777;0.836;0.009;638
PART;0.773;0.594;0.639;0.009;638;0.915;0.703;0.757;0.010;539
REPTree;0.521;0.363;0.401;0.009;638;0.915;0.638;0.705;0.014;363
RandomForest;0.956;0.603;0.714;0.009;638;0.990;0.624;0.740;0.009;616
RandomCommittee;0.925;0.649;0.741;0.009;638;0.958;0.672;0.768;0.009;616
JRip;0.612;0.460;0.493;0.009;638;0.887;0.666;0.716;0.012;440
J48;0.281;0.268;0.273;0.009;638;0.960;0.914;0.932;0.022;187


VALIDITY RATIO;(F)
min;0.000122
avg;0.008654
max;0.076172

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.4];0.742;0.526;0.591;0.009;5104;0.945;0.670;0.753;0.010;4004

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
teste;0.543;0.250;0.333;0.001;88;0.869;0.400;0.533;0.001;55
Visit Indonesia Apps;0.952;0.760;0.835;0.010;88;0.952;0.760;0.835;0.010;88
Smart Queue;0.602;0.344;0.410;0.000;88;0.964;0.550;0.656;0.000;55
Cell-Phone-SPL-2014-Part2;0.827;0.458;0.556;0.004;88;0.945;0.524;0.635;0.004;77
MobilePhone;0.594;0.211;0.290;0.002;88;0.950;0.338;0.464;0.002;55
MoviesApp PL;0.578;0.271;0.356;0.003;88;0.925;0.433;0.569;0.003;55
Alarm System;0.562;0.354;0.432;0.005;88;0.899;0.567;0.691;0.005;55
Video On Demand SPL FM;0.769;0.375;0.478;0.002;88;0.879;0.429;0.546;0.002;77
depresija;0.995;0.964;0.977;0.016;88;0.995;0.964;0.977;0.016;88
Windows .NET;0.875;0.727;0.769;0.002;88;1.000;0.830;0.879;0.002;77
Veículo;0.791;0.552;0.609;0.010;88;0.904;0.630;0.696;0.010;77
CFDP Library;0.992;0.941;0.965;0.058;176;0.992;0.941;0.965;0.058;176
Cell-Phone-SPL-2014-Mined;0.844;0.460;0.582;0.004;88;0.965;0.525;0.665;0.004;77
PortafolioLopez;0.950;0.732;0.803;0.010;88;0.950;0.732;0.803;0.010;88
KIModel;0.622;0.531;0.568;0.001;88;0.995;0.850;0.908;0.001;55
Homepage based on wiki;0.698;0.433;0.509;0.003;88;0.930;0.577;0.678;0.003;66
FMConfig;0.837;0.483;0.578;0.016;88;0.957;0.552;0.661;0.016;77
Ligne de produits de Eshop;0.624;0.319;0.407;0.002;88;0.831;0.425;0.542;0.002;66
