CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_RBF[5.0];Random[0.1];SAL;2;0;10;1012;1.000;0.167;0.286
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
LogisticModelTree;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
MultilayerPerceptron[a];Random[0.1];SAL;8;3;4;1009;0.727;0.667;0.696
MultilayerPerceptron[a];Random[0.1];SAL;8;5;4;1007;0.615;0.667;0.640
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
MultilayerPerceptron[a];Random[0.1];SAL;8;0;4;1012;1.000;0.667;0.800
KStar;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
KStar;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
KStar;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
KStar;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
KStar;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
KStar;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
KStar;Random[0.1];SAL;0;0;12;1012;NaN;0.000;NaN
