CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.119;0.069;0.078;0.018;814;0.733;0.427;0.479;0.036;132
SVM_RBF[5.0];0.730;0.093;0.162;0.018;814;1.000;0.127;0.222;0.023;594
KStar;0.474;0.181;0.238;0.018;814;0.649;0.247;0.327;0.022;594
SVM_Puk[1.0, 0.1];0.757;0.109;0.179;0.018;814;1.000;0.144;0.237;0.022;616
MultilayerPerceptron[a];0.436;0.376;0.378;0.018;814;0.556;0.480;0.482;0.022;638


VALIDITY RATIO;(F)
min;0.000977
avg;0.018436
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.1];0.503;0.166;0.207;0.018;4070;0.795;0.262;0.327;0.023;2574

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
sasgd;0.600;0.070;0.122;0.020;55;1.000;0.117;0.203;0.020;33
Mobile phone;0.267;0.040;0.064;0.010;55;0.668;0.100;0.160;0.010;22
hhhhhhh;0.000;0.000;0.000;0.004;55;0.000;0.000;0.000;0.000;0
Bicis_Feature_Model;0.375;0.133;0.183;0.006;55;0.626;0.222;0.304;0.006;33
Maquina de Cae;0.463;0.189;0.232;0.035;55;0.771;0.315;0.387;0.035;33
Phone sple;0.872;0.141;0.229;0.026;55;0.872;0.141;0.229;0.026;55
test gv;0.748;0.275;0.341;0.031;55;0.935;0.344;0.427;0.031;44
Manuel;0.264;0.089;0.126;0.009;55;0.659;0.222;0.316;0.009;22
E-Shop, magister2014;0.631;0.322;0.307;0.018;55;0.788;0.403;0.383;0.018;44
Mobile phone (lenita);0.619;0.214;0.257;0.014;55;0.774;0.268;0.322;0.014;44
Hello World;0.851;0.274;0.322;0.034;55;0.851;0.274;0.322;0.034;55
test 3;0.683;0.175;0.244;0.031;55;0.854;0.219;0.305;0.031;44
LXEP;0.200;0.100;0.133;0.002;55;1.000;0.500;0.667;0.002;11
Test;0.501;0.138;0.148;0.016;55;0.836;0.229;0.246;0.016;33
TEST_NAme;0.671;0.133;0.196;0.035;55;0.838;0.167;0.245;0.035;44
eshop;0.473;0.156;0.205;0.009;55;0.788;0.259;0.342;0.009;33
AA;0.405;0.088;0.137;0.016;55;0.676;0.146;0.228;0.016;33
E-SHOP;0.426;0.150;0.197;0.008;55;0.709;0.250;0.329;0.008;33
Prontuário Eletrônico de Pacientes;0.624;0.160;0.239;0.010;55;0.779;0.200;0.298;0.010;44
Bandymas;0.400;0.044;0.080;0.018;55;1.000;0.111;0.200;0.018;22
Example Product Line Course Using SPLOT;0.457;0.214;0.220;0.014;55;0.762;0.357;0.367;0.014;33
AvionFEatures;0.485;0.167;0.185;0.012;55;0.808;0.278;0.308;0.012;33
Disenio;0.046;0.050;0.046;0.004;55;0.231;0.250;0.232;0.004;11
CIMS PL;0.000;0.000;0.000;0.001;55;0.000;0.000;0.000;0.000;0
VODPlayer;0.789;0.279;0.349;0.047;55;0.789;0.279;0.349;0.047;55
isolation;0.337;0.400;0.337;0.003;55;0.562;0.667;0.562;0.003;33
drupal sawsen;0.529;0.200;0.269;0.008;55;0.882;0.333;0.449;0.008;33
Example Mobile Phone;0.573;0.114;0.185;0.014;55;0.717;0.143;0.231;0.014;44
SPL Studies;0.685;0.203;0.295;0.061;55;0.856;0.254;0.369;0.061;44
Mobile Phone GF;0.613;0.100;0.159;0.014;55;0.766;0.125;0.199;0.014;44
testISA2012;0.403;0.071;0.098;0.014;55;0.671;0.119;0.164;0.014;33
rtrt;0.366;0.130;0.177;0.020;55;0.916;0.325;0.442;0.020;22
Match engine;0.672;0.175;0.258;0.016;55;0.840;0.219;0.323;0.016;44
MK Andes;0.057;0.100;0.072;0.004;55;0.286;0.500;0.359;0.004;11
