CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.370;0.369;0.352;0.021;250;0.436;0.435;0.415;0.024;212
PART;0.387;0.426;0.392;0.021;250;0.608;0.669;0.616;0.030;159
NaiveBayesUpdateable;0.353;0.097;0.137;0.021;250;0.810;0.223;0.315;0.039;109
JRip;0.342;0.395;0.355;0.021;250;0.606;0.700;0.629;0.032;141


VALIDITY RATIO;(F)
min;0.000122
avg;0.021262
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.1];0.363;0.322;0.309;0.021;1000;0.584;0.518;0.498;0.030;621

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CCCMS;0.897;0.771;0.814;0.059;20;0.897;0.771;0.814;0.059;20
Phone sple;0.296;0.276;0.241;0.026;20;0.370;0.345;0.302;0.026;16
UPL;0.193;0.242;0.191;0.009;20;0.386;0.483;0.382;0.009;10
SmartHome_vConejero_r1;0.000;0.000;0.000;0.001;20;0.000;0.000;0.000;0.000;0
Test;0.010;0.007;0.008;0.003;20;0.200;0.143;0.167;0.003;1
mon model;0.070;0.104;0.082;0.006;20;0.235;0.347;0.273;0.006;6
Veículo;0.208;0.219;0.193;0.010;20;0.277;0.292;0.257;0.010;15
CFDP Library;0.806;0.622;0.661;0.058;40;0.806;0.622;0.661;0.058;40
ordem;0.426;0.236;0.263;0.027;20;0.532;0.295;0.329;0.027;16
Text Editor;0.068;0.159;0.087;0.003;20;0.169;0.398;0.216;0.003;8
KIModel;0.025;0.042;0.028;0.001;20;0.250;0.417;0.282;0.001;2
test_fm;0.077;0.188;0.106;0.002;20;0.255;0.625;0.353;0.002;6
AvionFEatures;0.164;0.100;0.092;0.012;20;0.547;0.333;0.307;0.012;6
CIMS PL;0.010;0.100;0.018;0.001;20;0.101;1.000;0.183;0.001;2
VODPlayer;0.365;0.370;0.342;0.047;20;0.429;0.435;0.403;0.047;17
UML-IDE-TOOL;0.947;0.875;0.903;0.094;20;0.947;0.875;0.903;0.094;20
desordem;0.396;0.291;0.307;0.027;20;0.440;0.323;0.341;0.027;18
RE;0.758;0.649;0.651;0.012;20;0.798;0.684;0.685;0.012;19
Linha de produtos - SimulES e PnP;0.356;0.282;0.272;0.009;20;0.395;0.314;0.302;0.009;18
Car PL;0.187;0.147;0.152;0.005;20;0.288;0.226;0.234;0.005;13
MyFM;0.054;0.061;0.053;0.019;20;0.216;0.242;0.212;0.019;5
Aircraft PL;0.539;0.532;0.514;0.038;20;0.539;0.532;0.514;0.038;20
MyFeatureModel;0.171;0.179;0.165;0.017;20;0.342;0.357;0.331;0.017;10
Mobile Game;0.773;0.703;0.722;0.132;20;0.773;0.703;0.722;0.132;20
Mobile Phone, until relase 5;0.121;0.231;0.155;0.001;20;0.269;0.514;0.344;0.001;9
SAL;0.053;0.067;0.050;0.012;20;0.213;0.267;0.199;0.012;5
Doorlopende reisverzekering;0.793;0.650;0.671;0.016;20;0.881;0.722;0.745;0.016;18
WB2;0.582;0.416;0.431;0.049;20;0.582;0.416;0.431;0.049;20
VOD feature model;0.443;0.336;0.327;0.016;20;0.682;0.517;0.503;0.016;13
WB;0.707;0.616;0.611;0.039;20;0.707;0.616;0.611;0.039;20
FM1;0.000;0.000;0.000;0.000;20;0.000;0.000;0.000;0.000;0
Dummy Car;0.018;0.039;0.022;0.002;20;0.089;0.194;0.112;0.002;4
Asghar;0.318;0.266;0.241;0.016;20;0.455;0.379;0.344;0.016;14
Adams Car;0.144;0.171;0.150;0.007;20;0.288;0.343;0.301;0.007;10
Phone;0.515;0.436;0.389;0.045;20;0.572;0.484;0.432;0.045;18
Carro Model;0.128;0.087;0.081;0.002;20;0.284;0.193;0.180;0.002;9
MiniTV;0.889;0.733;0.781;0.015;20;0.889;0.733;0.781;0.015;20
IntelligentTutoringSystem;0.644;0.443;0.448;0.021;20;0.678;0.467;0.472;0.021;19
IDE4OCL;0.754;0.610;0.621;0.004;20;0.838;0.678;0.690;0.004;18
ETRobocon;0.872;0.750;0.776;0.059;20;0.872;0.750;0.776;0.059;20
Parking lot Manager;0.085;0.147;0.096;0.002;20;0.212;0.367;0.240;0.002;8
G10-music player;0.790;0.617;0.624;0.008;20;0.831;0.649;0.657;0.008;19
Tata Cars;0.088;0.119;0.098;0.003;20;0.221;0.297;0.244;0.003;8
E-portal;0.071;0.131;0.084;0.008;20;0.283;0.525;0.336;0.008;5
carpl;0.017;0.050;0.025;0.002;20;0.333;1.000;0.500;0.002;1
CTOS MODEL;0.128;0.142;0.103;0.001;20;0.319;0.354;0.258;0.001;8
Ökonomische Merkmale;0.298;0.342;0.273;0.023;20;0.458;0.526;0.420;0.023;13
ELPS - ISE;0.770;0.602;0.608;0.028;20;0.770;0.602;0.608;0.028;20
Eshop-ufrj;0.313;0.306;0.260;0.012;20;0.447;0.438;0.372;0.012;14
