CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
NaiveBayesUpdateable;Random[0.4];SAL;0;0;12;1012;NaN;0.000;NaN
NaiveBayesUpdateable;Random[0.4];SAL;0;0;12;1012;NaN;0.000;NaN
NaiveBayesUpdateable;Random[0.4];SAL;0;0;12;1012;NaN;0.000;NaN
NaiveBayesUpdateable;Random[0.4];SAL;0;0;12;1012;NaN;0.000;NaN
NaiveBayesUpdateable;Random[0.4];SAL;0;0;12;1012;NaN;0.000;NaN
IBk;Random[0.4];SAL;4;0;8;1012;1.000;0.333;0.500
IBk;Random[0.4];SAL;5;3;7;1009;0.625;0.417;0.500
IBk;Random[0.4];SAL;5;2;7;1010;0.714;0.417;0.526
IBk;Random[0.4];SAL;7;1;5;1011;0.875;0.583;0.700
IBk;Random[0.4];SAL;5;1;7;1011;0.833;0.417;0.556
JRip;Random[0.4];SAL;3;1;9;1011;0.750;0.250;0.375
JRip;Random[0.4];SAL;0;0;12;1012;NaN;0.000;NaN
JRip;Random[0.4];SAL;8;16;4;996;0.333;0.667;0.444
JRip;Random[0.4];SAL;10;18;2;994;0.357;0.833;0.500
JRip;Random[0.4];SAL;6;10;6;1002;0.375;0.500;0.429
PART;Random[0.4];SAL;4;4;8;1008;0.500;0.333;0.400
PART;Random[0.4];SAL;4;4;8;1008;0.500;0.333;0.400
PART;Random[0.4];SAL;9;18;3;994;0.333;0.750;0.462
PART;Random[0.4];SAL;3;5;9;1007;0.375;0.250;0.300
PART;Random[0.4];SAL;0;0;12;1012;NaN;0.000;NaN
NaiveBayesUpdateable;Random[0.4];Mobile Game;73;3;62;886;0.961;0.541;0.692
NaiveBayesUpdateable;Random[0.4];Mobile Game;92;14;43;875;0.868;0.681;0.763
NaiveBayesUpdateable;Random[0.4];Mobile Game;71;2;64;887;0.973;0.526;0.683
NaiveBayesUpdateable;Random[0.4];Mobile Game;85;8;50;881;0.914;0.630;0.746
NaiveBayesUpdateable;Random[0.4];Mobile Game;76;12;59;877;0.864;0.563;0.682
IBk;Random[0.4];Mobile Game;120;18;15;871;0.870;0.889;0.879
IBk;Random[0.4];Mobile Game;117;12;18;877;0.907;0.867;0.886
IBk;Random[0.4];Mobile Game;117;13;18;876;0.900;0.867;0.883
IBk;Random[0.4];Mobile Game;124;12;11;877;0.912;0.919;0.915
IBk;Random[0.4];Mobile Game;124;10;11;879;0.925;0.919;0.922
JRip;Random[0.4];Mobile Game;135;9;0;880;0.938;1.000;0.968
JRip;Random[0.4];Mobile Game;135;9;0;880;0.938;1.000;0.968
JRip;Random[0.4];Mobile Game;128;8;7;881;0.941;0.948;0.945
JRip;Random[0.4];Mobile Game;135;9;0;880;0.938;1.000;0.968
JRip;Random[0.4];Mobile Game;135;9;0;880;0.938;1.000;0.968
PART;Random[0.4];Mobile Game;135;9;0;880;0.938;1.000;0.968
PART;Random[0.4];Mobile Game;135;9;0;880;0.938;1.000;0.968
PART;Random[0.4];Mobile Game;126;6;9;883;0.955;0.933;0.944
PART;Random[0.4];Mobile Game;131;4;4;885;0.970;0.970;0.970
PART;Random[0.4];Mobile Game;126;0;9;889;1.000;0.933;0.966
NaiveBayesUpdateable;Random[0.4];VODPlayer;0;5;48;971;0.000;0.000;NaN
NaiveBayesUpdateable;Random[0.4];VODPlayer;0;6;48;970;0.000;0.000;NaN
NaiveBayesUpdateable;Random[0.4];VODPlayer;0;0;48;976;NaN;0.000;NaN
