CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;1.000;0.854;0.918;0.017;50;1.000;0.854;0.918;0.017;50
PART;0.831;0.774;0.794;0.017;50;0.924;0.860;0.883;0.019;45
NaiveBayesUpdateable;0.341;0.190;0.220;0.017;50;0.852;0.475;0.551;0.036;20
JRip;0.713;0.672;0.675;0.017;50;0.849;0.800;0.804;0.020;42


VALIDITY RATIO;(F)
min;0.001953
avg;0.017480
max;0.058594

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.8];0.721;0.622;0.652;0.017;200;0.919;0.793;0.831;0.021;157

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Doorlopende reisverzekering;1.000;0.902;0.941;0.016;20;1.000;0.902;0.941;0.016;20
test_fm;0.750;0.700;0.721;0.002;20;1.000;0.933;0.962;0.002;15
CCCMS;0.993;0.987;0.989;0.059;20;0.993;0.987;0.989;0.059;20
WB2;0.810;0.732;0.732;0.049;20;0.810;0.732;0.732;0.049;20
mon model;0.528;0.338;0.399;0.006;20;0.880;0.563;0.665;0.006;12
Text Editor;0.580;0.527;0.539;0.003;20;0.828;0.753;0.770;0.003;14
IntelligentTutoringSystem;0.994;0.753;0.806;0.021;20;0.994;0.753;0.806;0.021;20
Dummy Car;0.325;0.239;0.272;0.002;20;0.813;0.597;0.679;0.002;8
Eshop-ufrj;0.656;0.549;0.594;0.012;20;0.936;0.784;0.849;0.012;14
Adams Car;0.577;0.496;0.527;0.007;20;0.825;0.709;0.753;0.007;14
