CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.957;0.831;0.886;0.032;50;0.997;0.865;0.923;0.033;48
PART;0.749;0.719;0.716;0.032;50;0.851;0.817;0.813;0.036;44
NaiveBayesUpdateable;0.284;0.096;0.135;0.032;50;0.711;0.239;0.338;0.062;20
JRip;0.574;0.632;0.590;0.032;50;0.775;0.854;0.798;0.041;37


VALIDITY RATIO;(F)
min;0.000977
avg;0.031836
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.8];0.641;0.569;0.582;0.032;200;0.860;0.764;0.781;0.040;149

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
carpl;0.450;0.550;0.483;0.002;20;0.818;1.000;0.879;0.002;11
AvionFEatures;0.613;0.613;0.595;0.012;20;0.818;0.817;0.793;0.012;15
Ökonomische Merkmale;0.904;0.677;0.711;0.023;20;0.904;0.677;0.711;0.023;20
Phone;0.971;0.771;0.817;0.045;20;0.971;0.771;0.817;0.045;20
CIMS PL;0.150;0.150;0.150;0.001;20;1.000;1.000;1.000;0.001;3
MyFM;0.513;0.361;0.414;0.019;20;0.789;0.555;0.637;0.019;13
VODPlayer;0.671;0.680;0.664;0.047;20;0.671;0.680;0.664;0.047;20
Phone sple;0.672;0.615;0.634;0.026;20;0.896;0.820;0.845;0.026;15
Mobile Game;0.968;0.886;0.914;0.132;20;0.968;0.886;0.914;0.132;20
SAL;0.498;0.392;0.435;0.012;20;0.830;0.653;0.724;0.012;12
