CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SVM_RBF[5.0];0.820;0.259;0.388;0.032;50;1.000;0.315;0.474;0.039;41
SVM_Puk[1.0, 0.1];0.920;0.324;0.456;0.032;50;1.000;0.352;0.496;0.034;46
Logistic;0.444;0.496;0.433;0.032;50;0.529;0.591;0.516;0.036;42


VALIDITY RATIO;(F)
min;0.000977
avg;0.031836
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.30000000000000004];0.728;0.360;0.426;0.032;150;0.847;0.418;0.495;0.036;129

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
carpl;0.386;0.400;0.327;0.002;15;0.723;0.750;0.612;0.002;8
AvionFEatures;0.842;0.361;0.449;0.012;15;0.842;0.361;0.449;0.012;15
Ökonomische Merkmale;0.873;0.386;0.473;0.023;15;0.873;0.386;0.473;0.023;15
Phone;0.925;0.458;0.556;0.045;15;0.925;0.458;0.556;0.045;15
CIMS PL;0.139;0.200;0.144;0.001;15;0.694;1.000;0.718;0.001;3
MyFM;0.744;0.277;0.394;0.019;15;0.744;0.277;0.394;0.019;15
VODPlayer;0.860;0.381;0.491;0.047;15;0.860;0.381;0.491;0.047;15
Phone sple;0.784;0.314;0.438;0.026;15;0.905;0.362;0.506;0.026;13
Mobile Game;0.942;0.481;0.587;0.132;15;0.942;0.481;0.587;0.132;15
SAL;0.788;0.339;0.400;0.012;15;0.788;0.339;0.400;0.012;15
