CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SVM_RBF[5.0];0.960;0.508;0.656;0.022;200;1.000;0.529;0.683;0.022;192
SVM_Puk[1.0, 0.1];0.945;0.488;0.636;0.022;200;1.000;0.517;0.673;0.023;189
Logistic;0.564;0.497;0.490;0.022;200;0.630;0.555;0.548;0.024;179


VALIDITY RATIO;(F)
min;0.000122
avg;0.021625
max;0.131836

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.5];0.823;0.498;0.594;0.022;600;0.882;0.533;0.636;0.023;560

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Doorlopende reisverzekering;1.000;0.647;0.759;0.016;15;1.000;0.647;0.759;0.016;15
CCCMS;0.998;0.663;0.773;0.059;15;0.998;0.663;0.773;0.059;15
WB2;0.878;0.414;0.562;0.049;15;0.878;0.414;0.562;0.049;15
VOD feature model;1.000;0.656;0.764;0.016;15;1.000;0.656;0.764;0.016;15
Phone sple;0.917;0.427;0.552;0.026;15;0.917;0.427;0.552;0.026;15
FM1;0.293;0.400;0.311;0.000;15;0.733;1.000;0.778;0.000;6
Dummy Car;0.719;0.400;0.503;0.002;15;0.829;0.462;0.580;0.002;13
Asghar;0.884;0.517;0.642;0.016;15;0.884;0.517;0.642;0.016;15
Adams Car;0.840;0.376;0.492;0.007;15;0.900;0.403;0.527;0.007;14
UPL;0.890;0.489;0.605;0.009;15;0.890;0.489;0.605;0.009;15
SmartHome_vConejero_r1;0.441;0.333;0.330;0.001;15;0.827;0.625;0.618;0.001;8
Test;0.757;0.448;0.540;0.003;15;0.811;0.480;0.578;0.003;14
Phone;0.933;0.601;0.713;0.045;15;0.933;0.601;0.713;0.045;15
mon model;0.700;0.375;0.479;0.006;15;0.955;0.511;0.654;0.006;11
Veículo;0.681;0.345;0.457;0.010;15;0.681;0.345;0.457;0.010;15
CFDP Library;0.911;0.520;0.654;0.058;30;0.911;0.520;0.654;0.058;30
ordem;0.905;0.429;0.577;0.027;15;0.905;0.429;0.577;0.027;15
Text Editor;0.877;0.564;0.661;0.003;15;0.877;0.564;0.661;0.003;15
IntelligentTutoringSystem;0.944;0.579;0.708;0.021;15;0.944;0.579;0.708;0.021;15
KIModel;0.844;0.411;0.531;0.001;15;0.844;0.411;0.531;0.001;15
ETRobocon;1.000;0.657;0.769;0.059;15;1.000;0.657;0.769;0.059;15
Parking lot Manager;0.780;0.404;0.519;0.002;15;0.836;0.433;0.556;0.002;14
test_fm;1.000;0.683;0.776;0.002;15;1.000;0.683;0.776;0.002;15
AvionFEatures;0.859;0.561;0.656;0.012;15;0.859;0.561;0.656;0.012;15
CIMS PL;0.302;0.467;0.327;0.001;15;0.648;1.000;0.700;0.001;7
G10-music player;0.986;0.663;0.769;0.008;15;0.986;0.663;0.769;0.008;15
Tata Cars;0.735;0.367;0.486;0.003;15;0.735;0.367;0.486;0.003;15
VODPlayer;0.873;0.549;0.650;0.047;15;0.873;0.549;0.650;0.047;15
desordem;0.929;0.431;0.576;0.027;15;0.929;0.431;0.576;0.027;15
E-portal;0.919;0.575;0.683;0.008;15;0.919;0.575;0.683;0.008;15
carpl;0.577;0.567;0.509;0.002;15;0.721;0.708;0.636;0.002;12
RE;1.000;0.677;0.785;0.012;15;1.000;0.677;0.785;0.012;15
Ökonomische Merkmale;0.939;0.597;0.710;0.023;15;0.939;0.597;0.710;0.023;15
MyFM;0.728;0.400;0.510;0.019;15;0.780;0.429;0.546;0.019;14
Aircraft PL;0.810;0.421;0.552;0.038;15;0.810;0.421;0.552;0.038;15
Eshop-ufrj;0.817;0.418;0.549;0.012;15;0.817;0.418;0.549;0.012;15
MyFeatureModel;0.667;0.324;0.434;0.017;15;0.833;0.405;0.543;0.017;12
Mobile Game;0.942;0.615;0.726;0.132;15;0.942;0.615;0.726;0.132;15
SAL;0.733;0.417;0.510;0.012;15;0.733;0.417;0.510;0.012;15
