CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_RBF[5.0];Random[0.6000000000000001];Aircraft PL;194;0;121;7877;1.000;0.616;0.762
SVM_RBF[5.0];Random[0.6000000000000001];Aircraft PL;193;0;122;7877;1.000;0.613;0.760
SVM_RBF[5.0];Random[0.6000000000000001];Aircraft PL;189;0;126;7877;1.000;0.600;0.750
SVM_RBF[5.0];Random[0.6000000000000001];Aircraft PL;192;0;123;7877;1.000;0.610;0.757
SVM_RBF[5.0];Random[0.6000000000000001];Aircraft PL;186;0;129;7877;1.000;0.590;0.743
Logistic;Random[0.6000000000000001];Aircraft PL;58;95;257;7782;0.379;0.184;0.248
Logistic;Random[0.6000000000000001];Aircraft PL;92;115;223;7762;0.444;0.292;0.352
Logistic;Random[0.6000000000000001];Aircraft PL;78;109;237;7768;0.417;0.248;0.311
Logistic;Random[0.6000000000000001];Aircraft PL;115;118;200;7759;0.494;0.365;0.420
Logistic;Random[0.6000000000000001];Aircraft PL;114;126;201;7751;0.475;0.362;0.411
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Aircraft PL;195;0;120;7877;1.000;0.619;0.765
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Aircraft PL;193;0;122;7877;1.000;0.613;0.760
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Aircraft PL;197;0;118;7877;1.000;0.625;0.770
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Aircraft PL;199;0;116;7877;1.000;0.632;0.774
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Aircraft PL;190;0;125;7877;1.000;0.603;0.752
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;192;0;127;7873;1.000;0.602;0.751
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;190;0;129;7873;1.000;0.596;0.747
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;187;0;132;7873;1.000;0.586;0.739
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;205;0;114;7873;1.000;0.643;0.782
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;189;0;130;7873;1.000;0.592;0.744
Logistic;Random[0.6000000000000001];CFDP Library;174;49;145;7824;0.780;0.545;0.642
Logistic;Random[0.6000000000000001];CFDP Library;176;57;143;7816;0.755;0.552;0.638
Logistic;Random[0.6000000000000001];CFDP Library;164;48;155;7825;0.774;0.514;0.618
Logistic;Random[0.6000000000000001];CFDP Library;169;50;150;7823;0.772;0.530;0.628
Logistic;Random[0.6000000000000001];CFDP Library;174;50;145;7823;0.777;0.545;0.641
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;194;0;125;7873;1.000;0.608;0.756
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;193;0;126;7873;1.000;0.605;0.754
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;199;0;120;7873;1.000;0.624;0.768
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;181;0;138;7873;1.000;0.567;0.724
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;192;0;127;7873;1.000;0.602;0.751
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;386;0;238;7568;1.000;0.619;0.764
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;389;0;235;7568;1.000;0.623;0.768
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;373;0;251;7568;1.000;0.598;0.748
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;364;0;260;7568;1.000;0.583;0.737
SVM_RBF[5.0];Random[0.6000000000000001];CFDP Library;379;0;245;7568;1.000;0.607;0.756
Logistic;Random[0.6000000000000001];CFDP Library;367;157;257;7411;0.700;0.588;0.639
Logistic;Random[0.6000000000000001];CFDP Library;368;123;256;7445;0.749;0.590;0.660
Logistic;Random[0.6000000000000001];CFDP Library;371;135;253;7433;0.733;0.595;0.657
Logistic;Random[0.6000000000000001];CFDP Library;351;131;273;7437;0.728;0.563;0.635
Logistic;Random[0.6000000000000001];CFDP Library;370;118;254;7450;0.758;0.593;0.665
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;382;0;242;7568;1.000;0.612;0.759
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;385;0;239;7568;1.000;0.617;0.763
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;378;0;246;7568;1.000;0.606;0.754
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;375;0;249;7568;1.000;0.601;0.751
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];CFDP Library;374;0;250;7568;1.000;0.599;0.749
SVM_RBF[5.0];Random[0.6000000000000001];Tata Cars;13;0;11;8168;1.000;0.542;0.703
SVM_RBF[5.0];Random[0.6000000000000001];Tata Cars;12;0;12;8168;1.000;0.500;0.667
SVM_RBF[5.0];Random[0.6000000000000001];Tata Cars;13;0;11;8168;1.000;0.542;0.703
SVM_RBF[5.0];Random[0.6000000000000001];Tata Cars;15;0;9;8168;1.000;0.625;0.769
SVM_RBF[5.0];Random[0.6000000000000001];Tata Cars;19;0;5;8168;1.000;0.792;0.884
Logistic;Random[0.6000000000000001];Tata Cars;8;13;16;8155;0.381;0.333;0.356
Logistic;Random[0.6000000000000001];Tata Cars;5;7;19;8161;0.417;0.208;0.278
Logistic;Random[0.6000000000000001];Tata Cars;1;5;23;8163;0.167;0.042;0.067
Logistic;Random[0.6000000000000001];Tata Cars;4;8;20;8160;0.333;0.167;0.222
Logistic;Random[0.6000000000000001];Tata Cars;3;6;21;8162;0.333;0.125;0.182
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Tata Cars;16;0;8;8168;1.000;0.667;0.800
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Tata Cars;14;0;10;8168;1.000;0.583;0.737
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Tata Cars;13;0;11;8168;1.000;0.542;0.703
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Tata Cars;13;0;11;8168;1.000;0.542;0.703
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Tata Cars;16;0;8;8168;1.000;0.667;0.800
SVM_RBF[5.0];Random[0.6000000000000001];KIModel;7;0;5;8180;1.000;0.583;0.737
SVM_RBF[5.0];Random[0.6000000000000001];KIModel;6;0;6;8180;1.000;0.500;0.667
SVM_RBF[5.0];Random[0.6000000000000001];KIModel;6;0;6;8180;1.000;0.500;0.667
SVM_RBF[5.0];Random[0.6000000000000001];KIModel;8;0;4;8180;1.000;0.667;0.800
SVM_RBF[5.0];Random[0.6000000000000001];KIModel;8;0;4;8180;1.000;0.667;0.800
Logistic;Random[0.6000000000000001];KIModel;7;4;5;8176;0.636;0.583;0.609
Logistic;Random[0.6000000000000001];KIModel;5;5;7;8175;0.500;0.417;0.455
Logistic;Random[0.6000000000000001];KIModel;9;8;3;8172;0.529;0.750;0.621
Logistic;Random[0.6000000000000001];KIModel;8;0;4;8180;1.000;0.667;0.800
Logistic;Random[0.6000000000000001];KIModel;8;0;4;8180;1.000;0.667;0.800
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];KIModel;8;0;4;8180;1.000;0.667;0.800
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];KIModel;8;0;4;8180;1.000;0.667;0.800
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];KIModel;6;0;6;8180;1.000;0.500;0.667
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];KIModel;7;0;5;8180;1.000;0.583;0.737
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];KIModel;6;0;6;8180;1.000;0.500;0.667
SVM_RBF[5.0];Random[0.6000000000000001];G10-music player;37;0;26;8129;1.000;0.587;0.740
SVM_RBF[5.0];Random[0.6000000000000001];G10-music player;34;0;29;8129;1.000;0.540;0.701
SVM_RBF[5.0];Random[0.6000000000000001];G10-music player;36;0;27;8129;1.000;0.571;0.727
SVM_RBF[5.0];Random[0.6000000000000001];G10-music player;36;0;27;8129;1.000;0.571;0.727
SVM_RBF[5.0];Random[0.6000000000000001];G10-music player;37;0;26;8129;1.000;0.587;0.740
Logistic;Random[0.6000000000000001];G10-music player;63;1;0;8128;0.984;1.000;0.992
Logistic;Random[0.6000000000000001];G10-music player;63;1;0;8128;0.984;1.000;0.992
Logistic;Random[0.6000000000000001];G10-music player;61;0;2;8129;1.000;0.968;0.984
Logistic;Random[0.6000000000000001];G10-music player;56;0;7;8129;1.000;0.889;0.941
Logistic;Random[0.6000000000000001];G10-music player;63;1;0;8128;0.984;1.000;0.992
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];G10-music player;40;0;23;8129;1.000;0.635;0.777
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];G10-music player;38;0;25;8129;1.000;0.603;0.752
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];G10-music player;42;0;21;8129;1.000;0.667;0.800
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];G10-music player;35;0;28;8129;1.000;0.556;0.714
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];G10-music player;40;0;23;8129;1.000;0.635;0.777
SVM_RBF[5.0];Random[0.6000000000000001];RE;62;0;34;8096;1.000;0.646;0.785
SVM_RBF[5.0];Random[0.6000000000000001];RE;65;0;31;8096;1.000;0.677;0.807
SVM_RBF[5.0];Random[0.6000000000000001];RE;55;0;41;8096;1.000;0.573;0.728
SVM_RBF[5.0];Random[0.6000000000000001];RE;51;0;45;8096;1.000;0.531;0.694
SVM_RBF[5.0];Random[0.6000000000000001];RE;53;0;43;8096;1.000;0.552;0.711
Logistic;Random[0.6000000000000001];RE;96;0;0;8096;1.000;1.000;1.000
Logistic;Random[0.6000000000000001];RE;96;0;0;8096;1.000;1.000;1.000
Logistic;Random[0.6000000000000001];RE;96;0;0;8096;1.000;1.000;1.000
Logistic;Random[0.6000000000000001];RE;96;0;0;8096;1.000;1.000;1.000
Logistic;Random[0.6000000000000001];RE;96;0;0;8096;1.000;1.000;1.000
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];RE;65;0;31;8096;1.000;0.677;0.807
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];RE;53;0;43;8096;1.000;0.552;0.711
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];RE;58;0;38;8096;1.000;0.604;0.753
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];RE;54;0;42;8096;1.000;0.563;0.720
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];RE;56;0;40;8096;1.000;0.583;0.737
SVM_RBF[5.0];Random[0.6000000000000001];FM1;1;0;0;8191;1.000;1.000;1.000
SVM_RBF[5.0];Random[0.6000000000000001];FM1;1;0;0;8191;1.000;1.000;1.000
SVM_RBF[5.0];Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
SVM_RBF[5.0];Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
SVM_RBF[5.0];Random[0.6000000000000001];FM1;1;0;0;8191;1.000;1.000;1.000
Logistic;Random[0.6000000000000001];FM1;1;3;0;8188;0.250;1.000;0.400
Logistic;Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
Logistic;Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
Logistic;Random[0.6000000000000001];FM1;1;3;0;8188;0.250;1.000;0.400
Logistic;Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];FM1;0;0;1;8191;NaN;0.000;NaN
SVM_RBF[5.0];Random[0.6000000000000001];Parking lot Manager;9;0;7;8176;1.000;0.563;0.720
SVM_RBF[5.0];Random[0.6000000000000001];Parking lot Manager;13;0;3;8176;1.000;0.813;0.897
SVM_RBF[5.0];Random[0.6000000000000001];Parking lot Manager;9;0;7;8176;1.000;0.563;0.720
SVM_RBF[5.0];Random[0.6000000000000001];Parking lot Manager;10;0;6;8176;1.000;0.625;0.769
SVM_RBF[5.0];Random[0.6000000000000001];Parking lot Manager;7;0;9;8176;1.000;0.438;0.609
Logistic;Random[0.6000000000000001];Parking lot Manager;4;4;12;8172;0.500;0.250;0.333
Logistic;Random[0.6000000000000001];Parking lot Manager;1;1;15;8175;0.500;0.063;0.111
Logistic;Random[0.6000000000000001];Parking lot Manager;0;0;16;8176;NaN;0.000;NaN
Logistic;Random[0.6000000000000001];Parking lot Manager;2;2;14;8174;0.500;0.125;0.200
Logistic;Random[0.6000000000000001];Parking lot Manager;0;4;16;8172;0.000;0.000;NaN
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Parking lot Manager;9;0;7;8176;1.000;0.563;0.720
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Parking lot Manager;11;0;5;8176;1.000;0.688;0.815
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Parking lot Manager;10;0;6;8176;1.000;0.625;0.769
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Parking lot Manager;13;0;3;8176;1.000;0.813;0.897
SVM_Puk[1.0, 0.1];Random[0.6000000000000001];Parking lot Manager;10;0;6;8176;1.000;0.625;0.769
SVM_RBF[5.0];Random[0.6000000000000001];Veículo;47;0;33;8112;1.000;0.588;0.740
SVM_RBF[5.0];Random[0.6000000000000001];Veículo;50;0;30;8112;1.000;0.625;0.769
SVM_RBF[5.0];Random[0.6000000000000001];Veículo;48;0;32;8112;1.000;0.600;0.750
SVM_RBF[5.0];Random[0.6000000000000001];Veículo;50;0;30;8112;1.000;0.625;0.769
