CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
SVM_RBF[5.0];1.000;0.781;0.876;0.020;50;1.000;0.781;0.876;0.020;50
SVM_Puk[1.0, 0.1];1.000;0.798;0.885;0.020;50;1.000;0.798;0.885;0.020;50
Logistic;0.578;0.523;0.544;0.020;50;0.615;0.556;0.579;0.021;47


VALIDITY RATIO;(F)
min;0.000977
avg;0.019812
max;0.093750

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.8];0.859;0.700;0.769;0.020;150;0.877;0.715;0.784;0.020;147

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
CTOS MODEL;0.820;0.637;0.711;0.001;15;0.820;0.637;0.711;0.001;15
ELPS - ISE;0.833;0.651;0.730;0.028;15;0.833;0.651;0.730;0.028;15
Linha de produtos - SimulES e PnP;0.685;0.537;0.599;0.009;15;0.685;0.537;0.599;0.009;15
Carro Model;0.667;0.522;0.584;0.002;15;0.833;0.653;0.730;0.002;12
Car PL;0.667;0.535;0.593;0.005;15;0.667;0.535;0.593;0.005;15
MiniTV;1.000;0.872;0.929;0.015;15;1.000;0.872;0.929;0.015;15
WB;0.922;0.711;0.802;0.039;15;0.922;0.711;0.802;0.039;15
IDE4OCL;1.000;0.865;0.924;0.004;15;1.000;0.865;0.924;0.004;15
UML-IDE-TOOL;1.000;0.863;0.924;0.094;15;1.000;0.863;0.924;0.094;15
Mobile Phone, until relase 5;1.000;0.813;0.889;0.001;15;1.000;0.813;0.889;0.001;15
