CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RandomCommittee;0.984;0.948;0.963;0.016;230;0.984;0.948;0.963;0.016;230


VALIDITY RATIO;(F)
min;0.000244
avg;0.016039
max;0.096924

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.9];0.984;0.948;0.963;0.016;230;0.984;0.948;0.963;0.016;230

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Doorlopende reisverzekering;1.000;1.000;1.000;0.016;5;1.000;1.000;1.000;0.016;5
This is a test;0.997;0.994;0.995;0.032;5;0.997;0.994;0.995;0.032;5
eLearning ways;0.999;0.997;0.998;0.097;5;0.999;0.997;0.998;0.097;5
CCCMS;0.998;1.000;0.999;0.059;5;0.998;1.000;0.999;0.059;5
WB2;0.991;0.991;0.991;0.049;5;0.991;0.991;0.991;0.049;5
Online Shop Feature Model;0.952;0.924;0.937;0.010;5;0.952;0.924;0.937;0.010;5
MyDental;1.000;1.000;1.000;0.010;5;1.000;1.000;1.000;0.010;5
Dummy Car;0.921;0.933;0.922;0.002;5;0.921;0.933;0.922;0.002;5
Final model;1.000;0.873;0.927;0.003;5;1.000;0.873;0.927;0.003;5
FM with optional XOR;0.981;0.990;0.986;0.005;5;0.981;0.990;0.986;0.005;5
Adams Car;0.964;0.914;0.937;0.007;5;0.964;0.914;0.937;0.007;5
Reservation;0.978;0.956;0.966;0.002;5;0.978;0.956;0.966;0.002;5
tab;0.986;0.900;0.940;0.004;5;0.986;0.900;0.940;0.004;5
Congress Assistant;0.988;0.971;0.979;0.012;5;0.988;0.971;0.979;0.012;5
mon model;0.973;0.867;0.916;0.006;5;0.973;0.867;0.916;0.006;5
ABMS;0.999;1.000;1.000;0.060;5;0.999;1.000;1.000;0.060;5
Text Editor;0.982;0.927;0.952;0.003;5;0.982;0.927;0.952;0.003;5
IntelligentTutoringSystem;1.000;0.998;0.999;0.021;5;1.000;0.998;0.999;0.021;5
ID;1.000;1.000;1.000;0.000;5;1.000;1.000;1.000;0.000;5
Ooredoo;0.934;0.922;0.927;0.004;5;0.934;0.922;0.927;0.004;5
Multiplicador de n matrices;0.924;0.867;0.890;0.004;5;0.924;0.867;0.890;0.004;5
Telecommunication_System;0.957;0.889;0.920;0.004;5;0.957;0.889;0.920;0.004;5
a;0.995;0.981;0.988;0.010;5;0.995;0.981;0.988;0.010;5
Content model;0.994;0.998;0.996;0.022;5;0.994;0.998;0.996;0.022;5
test_fm;1.000;1.000;1.000;0.002;5;1.000;1.000;1.000;0.002;5
search engine;0.975;0.938;0.955;0.008;5;0.975;0.938;0.955;0.008;5
Attempt of mine;0.997;0.997;0.997;0.032;5;0.997;0.997;0.997;0.032;5
Movil;0.985;0.964;0.975;0.007;5;0.985;0.964;0.975;0.007;5
rotation;1.000;0.800;0.880;0.001;5;1.000;0.800;0.880;0.001;5
Address Book;1.000;1.000;1.000;0.018;5;1.000;1.000;1.000;0.018;5
aaaaaa;1.000;1.000;1.000;0.008;5;1.000;1.000;1.000;0.008;5
Topology;0.888;0.875;0.878;0.004;5;0.888;0.875;0.878;0.004;5
FeatureModelName;0.978;0.950;0.960;0.002;5;0.978;0.950;0.960;0.002;5
Sisgeo;1.000;1.000;1.000;0.063;5;1.000;1.000;1.000;0.063;5
gs;0.992;0.976;0.984;0.041;5;0.992;0.976;0.984;0.041;5
HDMR-Paper;0.975;0.886;0.925;0.002;5;0.975;0.886;0.925;0.002;5
TW SPL Hard Choices;1.000;1.000;1.000;0.001;5;1.000;1.000;1.000;0.001;5
Jogo;1.000;0.800;0.867;0.000;5;1.000;0.800;0.867;0.000;5
Sylvain Example;1.000;0.945;0.970;0.003;5;1.000;0.945;0.970;0.003;5
Content;0.996;0.988;0.992;0.017;10;0.996;0.988;0.992;0.017;10
M-learning Requirements Catalog;0.999;0.997;0.998;0.034;5;0.999;0.997;0.998;0.034;5
Pruebas;1.000;0.857;0.923;0.002;5;1.000;0.857;0.923;0.002;5
JCS;0.998;0.985;0.992;0.023;5;0.998;0.985;0.992;0.023;5
E-commerce system1;1.000;0.800;0.880;0.001;5;1.000;0.800;0.880;0.001;5
Eshop-ufrj;0.983;0.954;0.968;0.012;5;0.983;0.954;0.968;0.012;5
