CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RandomCommittee;0.835;0.829;0.810;0.021;134;0.917;0.911;0.889;0.022;122


VALIDITY RATIO;(F)
min;0.000488
avg;0.021058
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.835;0.829;0.810;0.021;134;0.917;0.911;0.889;0.022;122

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
sasgd;1.000;1.000;1.000;0.020;1;1.000;1.000;1.000;0.020;1
Mobile phone;1.000;1.000;1.000;0.010;1;1.000;1.000;1.000;0.010;1
Bicis_Feature_Model;0.000;0.000;0.000;0.006;1;0.000;0.000;0.000;0.000;0
Maquina de Cae;0.750;1.000;0.857;0.035;1;0.750;1.000;0.857;0.035;1
test gv;1.000;1.000;1.000;0.031;1;1.000;1.000;1.000;0.031;1
E-Shop, magister2014;0.500;1.000;0.667;0.018;1;0.500;1.000;0.667;0.018;1
E-shop;1.000;1.000;1.000;0.014;1;1.000;1.000;1.000;0.014;1
UPL;1.000;1.000;1.000;0.009;1;1.000;1.000;1.000;0.009;1
Hello World;1.000;1.000;1.000;0.034;1;1.000;1.000;1.000;0.034;1
Weather Station;0.500;0.636;0.560;0.021;1;0.500;0.636;0.560;0.021;1
LXEP;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
Xor Example;1.000;1.000;1.000;0.020;1;1.000;1.000;1.000;0.020;1
Implementacion;1.000;0.571;0.727;0.003;1;1.000;0.571;0.727;0.003;1
ordem;1.000;1.000;1.000;0.027;1;1.000;1.000;1.000;0.027;1
Observatorio;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
eshop;1.000;1.000;1.000;0.009;1;1.000;1.000;1.000;0.009;1
AA;1.000;1.000;1.000;0.016;1;1.000;1.000;1.000;0.016;1
E-SHOP;0.800;1.000;0.889;0.008;1;0.800;1.000;0.889;0.008;1
Example Product Line Course Using SPLOT;1.000;0.714;0.833;0.014;1;1.000;0.714;0.833;0.014;1
AvionFEatures;1.000;1.000;1.000;0.012;1;1.000;1.000;1.000;0.012;1
NovoSiga;1.000;1.000;1.000;0.010;1;1.000;1.000;1.000;0.010;1
Disenio;1.000;1.000;1.000;0.004;1;1.000;1.000;1.000;0.004;1
CIMS PL;1.000;1.000;1.000;0.001;1;1.000;1.000;1.000;0.001;1
testing;1.000;1.000;1.000;0.125;1;1.000;1.000;1.000;0.125;1
VODPlayer;0.750;1.000;0.857;0.047;1;0.750;1.000;0.857;0.047;1
isolation;1.000;1.000;1.000;0.003;1;1.000;1.000;1.000;0.003;1
Jogo;1.000;1.000;1.000;0.002;1;1.000;1.000;1.000;0.002;1
desordem;1.000;1.000;1.000;0.027;1;1.000;1.000;1.000;0.027;1
1;1.000;1.000;1.000;0.007;1;1.000;1.000;1.000;0.007;1
Mobile Phone GF;1.000;1.000;1.000;0.014;1;1.000;1.000;1.000;0.014;1
rtrt;1.000;1.000;1.000;0.020;1;1.000;1.000;1.000;0.020;1
Sylvain Example;1.000;1.000;1.000;0.005;1;1.000;1.000;1.000;0.005;1
MK Andes;1.000;1.000;1.000;0.004;1;1.000;1.000;1.000;0.004;1
Computer Selection;1.000;1.000;1.000;0.002;1;1.000;1.000;1.000;0.002;1
HandlingSystem;1.000;1.000;1.000;0.000;1;1.000;1.000;1.000;0.000;1
Modelo;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
MyFeatureModel;1.000;1.000;1.000;0.017;1;1.000;1.000;1.000;0.017;1
Mobile Game;1.000;1.000;1.000;0.132;1;1.000;1.000;1.000;0.132;1
votacao eletronica;1.000;1.000;1.000;0.007;1;1.000;1.000;1.000;0.007;1
Website;1.000;1.000;1.000;0.031;1;1.000;1.000;1.000;0.031;1
Mobile Tourist Planner;0.500;1.000;0.667;0.027;1;0.500;1.000;0.667;0.027;1
VOD feature model;1.000;1.000;1.000;0.016;1;1.000;1.000;1.000;0.016;1
Mauricio Alférez;1.000;1.000;1.000;0.005;1;1.000;1.000;1.000;0.005;1
Asghar;1.000;1.000;1.000;0.016;1;1.000;1.000;1.000;0.016;1
Minimalistic PC Feature Model;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
MobileMedia;0.875;1.000;0.929;0.028;2;0.875;1.000;0.929;0.028;2
Rotary_Element;1.000;0.667;0.800;0.012;1;1.000;0.667;0.800;0.012;1
ETRobocon;1.000;1.000;1.000;0.059;1;1.000;1.000;1.000;0.059;1
AllSports Feature Model;1.000;1.000;1.000;0.023;1;1.000;1.000;1.000;0.023;1
asdsfa ewtwwe;0.750;1.000;0.857;0.006;1;0.750;1.000;0.857;0.006;1
ZMUConcernExample;1.000;1.000;1.000;0.004;1;1.000;1.000;1.000;0.004;1
Feature Tree Example;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
Dental Surgery;1.000;1.000;1.000;0.002;1;1.000;1.000;1.000;0.002;1
E-portal;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
disenio II;1.000;1.000;1.000;0.029;1;1.000;1.000;1.000;0.029;1
Mobile Phone UPT;1.000;1.000;1.000;0.014;1;1.000;1.000;1.000;0.014;1
Test1;0.000;0.000;0.000;0.008;1;0.000;0.000;0.000;0.000;0
carpl;1.000;1.000;1.000;0.002;1;1.000;1.000;1.000;0.002;1
r;0.000;0.000;0.000;0.041;1;0.000;0.000;0.000;0.000;0
Nudelsalat;0.857;1.000;0.923;0.012;1;0.857;1.000;0.923;0.012;1
FeatureModel1;1.000;1.000;1.000;0.016;1;1.000;1.000;1.000;0.016;1
poker spl;0.750;1.000;0.857;0.010;1;0.750;1.000;0.857;0.010;1
Simnumero;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
abcdefg;0.750;1.000;0.857;0.006;1;0.750;1.000;0.857;0.006;1
Mobile-Phone;1.000;0.714;0.833;0.014;1;1.000;0.714;0.833;0.014;1
WebApp;1.000;1.000;1.000;0.156;1;1.000;1.000;1.000;0.156;1
Loja Virtual;1.000;1.000;1.000;0.027;1;1.000;1.000;1.000;0.027;1
hhhhhhh;0.500;1.000;0.667;0.004;1;0.500;1.000;0.667;0.004;1
Matrix chain multiplication;1.000;0.200;0.333;0.007;1;1.000;0.200;0.333;0.007;1
Phone sple;1.000;1.000;1.000;0.026;1;1.000;1.000;1.000;0.026;1
Manuel;1.000;1.000;1.000;0.009;1;1.000;1.000;1.000;0.009;1
SmartHome- Simplified Sample;1.000;1.000;1.000;0.005;1;1.000;1.000;1.000;0.005;1
Mobile phone (lenita);1.000;0.714;0.833;0.014;1;1.000;0.714;0.833;0.014;1
SmartHome_vConejero_r1;1.000;1.000;1.000;0.001;1;1.000;1.000;1.000;0.001;1
test 3;1.000;1.000;1.000;0.031;1;1.000;1.000;1.000;0.031;1
27-5-207 test;0.500;1.000;0.667;0.021;1;0.500;1.000;0.667;0.021;1
Test;1.000;0.571;0.625;0.010;2;1.000;0.571;0.625;0.010;2
Xor Example 2;1.000;1.000;1.000;0.035;1;1.000;1.000;1.000;0.035;1
TEST_NAme;1.000;1.000;1.000;0.035;1;1.000;1.000;1.000;0.035;1
XOR NEW;1.000;1.000;1.000;0.043;1;1.000;1.000;1.000;0.043;1
SimpleModel;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.000;0
Ubuntu;0.000;0.000;0.000;0.006;1;0.000;0.000;0.000;0.000;0
Prontuário Eletrônico de Pacientes;1.000;1.000;1.000;0.010;1;1.000;1.000;1.000;0.010;1
mo;1.000;1.000;1.000;0.029;1;1.000;1.000;1.000;0.029;1
JDFM;0.800;0.200;0.320;0.010;1;0.800;0.200;0.320;0.010;1
Bandymas;1.000;1.000;1.000;0.018;1;1.000;1.000;1.000;0.018;1
ubuntu;0.750;1.000;0.857;0.009;1;0.750;1.000;0.857;0.009;1
Rotation1;1.000;1.000;1.000;0.005;1;1.000;1.000;1.000;0.005;1
Imolementacion II;0.750;1.000;0.857;0.001;1;0.750;1.000;0.857;0.001;1
Cellphone;0.556;0.357;0.435;0.007;1;0.556;0.357;0.435;0.007;1
