CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Random[0.2];Car PL;35;21;53;16275;0.625;0.398;0.486
SVM_Poly[3,2.0,0.5];Random[0.2];Car PL;42;47;46;16249;0.472;0.477;0.475
SVM_Poly[3,2.0,0.5];Random[0.2];Car PL;36;32;52;16264;0.529;0.409;0.462
SVM_Poly[3,2.0,0.5];Random[0.2];Car PL;43;40;45;16256;0.518;0.489;0.503
SVM_Poly[3,2.0,0.5];Random[0.2];Car PL;22;30;66;16266;0.423;0.250;0.314
RandomForest;Random[0.2];Car PL;25;4;63;16292;0.862;0.284;0.427
RandomForest;Random[0.2];Car PL;22;5;66;16291;0.815;0.250;0.383
RandomForest;Random[0.2];Car PL;17;2;71;16294;0.895;0.193;0.318
RandomForest;Random[0.2];Car PL;28;10;60;16286;0.737;0.318;0.444
RandomForest;Random[0.2];Car PL;27;5;61;16291;0.844;0.307;0.450
RandomCommittee;Random[0.2];Car PL;31;19;57;16277;0.620;0.352;0.449
RandomCommittee;Random[0.2];Car PL;21;14;67;16282;0.600;0.239;0.341
RandomCommittee;Random[0.2];Car PL;32;26;56;16270;0.552;0.364;0.438
RandomCommittee;Random[0.2];Car PL;17;10;71;16286;0.630;0.193;0.296
RandomCommittee;Random[0.2];Car PL;27;31;61;16265;0.466;0.307;0.370
REPTree;Random[0.2];Car PL;12;20;76;16276;0.375;0.136;0.200
REPTree;Random[0.2];Car PL;12;20;76;16276;0.375;0.136;0.200
REPTree;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
REPTree;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
REPTree;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
LogisticModelTree;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
LogisticModelTree;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
LogisticModelTree;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
LogisticModelTree;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
LogisticModelTree;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
MultilayerPerceptron[a];Random[0.2];Car PL;20;23;68;16273;0.465;0.227;0.305
MultilayerPerceptron[a];Random[0.2];Car PL;64;8;24;16288;0.889;0.727;0.800
MultilayerPerceptron[a];Random[0.2];Car PL;47;18;41;16278;0.723;0.534;0.614
MultilayerPerceptron[a];Random[0.2];Car PL;71;4;17;16292;0.947;0.807;0.871
MultilayerPerceptron[a];Random[0.2];Car PL;16;11;72;16285;0.593;0.182;0.278
J48;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
J48;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
J48;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
J48;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
J48;Random[0.2];Car PL;0;0;88;16296;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.2];IDE4OCL;64;0;0;16320;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Random[0.2];IDE4OCL;64;0;0;16320;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Random[0.2];IDE4OCL;64;0;0;16320;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Random[0.2];IDE4OCL;64;0;0;16320;1.000;1.000;1.000
SVM_Poly[3,2.0,0.5];Random[0.2];IDE4OCL;64;0;0;16320;1.000;1.000;1.000
