CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.489;0.443;0.453;0.011;245;0.868;0.786;0.803;0.018;138
SVM_Poly[3,2.0,0.5];0.844;0.819;0.822;0.011;245;0.872;0.847;0.850;0.012;237
REPTree;0.448;0.403;0.410;0.011;245;0.741;0.667;0.679;0.018;148
RandomForest;0.951;0.600;0.707;0.011;245;0.987;0.623;0.734;0.012;236
RandomCommittee;0.858;0.683;0.743;0.011;245;0.887;0.706;0.768;0.012;237
MultilayerPerceptron[a];0.846;0.756;0.782;0.011;245;0.917;0.819;0.848;0.012;226
J48;0.365;0.355;0.358;0.011;245;0.922;0.898;0.905;0.025;97


VALIDITY RATIO;(F)
min;0.000061
avg;0.011146
max;0.116272

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.4];0.686;0.580;0.611;0.011;1715;0.892;0.754;0.794;0.014;1319

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
RE Process;0.642;0.557;0.569;0.000;35;0.936;0.813;0.830;0.000;24
Buzzard Radio play DB;0.993;0.996;0.994;0.027;35;0.993;0.996;0.994;0.027;35
BSS_CS5702_G3;0.610;0.379;0.434;0.000;35;0.929;0.576;0.660;0.000;23
pruebapalabras;0.704;0.490;0.561;0.004;35;0.849;0.591;0.676;0.004;29
video on demand;0.643;0.485;0.535;0.002;35;0.866;0.653;0.720;0.002;26
Search_Engine_PL;0.863;0.751;0.797;0.008;35;0.863;0.751;0.797;0.008;35
User Model;0.899;0.811;0.846;0.009;35;0.899;0.811;0.846;0.009;35
Eleição de um prefeito e um vereador;0.393;0.264;0.301;0.001;35;0.688;0.463;0.527;0.001;20
Mobile media v4;0.284;0.243;0.229;0.000;35;0.710;0.607;0.573;0.000;14
Scenario Application;0.511;0.408;0.444;0.003;35;0.851;0.679;0.740;0.003;21
UML-IDE-TOOL;1.000;1.000;1.000;0.094;35;1.000;1.000;1.000;0.094;35
Virtual_Office_of_the_Future;0.602;0.468;0.513;0.003;35;0.916;0.713;0.781;0.003;23
Urna Gleidson;0.556;0.375;0.413;0.001;35;0.812;0.546;0.602;0.001;24
Linha de produtos - SimulES e PnP;0.825;0.702;0.747;0.009;35;0.850;0.722;0.769;0.009;34
Car PL;0.602;0.433;0.489;0.005;35;0.843;0.606;0.685;0.005;25
PhysEval;0.893;0.778;0.826;0.003;35;0.947;0.825;0.876;0.003;33
catalogo;0.479;0.348;0.370;0.000;35;0.798;0.579;0.617;0.000;21
Smartwatch;1.000;0.990;0.995;0.004;35;1.000;0.990;0.995;0.004;35
Mobile Phone, until relase 5;0.798;0.625;0.682;0.001;35;0.997;0.781;0.853;0.001;28
JPlug;0.694;0.441;0.524;0.005;35;0.868;0.551;0.655;0.005;28
Mobile Media;0.402;0.224;0.270;0.000;35;0.827;0.461;0.557;0.000;17
Clinica Medica;0.506;0.352;0.391;0.001;35;0.770;0.536;0.595;0.001;23
Celulares;0.995;0.978;0.986;0.025;35;0.995;0.978;0.986;0.025;35
WB;0.986;0.972;0.979;0.039;35;0.986;0.972;0.979;0.039;35
Mobile Media JULIO;0.683;0.583;0.614;0.001;35;0.885;0.756;0.796;0.001;27
Mobile Phone Software;0.586;0.425;0.475;0.003;35;0.820;0.595;0.665;0.003;25
SA;0.936;0.872;0.896;0.011;35;0.936;0.872;0.896;0.011;35
Simplified Smart Hotel;0.908;0.843;0.870;0.014;35;0.908;0.843;0.870;0.014;35
LeSE - Learning Software Engineering;0.492;0.329;0.378;0.001;35;0.820;0.548;0.629;0.001;21
Carro Model;0.494;0.308;0.357;0.002;35;0.787;0.489;0.568;0.002;22
MiniTV;0.982;0.998;0.990;0.015;35;0.982;0.998;0.990;0.015;35
IDE4OCL;1.000;0.998;0.999;0.004;35;1.000;0.998;0.999;0.004;35
matrices;0.414;0.251;0.296;0.001;35;0.725;0.440;0.518;0.001;20
JhotDrawn;0.986;0.984;0.985;0.063;35;0.986;0.984;0.985;0.063;35
Smart-phone;0.414;0.211;0.258;0.000;35;0.852;0.434;0.532;0.000;17
James;0.752;0.532;0.591;0.004;35;0.849;0.601;0.668;0.004;31
Farnaz koohestani;0.171;0.171;0.171;0.000;35;1.000;1.000;1.000;0.000;6
Car demo;0.735;0.685;0.701;0.003;35;0.887;0.826;0.846;0.003;29
SHIFT QAs;0.463;0.310;0.351;0.001;35;0.772;0.516;0.584;0.001;21
AGORA;0.942;0.898;0.917;0.007;35;0.942;0.898;0.917;0.007;35
Content Store;0.531;0.400;0.440;0.003;35;0.809;0.609;0.669;0.003;23
Pizza;0.895;0.864;0.875;0.012;35;0.895;0.864;0.875;0.012;35
Celular;0.782;0.634;0.688;0.006;35;0.855;0.693;0.753;0.006;32
CTOS MODEL;0.554;0.416;0.457;0.001;35;0.776;0.582;0.640;0.001;25
Pip;0.200;0.200;0.200;0.000;35;1.000;1.000;1.000;0.000;7
ELPS - ISE;0.921;0.897;0.907;0.028;35;0.921;0.897;0.907;0.028;35
TVSmart;0.439;0.249;0.287;0.001;35;0.808;0.458;0.528;0.001;19
LeSE - Learning Software Engineering (Aprendendo Engenharia de Software);0.446;0.293;0.332;0.001;35;0.743;0.488;0.554;0.001;21
Simple Drawing Tools;0.995;1.000;0.997;0.116;35;0.995;1.000;0.997;0.116;35
