CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.483;0.436;0.447;0.020;180;0.906;0.818;0.838;0.028;96
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.020;180;1.000;1.000;1.000;0.020;180
REPTree;0.564;0.495;0.514;0.020;180;0.898;0.788;0.819;0.028;113
RandomForest;1.000;1.000;1.000;0.020;180;1.000;1.000;1.000;0.020;180
RandomCommittee;0.826;0.822;0.804;0.020;180;0.923;0.919;0.898;0.021;161
MultilayerPerceptron[a];0.983;0.948;0.963;0.020;180;1.000;0.964;0.979;0.020;177
J48;0.339;0.322;0.327;0.020;180;0.954;0.905;0.921;0.037;64


VALIDITY RATIO;(F)
min;0.000244
avg;0.019775
max;0.250000

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[1.0];0.742;0.718;0.722;0.020;1260;0.963;0.931;0.937;0.023;971

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
sasgd;1.000;0.914;0.952;0.020;7;1.000;0.914;0.952;0.020;7
Mobile phone;0.571;0.557;0.564;0.010;7;1.000;0.975;0.987;0.010;4
CCCMS;1.000;1.000;1.000;0.059;7;1.000;1.000;1.000;0.059;7
MyDental;0.987;1.000;0.993;0.010;7;0.987;1.000;0.993;0.010;7
Bicis_Feature_Model;0.429;0.429;0.429;0.006;7;1.000;1.000;1.000;0.006;3
Maquina de Cae;0.786;0.714;0.731;0.035;7;0.917;0.833;0.853;0.035;6
test gv;1.000;1.000;1.000;0.031;7;1.000;1.000;1.000;0.031;7
E-Shop, magister2014;0.500;0.571;0.524;0.018;7;0.875;1.000;0.917;0.018;4
E-shop;0.948;0.842;0.876;0.014;7;0.948;0.842;0.876;0.014;7
