CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
IBk;0.025;0.026;0.022;0.001;25;0.088;0.092;0.079;0.003;7
PART;0.026;0.017;0.020;0.001;25;0.128;0.084;0.098;0.005;5
SVM_Poly[3,2.0,0.5];0.046;0.028;0.026;0.001;25;0.191;0.116;0.108;0.004;6
RandomForest;0.175;0.001;0.002;0.001;25;0.547;0.004;0.008;0.003;8
RandomCommittee;0.046;0.009;0.013;0.001;25;0.126;0.025;0.036;0.003;9
JRip;0.000;0.000;0.000;0.001;25;0.000;0.000;0.000;0.000;0


VALIDITY RATIO;(F)
min;0.000017
avg;0.001041
max;0.004578

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Random[0.001];0.053;0.013;0.014;0.001;150;0.226;0.058;0.059;0.003;35

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
EC2;0.000;0.000;0.000;0.000;30;0.000;0.000;0.000;0.000;0
Context Feature Model;0.198;0.056;0.059;0.005;30;0.237;0.067;0.070;0.005;25
Stacja Pogodowa;0.060;0.009;0.007;0.000;30;0.202;0.029;0.024;0.000;9
Mobile Phone;0.006;0.002;0.003;0.000;30;0.176;0.074;0.104;0.000;1
Connector PL;0.000;0.000;0.000;0.000;30;0.000;0.000;0.000;0.000;0
