CLASSIFIER;SAMPLING;MODEL;TP;FP;FN;TN;PRECISION;RECALL;F-SCORE
SVM_Poly[3,2.0,0.5];Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
SVM_Poly[3,2.0,0.5];Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.01];Connector PL;1;0;17;1048558;1.000;0.056;0.105
RandomForest;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomForest;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
RandomCommittee;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
IBk;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
PART;Random[0.01];Connector PL;0;0;18;1048558;NaN;0.000;NaN
